age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
75+,NHB,added_sugar,Food_price,USD,-26948357.17986,-28605424.697757,-28224255.5895183
75+,NHB,added_sugar,FL,mrh-eq,-26948357.17986,-28605424.697757,-28224255.5895183
75+,NHB,oil,CED,MJ,-3832419.3463221,-3882624.94696444,-6460107.18314011
75+,NHB,oil,Food_price,USD,-3832419.3463221,-3882624.94696444,-6460107.18314011
75+,NHB,oil,FL,mrh-eq,-3832419.3463221,-3882624.94696444,-6460107.18314011
75+,NHB,sat_fat,CED,MJ,-30842901.5097784,-25995922.1100521,-29607632.8147424
75+,NHB,sat_fat,Food_price,USD,-30842901.5097784,-25995922.1100521,-29607632.8147424
75+,NHB,sat_fat,FL,mrh-eq,-30842901.5097784,-25995922.1100521,-29607632.8147424
75+,HIS,added_sugar,CED,MJ,-14987160.6805684,-13124523.5762325,-16407892.9816547
75+,HIS,added_sugar,Food_price,USD,-14987160.6805684,-13124523.5762325,-16407892.9816547
75+,HIS,added_sugar,FL,mrh-eq,-14987160.6805684,-13124523.5762325,-16407892.9816547
75+,HIS,oil,CED,MJ,-2419317.28487203,-1376121.1664987,-1515236.66255179
75+,HIS,oil,Food_price,USD,-2419317.28487203,-1376121.1664987,-1515236.66255179
75+,HIS,oil,FL,mrh-eq,-2419317.28487203,-1376121.1664987,-1515236.66255179
75+,HIS,sat_fat,CED,MJ,-16967982.8191985,-18629656.377459,-18685832.7896486
75+,HIS,sat_fat,Food_price,USD,-16967982.8191985,-18629656.377459,-18685832.7896486
75+,HIS,sat_fat,FL,mrh-eq,-16967982.8191985,-18629656.377459,-18685832.7896486
75+,OTH,added_sugar,CED,MJ,-9468137.97013819,-10040267.5816751,-11152640.3437217
75+,OTH,added_sugar,Food_price,USD,-9468137.97013819,-10040267.5816751,-11152640.3437217
75+,OTH,added_sugar,FL,mrh-eq,-9468137.97013819,-10040267.5816751,-11152640.3437217
75+,OTH,oil,CED,MJ,1875379.23055605,3973810.88159969,2398350.09382925
75+,OTH,oil,Food_price,USD,1875379.23055605,3973810.88159969,2398350.09382925
75+,OTH,oil,FL,mrh-eq,1875379.23055605,3973810.88159969,2398350.09382925
75+,OTH,sat_fat,CED,MJ,-15248815.3967895,-18350755.3687802,-17468218.4419485
75+,OTH,sat_fat,Food_price,USD,-15248815.3967895,-18350755.3687802,-17468218.4419485
75+,OTH,sat_fat,FL,mrh-eq,-15248815.3967895,-18350755.3687802,-17468218.4419485
