age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,HIS,oil,Food_price,USD,72826.1792589618,103919.818419042,74047.8949336239
20-34,HIS,oil,FL,mrh-eq,5046.10448669308,11281.6321749456,8307.14342771886
20-34,HIS,sat_fat,CED,MJ,-7625961.55616075,-8091864.35851346,-7793160.9193921
20-34,HIS,sat_fat,Food_price,USD,-1012086.96486098,-1056607.04307975,-1011229.26587063
20-34,HIS,sat_fat,FL,mrh-eq,-209502.660222339,-222300.419787289,-214057.822794933
20-34,OTH,added_sugar,CED,MJ,-1382474.75218082,-1101910.29819495,-1269915.83207829
20-34,OTH,added_sugar,Food_price,USD,-2679657.28368164,-2023102.08748152,-2393459.90233206
20-34,OTH,added_sugar,FL,mrh-eq,-61234.7409057679,-48779.4710810974,-55927.5231753013
20-34,OTH,oil,CED,MJ,-23628.0917833198,-56081.7725839624,-40765.6634048255
20-34,OTH,oil,Food_price,USD,-7842.91306028811,-70419.4729923391,-21211.8471235266
20-34,OTH,oil,FL,mrh-eq,-1115.80020574204,-2750.99543286542,-1966.44219763321
20-34,OTH,sat_fat,CED,MJ,-3918323.47097849,-3727559.72834778,-3589611.752487
20-34,OTH,sat_fat,Food_price,USD,-510161.5253673,-509957.702551736,-478275.133664333
20-34,OTH,sat_fat,FL,mrh-eq,-105167.699546621,-100087.320662568,-96434.3340262186
35-44,NHW,added_sugar,CED,MJ,-5699452.92863315,-5175475.82945543,-4975953.05703819
35-44,NHW,added_sugar,Food_price,USD,-10003065.1799504,-9472780.9471498,-9011747.18087057
35-44,NHW,added_sugar,FL,mrh-eq,-255495.643463187,-231227.23222889,-223643.408130036
35-44,NHW,oil,CED,MJ,-226035.600048692,-229166.755058731,-260578.978357667
35-44,NHW,oil,Food_price,USD,-129925.513681804,-193543.07705229,-172426.903565846
35-44,NHW,oil,FL,mrh-eq,-10820.2297073974,-10985.9570480932,-12467.5383816805
35-44,NHW,sat_fat,CED,MJ,-15490507.1452628,-16397151.5559283,-14933244.6024242
35-44,NHW,sat_fat,Food_price,USD,-1745751.69616279,-1817226.59832493,-1614906.05359342
35-44,NHW,sat_fat,FL,mrh-eq,-420258.434613318,-445115.354370726,-404658.171682384
35-44,NHB,added_sugar,CED,MJ,-1437984.58719513,-1484834.15897568,-1478119.1300045
35-44,NHB,added_sugar,Food_price,USD,-2341557.47032685,-2519132.8988052,-2437107.34430988
35-44,NHB,added_sugar,FL,mrh-eq,-57859.019255926,-59965.3464164288,-59497.6361152458
35-44,NHB,oil,CED,MJ,-76917.3996814888,-57586.0816625627,-22565.7943890151
35-44,NHB,oil,Food_price,USD,3518.69927018638,44910.2346849017,39031.9533054225
35-44,NHB,oil,FL,mrh-eq,-3801.2482622748,-2832.28192076983,-1071.18333395593
35-44,NHB,sat_fat,CED,MJ,-2796723.11570854,-2787678.2426467,-2754964.74352405
35-44,NHB,sat_fat,Food_price,USD,-297582.361063533,-297667.231378391,-302550.717429068
35-44,NHB,sat_fat,FL,mrh-eq,-75223.0895657601,-74934.2237459057,-74059.5542818488
35-44,HIS,added_sugar,CED,MJ,-1699201.1503317,-1717703.17841499,-1617180.31405619
35-44,HIS,added_sugar,Food_price,USD,-2943583.09152166,-2765903.83970872,-2839983.34168719
35-44,HIS,added_sugar,FL,mrh-eq,-79352.1194553417,-78823.8006795266,-74691.397151558
35-44,HIS,oil,CED,MJ,255252.864902322,232469.782727994,279399.374843371
35-44,HIS,oil,Food_price,USD,196175.604129366,168521.859774303,236680.682526062
35-44,HIS,oil,FL,mrh-eq,13030.2858521102,11862.9058780699,14253.1080954645
35-44,HIS,sat_fat,CED,MJ,-5080994.80026043,-5363247.17306676,-4833039.19671553
35-44,HIS,sat_fat,Food_price,USD,-508654.356975805,-546978.285215359,-486612.356724572
35-44,HIS,sat_fat,FL,mrh-eq,-138994.07874825,-146555.926729532,-132060.851774681
35-44,OTH,added_sugar,CED,MJ,-770560.000710594,-881042.716235746,-852214.905066395
35-44,OTH,added_sugar,Food_price,USD,-1127748.3183515,-1292469.56260885,-1288011.18787699
35-44,OTH,added_sugar,FL,mrh-eq,-39141.3171839977,-44834.1510895255,-43394.0748999021
35-44,OTH,oil,CED,MJ,3235.7188865835,25024.193193651,7786.8408640483
35-44,OTH,oil,Food_price,USD,-15171.0225138333,34327.165536343,-4204.85992360324
35-44,OTH,oil,FL,mrh-eq,76.8170262540862,1399.28197555872,342.18689475562
35-44,OTH,sat_fat,CED,MJ,-2790308.70415904,-2592045.89489988,-2696352.49229728
35-44,OTH,sat_fat,Food_price,USD,-364376.431945289,-331026.806710694,-357905.903768832
35-44,OTH,sat_fat,FL,mrh-eq,-75427.636873524,-70076.8507722699,-72877.9160161695
45-54,NHW,added_sugar,CED,MJ,-6373648.07831479,-6356332.8568527,-5393900.32131012
45-54,NHW,added_sugar,Food_price,USD,-10865822.4096415,-10972737.9245828,-9390418.47148061
45-54,NHW,added_sugar,FL,mrh-eq,-286018.853356976,-285100.521406999,-242326.911224111
45-54,NHW,oil,CED,MJ,-152362.340103967,-174203.617813928,180268.761640858
45-54,NHW,oil,Food_price,USD,-66392.1671173183,-137439.223626233,147268.085029937
45-54,NHW,oil,FL,mrh-eq,-8379.79986683729,-9752.67250944988,9814.07756052496
45-54,NHW,sat_fat,CED,MJ,-16595374.6981793,-16652549.032126,-15776559.8004791
45-54,NHW,sat_fat,Food_price,USD,-1751106.92388172,-1757093.19809381,-1662794.84463504
45-54,NHW,sat_fat,FL,mrh-eq,-451255.819012005,-453205.892713689,-429517.601162055
45-54,NHB,added_sugar,CED,MJ,-1246514.05647114,-1099045.03000083,-1241044.18397942
45-54,NHB,added_sugar,Food_price,USD,-1902614.16847383,-1735449.80970661,-1899697.06150215
45-54,NHB,added_sugar,FL,mrh-eq,-53190.3633713134,-46893.631216031,-52971.9963574284
45-54,NHB,oil,CED,MJ,-125699.50915346,-90984.4951394587,-153477.878373628
45-54,NHB,oil,Food_price,USD,-87557.3840483282,-66375.8362628252,-121054.280070032
45-54,NHB,oil,FL,mrh-eq,-6079.69754319594,-4408.56358120724,-7427.14240190615
45-54,NHB,sat_fat,CED,MJ,-2326236.69822945,-2408936.33978421,-2445105.82311392
45-54,NHB,sat_fat,Food_price,USD,-291499.401111379,-299645.697194398,-308158.440281406
45-54,NHB,sat_fat,FL,mrh-eq,-62354.0112953257,-64679.6959802425,-65569.9168754173
