age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
45-54,Male,NHW,sat_fat,Food_price,USD,1018566.3681617,1018566.3681617,1018566.3681617
45-54,Male,NHW,sat_fat,FL,mrh-eq,272410.964033262,272410.964033262,272410.964033262
45-54,Male,NHB,added_sugar,CED,MJ,647734.863038432,647734.863038432,647734.863038432
45-54,Male,NHB,added_sugar,Food_price,USD,905472.861587839,905472.861587839,905472.861587839
45-54,Male,NHB,added_sugar,FL,mrh-eq,27884.1569633509,27884.1569633509,27884.1569633509
45-54,Male,NHB,oil,CED,MJ,693748.209877351,693748.209877351,693748.209877351
45-54,Male,NHB,oil,Food_price,USD,377589.886952685,377589.886952685,377589.886952685
45-54,Male,NHB,oil,FL,mrh-eq,33848.3906950686,33848.3906950686,33848.3906950686
45-54,Male,NHB,sat_fat,CED,MJ,1992024.19105375,1992024.19105375,1992024.19105375
45-54,Male,NHB,sat_fat,Food_price,USD,226897.88057516,226897.88057516,226897.88057516
45-54,Male,NHB,sat_fat,FL,mrh-eq,55156.8608000509,55156.8608000509,55156.8608000509
45-54,Male,HIS,added_sugar,CED,MJ,893824.695230647,893824.695230647,893824.695230647
45-54,Male,HIS,added_sugar,Food_price,USD,1152587.52887989,1152587.52887989,1152587.52887989
45-54,Male,HIS,added_sugar,FL,mrh-eq,40206.6455178949,40206.6455178949,40206.6455178949
45-54,Male,HIS,oil,CED,MJ,958022.931015692,958022.931015692,958022.931015692
45-54,Male,HIS,oil,Food_price,USD,529600.411488079,529600.411488079,529600.411488079
45-54,Male,HIS,oil,FL,mrh-eq,46567.344749485,46567.344749485,46567.344749485
45-54,Male,HIS,sat_fat,CED,MJ,2882446.22757956,2882446.22757956,2882446.22757956
45-54,Male,HIS,sat_fat,Food_price,USD,347843.215213514,347843.215213514,347843.215213514
45-54,Male,HIS,sat_fat,FL,mrh-eq,80510.8114068893,80510.8114068893,80510.8114068893
45-54,Male,OTH,added_sugar,CED,MJ,738494.706637396,738494.706637396,738494.706637396
45-54,Male,OTH,added_sugar,Food_price,USD,941121.520161552,941121.520161552,941121.520161552
45-54,Male,OTH,added_sugar,FL,mrh-eq,35632.6434913788,35632.6434913788,35632.6434913788
45-54,Male,OTH,oil,CED,MJ,857126.878038699,857126.878038699,857126.878038699
45-54,Male,OTH,oil,Food_price,USD,411865.692070924,411865.692070924,411865.692070924
45-54,Male,OTH,oil,FL,mrh-eq,43858.8779432018,43858.8779432018,43858.8779432018
45-54,Male,OTH,sat_fat,CED,MJ,2539768.51664896,2539768.51664896,2539768.51664896
45-54,Male,OTH,sat_fat,Food_price,USD,347693.892401459,347693.892401459,347693.892401459
45-54,Male,OTH,sat_fat,FL,mrh-eq,70099.4459868527,70099.4459868527,70099.4459868527
