age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
65-74,Male,NHW,FL,mrh-eq,-423207.369726298,-438933.610121341,-443472.340687503
65-74,Male,NHB,CED,MJ,-1230629.70939616,-1168693.36181504,-1100110.31902295
65-74,Male,NHB,Food_price,USD,-646194.622813428,-640805.120384889,-677766.588384843
65-74,Male,NHB,FL,mrh-eq,-39937.8192308118,-37622.0157136862,-36453.6047608726
65-74,Male,HIS,CED,MJ,-981632.091561248,-909616.091223187,-873206.002310026
65-74,Male,HIS,Food_price,USD,-485240.769275124,-406447.260534397,-305447.399214592
65-74,Male,HIS,FL,mrh-eq,-31587.7538945172,-29532.4529200539,-27331.4532731986
65-74,Male,OTH,CED,MJ,-633458.285804842,-687773.550825809,-649105.277028996
65-74,Male,OTH,Food_price,USD,-247654.400068139,-337650.472113712,-318196.212232634
65-74,Male,OTH,FL,mrh-eq,-20009.5441118058,-24082.0581654398,-22487.9028257572
75+,Female,NHW,CED,MJ,-13433006.1624193,-12732395.5662193,-13112542.424685
75+,Female,NHW,Food_price,USD,-7158926.61695103,-6949407.02409747,-6996647.83566125
75+,Female,NHW,FL,mrh-eq,-457533.254340085,-434704.331738314,-446966.50796813
75+,Female,NHB,CED,MJ,-1400082.96028391,-1321405.36945787,-1442480.59630577
75+,Female,NHB,Food_price,USD,-815659.919697238,-866163.643676754,-910251.107990987
75+,Female,NHB,FL,mrh-eq,-48595.0608959105,-47889.8716115335,-51327.3828289833
75+,Female,HIS,CED,MJ,-811512.480757704,-760519.422848363,-898417.894340642
75+,Female,HIS,Food_price,USD,-393297.131502353,-337237.777145887,-396605.383851006
75+,Female,HIS,FL,mrh-eq,-28087.0520961766,-25367.0681771089,-30789.4264018877
75+,Female,OTH,CED,MJ,-457603.69176704,-562583.217058427,-636377.206306214
75+,Female,OTH,Food_price,USD,-264807.596884325,-276845.495933654,-322804.713426976
75+,Female,OTH,FL,mrh-eq,-15256.7656421339,-18090.595941989,-20896.8721312466
75+,Male,NHW,CED,MJ,-9983654.71215738,-9272871.63082561,-9355192.3514961
75+,Male,NHW,Food_price,USD,-4403766.87667124,-3977473.16254384,-4303711.04166097
75+,Male,NHW,FL,mrh-eq,-321879.931530834,-297795.954585028,-304509.742485961
75+,Male,NHB,CED,MJ,-764441.60456293,-659452.068206725,-719879.189352584
75+,Male,NHB,Food_price,USD,-443358.48409878,-392216.470656962,-420406.374167633
75+,Male,NHB,FL,mrh-eq,-24395.2604397478,-21434.0076930405,-22928.7222692919
75+,Male,HIS,CED,MJ,-472171.557953777,-555775.322644305,-502936.615555356
75+,Male,HIS,Food_price,USD,-240897.597058951,-230252.069178031,-245356.329345622
75+,Male,HIS,FL,mrh-eq,-15749.3146026751,-17904.4993885078,-16795.5547887558
75+,Male,OTH,CED,MJ,-516469.425595854,-564749.961132709,-493080.230219945
75+,Male,OTH,Food_price,USD,-152719.130359483,-168276.600456191,-150628.727710955
75+,Male,OTH,FL,mrh-eq,-16866.2019806607,-18038.155335014,-16196.5750188645
