age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
45-54,NHW,oil,FL,mrh-eq,-10051.8791215039,-11695.2688107096,11774.3528926705
45-54,NHW,sat_fat,CED,MJ,-21529821.4011465,-21617101.6767684,-20484999.2841947
45-54,NHW,sat_fat,Food_price,USD,-2271081.68954688,-2280786.00640374,-2158483.44374795
45-54,NHW,sat_fat,FL,mrh-eq,-585494.820225065,-588382.56624318,-557766.256820714
45-54,NHB,added_sugar,CED,MJ,-1883468.35543398,-1660655.05309241,-1875163.6127423
45-54,NHB,added_sugar,Food_price,USD,-2874934.02254639,-2622305.8792979,-2870470.15847903
45-54,NHB,added_sugar,FL,mrh-eq,-80369.6688071647,-70855.8786970617,-80038.0171634777
45-54,NHB,oil,CED,MJ,-150852.42155183,-109121.484023987,-184155.299627332
45-54,NHB,oil,Food_price,USD,-105046.348381476,-79514.9195673797,-145158.034808541
45-54,NHB,oil,FL,mrh-eq,-7296.22532093063,-5287.32649265008,-8911.63171045978
45-54,NHB,sat_fat,CED,MJ,-3041723.01522899,-3152592.22715495,-3197897.10195771
45-54,NHB,sat_fat,Food_price,USD,-380640.353330508,-391634.325916848,-402494.817890995
45-54,NHB,sat_fat,FL,mrh-eq,-81574.3658356367,-84690.321635444,-85801.5382562605
45-54,HIS,added_sugar,CED,MJ,-1832076.93403792,-2083870.22382569,-1692857.45270801
45-54,HIS,added_sugar,Food_price,USD,-2656530.26349641,-2980205.39363743,-2432152.69082584
45-54,HIS,added_sugar,FL,mrh-eq,-84823.6923665466,-96140.5866065388,-78230.9095115307
45-54,HIS,oil,CED,MJ,109300.662043616,149267.924604811,113498.957537561
45-54,HIS,oil,Food_price,USD,45445.1598934639,74359.7852258254,62114.1705568224
45-54,HIS,oil,FL,mrh-eq,5307.17147189062,7234.33374837911,5519.76944961674
45-54,HIS,sat_fat,CED,MJ,-3942202.19166642,-4483404.46930895,-4200484.29786796
45-54,HIS,sat_fat,Food_price,USD,-495159.607892466,-537444.63721279,-517092.946547653
45-54,HIS,sat_fat,FL,mrh-eq,-107572.358484897,-122584.215217874,-114645.50372894
