age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
35-44,Female,NHB,CED,MJ,1822892.55740676,1878767.54611457,1836721.65893177
35-44,Female,NHB,Food_price,USD,1215160.17839904,1323125.26849473,1230526.2892866
35-44,Female,NHB,FL,mrh-eq,62582.6242620767,64683.9106665808,62993.006358923
35-44,Female,HIS,CED,MJ,2820475.03128991,2811882.54935571,2733426.02572802
35-44,Female,HIS,Food_price,USD,1936082.22702579,1720712.05249245,1785337.08100791
35-44,Female,HIS,FL,mrh-eq,102221.314551817,99902.2099736342,97804.8855070629
35-44,Female,OTH,CED,MJ,1729129.98640668,1689826.84686374,1711150.21977731
35-44,Female,OTH,Food_price,USD,1040227.41604897,1050288.03635841,1057734.78138381
35-44,Female,OTH,FL,mrh-eq,64558.2741554849,63443.5334856647,63817.2442993017
35-44,Male,NHW,CED,MJ,7797782.1494069,7941099.45681253,7330465.56628514
35-44,Male,NHW,Food_price,USD,5474137.42292258,5524843.47025836,5040355.78125
35-44,Male,NHW,FL,mrh-eq,264780.468654555,267741.120192317,247866.106224136
35-44,Male,NHB,CED,MJ,1551044.89664689,1511421.88520129,1533299.86094698
35-44,Male,NHB,Food_price,USD,1057697.97632982,1032474.92638213,1085602.58523627
35-44,Male,NHB,FL,mrh-eq,50946.0340010868,49612.8681197805,50453.6045575178
35-44,Male,HIS,CED,MJ,2792730.96528048,2899811.89391017,2752969.29783328
35-44,Male,HIS,Food_price,USD,1611122.27467378,1755088.69435288,1695352.49508848
35-44,Male,HIS,FL,mrh-eq,93117.6900209343,97685.0257637152,92691.9843283367
35-44,Male,OTH,CED,MJ,1181731.39484949,1214129.61392437,1211392.03414833
35-44,Male,OTH,Food_price,USD,633306.06932682,686257.916725715,691902.016312831
35-44,Male,OTH,FL,mrh-eq,41519.8963073025,43659.7127118861,43567.6284744682
45-54,Female,NHW,CED,MJ,9204071.28499937,9100924.15216699,8419039.65896487
45-54,Female,NHW,Food_price,USD,6180728.23168092,6368659.86973842,5542997.4463595
45-54,Female,NHW,FL,mrh-eq,322119.139476497,320455.120535679,293110.862435224
45-54,Female,NHB,CED,MJ,1477724.15939019,1422967.41577961,1480387.13428686
