Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Mean_Intake,SE_Intake,CF_Mean_Intake,CF_SE_Intake,Intake_unit,GHG_unit,WATER_unit,BLUEWATER_unit,CED_to_intake_conversion,GHG_to_intake_conversion,WATER_to_intake_conversion,BLUEWATER_to_intake_conversion,Food_price_to_intake_conversion,FL_to_intake_conversion,outcome,outcome_unit,X1,X2,X3
oil,Female,NHW,35-44,9,10789518,18.74224375,0.952386307,16.17259767,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,92632.7556395454,92632.7556395454,92632.7556395454
sat_fat,Female,NHW,35-44,9,10789518,17.90751728,0.477533794,8.963438377,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,6472866.11408572,6472866.11408572,6472866.11408572
sat_fat,Female,NHW,35-44,9,10789518,17.90751728,0.477533794,8.963438377,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,1008425.02755042,1008425.02755042,1008425.02755042
sat_fat,Female,NHW,35-44,9,10789518,17.90751728,0.477533794,8.963438377,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,171651.010544702,171651.010544702,171651.010544702
added_sugar,Female,NHB,35-44,10,2841551,11.56538246,0.606843807,4.383415461,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,483301.979615988,483301.979615988,483301.979615988
added_sugar,Female,NHB,35-44,10,2841551,11.56538246,0.606843807,4.383415461,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,548350.232832864,548350.232832864,548350.232832864
added_sugar,Female,NHB,35-44,10,2841551,11.56538246,0.606843807,4.383415461,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,20187.6571122455,20187.6571122455,20187.6571122455
oil,Female,NHB,35-44,10,2841551,15.00493403,0.651754023,13.13235717,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,414829.726656421,414829.726656421,414829.726656421
oil,Female,NHB,35-44,10,2841551,15.00493403,0.651754023,13.13235717,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0,0,0
oil,Female,NHB,35-44,10,2841551,15.00493403,0.651754023,13.13235717,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,20734.2740228485,20734.2740228485,20734.2740228485
sat_fat,Female,NHB,35-44,10,2841551,13.09895661,0.279501741,7.465921512,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,1341105.084091,1341105.084091,1341105.084091
sat_fat,Female,NHB,35-44,10,2841551,13.09895661,0.279501741,7.465921512,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,216489.318454192,216489.318454192,216489.318454192
