age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
35-44,Female,HIS,oil,FL,mrh-eq,0.000239238558239595,-0.000549572605099147,-0.000264489045892892
35-44,Female,HIS,sat_fat,CED,MJ,-0.394436629237755,-0.455650688806585,-0.419503336317076
35-44,Female,HIS,sat_fat,Food_price,USD,-0.0563133371286566,-0.0650528093733484,-0.059892086721946
35-44,Female,HIS,sat_fat,FL,mrh-eq,-0.0105560050681106,-0.0121942300075563,-0.0112268461294023
35-44,Female,NHB,added_sugar,CED,MJ,-0.266031309747171,-0.287457730195103,-0.277831983214435
35-44,Female,NHB,added_sugar,Food_price,USD,-0.301836815890143,-0.326147046629802,-0.315225757620737
35-44,Female,NHB,added_sugar,FL,mrh-eq,-0.0111122012505818,-0.0120071887478177,-0.011605118639085
35-44,Female,NHB,oil,CED,MJ,-0.0257133101313853,-0.01618717861276,-0.0191447463589276
35-44,Female,NHB,oil,Food_price,USD,0,0,0
35-44,Female,NHB,oil,FL,mrh-eq,-0.00128521844997912,-0.000809077497215475,-0.000956904463678195
35-44,Female,NHB,sat_fat,CED,MJ,-0.377313269095527,-0.367442261718573,-0.381778516725755
35-44,Female,NHB,sat_fat,Food_price,USD,-0.0609081968588461,-0.0593147589658405,-0.0616290042196297
35-44,Female,NHB,sat_fat,FL,mrh-eq,-0.00999059743003011,-0.00972923036714255,-0.010108829401055
35-44,Female,NHW,added_sugar,CED,MJ,-0.193934232249332,-0.229094961586108,-0.175029628558276
35-44,Female,NHW,added_sugar,Food_price,USD,-0.212871477330235,-0.251465573437545,-0.192120881267937
35-44,Female,NHW,added_sugar,FL,mrh-eq,-0.00909278958686977,-0.0107413335797073,-0.00820642939355982
35-44,Female,NHW,oil,CED,MJ,-0.0300104050745412,-0.0307847746606483,-0.0465723476375478
35-44,Female,NHW,oil,Food_price,USD,-0.0200319188930574,-0.0205488099081443,-0.0310870009324222
35-44,Female,NHW,oil,FL,mrh-eq,-0.00143466289734384,-0.00147168203491496,-0.00222641510608835
35-44,Female,NHW,sat_fat,CED,MJ,-0.562309209691578,-0.651472537569774,-0.620885878475002
35-44,Female,NHW,sat_fat,Food_price,USD,-0.0876036473303725,-0.101494639324845,-0.0967294623542908
35-44,Female,NHW,sat_fat,FL,mrh-eq,-0.0149116237507386,-0.0172761057381716,-0.0164649919517488
35-44,Female,OTH,added_sugar,CED,MJ,-0.209613788009357,-0.230859881530005,-0.229236944819311
