sex_gp,race_gp,age_gp,subgroup_id,population,Foodgroup,Intake_unit,outcome,outcome_unit,subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population.se,agecat,female,race,age,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
Female,HIS,65-74,35,1616432,added_sugar,tsp eq/day,FL,mrh-eq,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.018535950844699115,3.331578676258031e-4,0.018376867526067462,0.018315390788032727,0.01889173172220241
Female,HIS,65-74,35,1616432,oil,g/day,CED,MJ,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.2549693988529475,0.009563074296754877,0.25739355758970184,0.24507583092162577,0.26280243185802804
Female,HIS,65-74,35,1616432,oil,g/day,Food_price,USD,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.2137334634723205,0.008510713842891452,0.21634818925869465,0.20482846054314052,0.2204159494830825
Female,HIS,65-74,35,1616432,oil,g/day,FL,mrh-eq,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.012048926784320776,4.5191612229933625e-4,0.012163483712580145,0.011581392734444657,0.012419087445176434
Female,HIS,65-74,35,1616432,sat_fat,g/day,CED,MJ,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,1.2351042459026988,0.040015453069815354,1.2408077314801482,1.1949563019334375,1.270404227131128
Female,HIS,65-74,35,1616432,sat_fat,g/day,Food_price,USD,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.14216950189176927,0.0050343465520922065,0.14205166582775966,0.1374379356761205,0.14700122876182625
Female,HIS,65-74,35,1616432,sat_fat,g/day,FL,mrh-eq,35,5,65-74,1,Female,3,HIS,0,5,1,3,65,0.03316473776768005,0.001074485827506292,0.03331788646275198,0.032086694324732566,0.03411260481981641
Female,HIS,75+,43,737080,added_sugar,tsp eq/day,CED,MJ,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.3436949631941469,0.0015798534642999954,0.3432758231839172,0.34241238868151164,0.3453338067154774
Female,HIS,75+,43,737080,added_sugar,tsp eq/day,Food_price,USD,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.5169065177762093,0.022246617090941355,0.5253173829300319,0.4933625705598091,0.5333012296118602
Female,HIS,75+,43,737080,added_sugar,tsp eq/day,FL,mrh-eq,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.019281330066363143,8.862997530878146e-5,0.019257816259800088,0.01920937747711656,0.019373269391188323
Female,HIS,75+,43,737080,oil,g/day,CED,MJ,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.26923713959029494,0.004252099045219199,0.26881836945798215,0.26539034236554593,0.27343989142750985
Female,HIS,75+,43,737080,oil,g/day,Food_price,USD,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.24333029998225272,0.004214233835255712,0.24440628624093558,0.23896858013606953,0.24677743150855547
Female,HIS,75+,43,737080,oil,g/day,FL,mrh-eq,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.012488022078641825,1.972250442047926e-4,0.012468598270076044,0.012309596142503062,0.012682958252061503
Female,HIS,75+,43,737080,sat_fat,g/day,CED,MJ,43,6,75+,1,Female,3,HIS,0,6,1,3,75,1.3414544670334079,0.09414250881621039,1.3089622487029984,1.2699168326484105,1.4406104869992535
Female,HIS,75+,43,737080,sat_fat,g/day,Food_price,USD,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.13405993955702417,0.010539083136948759,0.13131189229626689,0.12547434096353371,0.14498137832215827
Female,HIS,75+,43,737080,sat_fat,g/day,FL,mrh-eq,43,6,75+,1,Female,3,HIS,0,6,1,3,75,0.0357147818221612,0.0025064430028679165,0.03484971146971391,0.03381016927889397,0.038354704165008635
Female,NHB,20-34,2,4596338,added_sugar,tsp eq/day,CED,MJ,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.4628037327586105,0.013299237344345887,0.47013977576289,0.4485864920522014,0.4707853369113819
Female,NHB,20-34,2,4596338,added_sugar,tsp eq/day,Food_price,USD,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.836497206799484,0.04106084861900276,0.8536071561636634,0.7928461773536933,0.8656047792857223
Female,NHB,20-34,2,4596338,added_sugar,tsp eq/day,FL,mrh-eq,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.018191843586705118,5.227651128669719e-4,0.01848020804323988,0.01763299368801505,0.018505583697340636
Female,NHB,20-34,2,4596338,oil,g/day,CED,MJ,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.29487182961991854,0.0041675330940339865,0.2969479590586399,0.2904177276553416,0.2975612215615824
Female,NHB,20-34,2,4596338,oil,g/day,Food_price,USD,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.21914127427833505,0.002449488624505283,0.22042961960650087,0.2165221350996917,0.22066531992803742
Female,NHB,20-34,2,4596338,oil,g/day,FL,mrh-eq,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.01519042237272322,2.146918816635612e-4,0.015297374885329364,0.014960967798441537,0.015328967311289682
Female,NHB,20-34,2,4596338,sat_fat,g/day,CED,MJ,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,1.2594142100999086,0.0207643692728525,1.247440245915568,1.2474129863434682,1.2815933034130385
Female,NHB,20-34,2,4596338,sat_fat,g/day,Food_price,USD,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.14055724886154244,8.13490934266876e-4,0.14013248748309762,0.14004848159957106,0.14142706329519197
Female,NHB,20-34,2,4596338,sat_fat,g/day,FL,mrh-eq,2,1,20-34,1,Female,2,NHB,0,1,1,2,25,0.032997972918000454,5.440482483285522e-4,0.03268424250055135,0.03268352827117813,0.03357908841965451
Female,NHB,35-44,10,2841551,added_sugar,tsp eq/day,CED,MJ,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.5109439227998276,0.011699791018442965,0.5166457527731971,0.49844428560522475,0.5185970045170661
Female,NHB,35-44,10,2841551,added_sugar,tsp eq/day,Food_price,USD,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.8379039285368464,0.01964722213219946,0.8477948937521727,0.8169027224157485,0.8504978142249168
Female,NHB,35-44,10,2841551,added_sugar,tsp eq/day,FL,mrh-eq,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.02134226871006043,4.8870350076555e-4,0.02158043572213467,0.020820155413705625,0.021661940046152142
Female,NHB,35-44,10,2841551,oil,g/day,CED,MJ,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.28801720188674085,0.009792585628537583,0.29201489682243853,0.2776160280628895,0.29502033501524927
Female,NHB,35-44,10,2841551,oil,g/day,Food_price,USD,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0,0,0,0,0
Female,NHB,35-44,10,2841551,oil,g/day,FL,mrh-eq,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.014395852571481361,4.894590256364988e-4,0.014595667813567803,0.013875974717111408,0.01474588747007784
Female,NHB,35-44,10,2841551,sat_fat,g/day,CED,MJ,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,1.2079495681979608,0.004474161281977252,1.2092537666522474,1.2032824948837226,1.2115080728260554
Female,NHB,35-44,10,2841551,sat_fat,g/day,Food_price,USD,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.1386115230664822,6.50719333940511e-4,0.13845873930042335,0.138071187248148,0.13928172508596642
Female,NHB,35-44,10,2841551,sat_fat,g/day,FL,mrh-eq,10,2,35-44,1,Female,2,NHB,0,2,1,2,35,0.03198439821788818,1.1846798898016099e-4,0.03201893111877675,0.03186082225468187,0.03207862121533919
Female,NHB,45-54,18,2294986,added_sugar,tsp eq/day,CED,MJ,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.47351204116422235,0.011149453175453471,0.4717271517304563,0.46378092697657874,0.48476031137056713
Female,NHB,45-54,18,2294986,added_sugar,tsp eq/day,Food_price,USD,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.7625791709225285,0.01852687269847835,0.7680837960243723,0.7432318040517539,0.7772476064567359
Female,NHB,45-54,18,2294986,added_sugar,tsp eq/day,FL,mrh-eq,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.020069895378346244,4.7257163346246523e-4,0.01999424250981618,0.019657440305016826,0.020546655389926213
Female,NHB,45-54,18,2294986,oil,g/day,CED,MJ,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.2896133389212448,0.0027180419494329477,0.2899554200570705,0.28690119799532776,0.2920347108817101
Female,NHB,45-54,18,2294986,oil,g/day,Food_price,USD,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.1790060432384536,7.596663742027503e-4,0.1791839497987757,0.17822374855463433,0.17963711734599908
Female,NHB,45-54,18,2294986,oil,g/day,FL,mrh-eq,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.013982211964578753,1.312240617339836e-4,0.013998727263798125,0.013851272797739154,0.014099113127081887
Female,NHB,45-54,18,2294986,sat_fat,g/day,CED,MJ,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,1.1078209925241795,0.008826759486158525,1.1076882539804687,1.099492696051396,1.1162621167591174
Female,NHB,45-54,18,2294986,sat_fat,g/day,Food_price,USD,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.14885172020502457,0.0010152635492398584,0.14887945236907096,0.14787570356444993,0.14980416450615977
Female,NHB,45-54,18,2294986,sat_fat,g/day,FL,mrh-eq,18,3,45-54,1,Female,2,NHB,0,3,1,2,45,0.02879359483152413,2.2941805403113217e-4,0.028790144797744385,0.02857713242839911,0.02901298976336193
Female,NHB,55-64,26,3005374,added_sugar,tsp eq/day,CED,MJ,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.4767260954271787,0.014817665701054193,0.4841748577677431,0.4608875647267404,0.48623317813813727
Female,NHB,55-64,26,3005374,added_sugar,tsp eq/day,Food_price,USD,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.8417230562662229,0.028093783337032507,0.855521865503558,0.8117043511713803,0.8600127735093307
Female,NHB,55-64,26,3005374,added_sugar,tsp eq/day,FL,mrh-eq,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.02151311505530076,6.68673584549872e-4,0.021849253737007607,0.020798373117458836,0.021942139113691864
Female,NHB,55-64,26,3005374,oil,g/day,CED,MJ,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.2891788810724493,0.00899028975910358,0.28605277927855666,0.2823631466840245,0.2986518019856829
Female,NHB,55-64,26,3005374,oil,g/day,Food_price,USD,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.22381018822691526,0.009931150140333644,0.22040807807611706,0.2162462488801131,0.2342659212018959
Female,NHB,55-64,26,3005374,oil,g/day,FL,mrh-eq,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.014369583402502417,4.4673635234704037e-4,0.014214244325577215,0.01403090284816679,0.014840302172224467
Female,NHB,55-64,26,3005374,sat_fat,g/day,CED,MJ,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,1.1708639878733618,0.00587153119679455,1.1678087760969948,1.1671829538312397,1.1771419519253956
Female,NHB,55-64,26,3005374,sat_fat,g/day,Food_price,USD,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.1424280855938689,9.484222670347798e-4,0.14228509606665823,0.1415955680094754,0.14338214427639148
Female,NHB,55-64,26,3005374,sat_fat,g/day,FL,mrh-eq,26,4,55-64,1,Female,2,NHB,0,4,1,2,55,0.03164450537540404,1.5868768912800845e-4,0.03156193330342849,0.03154501943789174,0.03181417757409555
Female,NHB,65-74,34,1390166,added_sugar,tsp eq/day,CED,MJ,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.48705181390642965,0.004197312722092291,0.4887178969826158,0.48259928706182353,0.4900881701362776
Female,NHB,65-74,34,1390166,added_sugar,tsp eq/day,Food_price,USD,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.6883300194465505,0.012551108980534525,0.6932852595013258,0.6750190941141119,0.6974289907324301
Female,NHB,65-74,34,1390166,added_sugar,tsp eq/day,FL,mrh-eq,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.0242567162096182,2.0903940943410882e-4,0.024339692400665615,0.024034966332086554,0.024407936324759544
Female,NHB,65-74,34,1390166,oil,g/day,CED,MJ,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.2820619543894566,0.01026534154499224,0.27911529672329705,0.2738683433941368,0.29276022440101196
Female,NHB,65-74,34,1390166,oil,g/day,Food_price,USD,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.20395459369178068,0.013720748888439735,0.19797605568020293,0.19442442369094348,0.218566521002459
Female,NHB,65-74,34,1390166,oil,g/day,FL,mrh-eq,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.013797899502267182,5.021597162965173e-4,0.01365375497758905,0.013397084648244033,0.014321237202266742
Female,NHB,65-74,34,1390166,sat_fat,g/day,CED,MJ,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,1.2847211995804966,0.02516228141337549,1.2984647082521907,1.2578193836692544,1.299941033120799
Female,NHB,65-74,34,1390166,sat_fat,g/day,Food_price,USD,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.14889161093809403,0.00300249353299647,0.15056395155278715,0.14568227134715278,0.1506794610065461
Female,NHB,65-74,34,1390166,sat_fat,g/day,FL,mrh-eq,34,5,65-74,1,Female,2,NHB,0,5,1,2,65,0.03325763780206678,6.51377156221097e-4,0.03361341665407139,0.03256122923491143,0.033651634345018215
