Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
sat_fat,Male,OTH,20-34,8,3785306,g/day,FL,mrh-eq,-16207.0653114557,-15696.6186458741,-15487.1795121272
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,CED,MJ,-1093506.27575694,-1211515.9048342,-1049654.23915587
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,Food_price,USD,-1882863.38801536,-1994598.82684684,-1878867.4025279
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,-51270.0742001863,-56803.0670812192,-49214.0300601474
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-89902.825496665,-100017.322925893,-152940.30516607
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-48532.9691278629,-52482.4143633686,-79961.4913870617
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-4297.85095489635,-4781.37972270041,-7311.3901923418
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-2096332.46972643,-2265386.39622103,-2367622.67213534
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-246277.012865349,-277178.734754638,-274571.798753501
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-55591.6931578675,-60074.7578169991,-62785.9154040267
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,-445852.282278165,-476706.508690316,-473719.102209046
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,-733767.985072103,-781064.5336394,-785202.760377182
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,-18623.3729158224,-19912.162470889,-19787.3776774422
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-24990.3003439559,-23214.9269264606,-14709.2225340503
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,0,0,0
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-1249.08053099585,-1160.34272710718,-735.205389310629
sat_fat,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-434023.656656931,-439236.951877791,-441205.102727036
sat_fat,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,-50471.7130092795,-50133.3557312517,-51190.231279579
sat_fat,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-11492.1896045781,-11630.2285714037,-11682.3417739516
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,CED,MJ,-402162.913085687,-426811.274971958,-435181.360232735
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,Food_price,USD,-679178.852027943,-692117.186065483,-766340.239253041
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,FL,mrh-eq,-20093.4875971848,-21325.0073065797,-21743.2064962672
oil,Female,HIS,35-44,11,4706043,g/day,CED,MJ,7583.00485061621,-8540.28137393969,-9956.73497070484
oil,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,4342.57887457155,-6964.09705568607,-5334.56139358855
oil,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,385.879613531597,-434.592953710051,-506.672634162948
sat_fat,Female,HIS,35-44,11,4706043,g/day,CED,MJ,-668011.27593039,-735963.885197105,-706251.762233124
sat_fat,Female,HIS,35-44,11,4706043,g/day,Food_price,USD,-72374.1003108074,-81861.3069480033,-76767.7688072924
sat_fat,Female,HIS,35-44,11,4706043,g/day,FL,mrh-eq,-17877.4735700973,-19696.0371482238,-18900.8743835531
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,CED,MJ,-281027.963085853,-314723.130520887,-303158.719694753
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,Food_price,USD,-410664.246826791,-465005.355884768,-438912.523674247
added_sugar,Female,OTH,35-44,12,2705155,tsp eq/day,FL,mrh-eq,-14221.8379122208,-15927.0319591911,-15341.7977550442
oil,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-3897.29650455292,-8094.22696049401,-6926.74505236122
oil,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-3588.98409410045,-7227.07798950074,-6449.02591271503
oil,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-222.32158139827,-461.735804794758,-395.136708788917
sat_fat,Female,OTH,35-44,12,2705155,g/day,CED,MJ,-459049.882497734,-464813.228962537,-380828.526691442
sat_fat,Female,OTH,35-44,12,2705155,g/day,Food_price,USD,-55716.2278798784,-59098.9785624908,-48870.7543569323
sat_fat,Female,OTH,35-44,12,2705155,g/day,FL,mrh-eq,-12342.4989693561,-12497.4583768498,-10239.3571535523
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,CED,MJ,-1145325.9246579,-1169497.82272685,-1238620.09091352
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,Food_price,USD,-2206251.79001594,-2253633.39055249,-2332665.50486551
added_sugar,Male,NHW,35-44,13,10698668,tsp eq/day,FL,mrh-eq,-49162.3568731159,-50199.919590926,-53166.9471795902
oil,Male,NHW,35-44,13,10698668,g/day,CED,MJ,44631.7711251535,13276.1882715857,19707.6951129247
oil,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,25522.2591561117,-3683.69207993368,13981.3162791271
oil,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,2127.26814286474,632.778212848071,939.320822950461
sat_fat,Male,NHW,35-44,13,10698668,g/day,CED,MJ,-2068438.0782077,-2222812.41563626,-2104341.78133339
sat_fat,Male,NHW,35-44,13,10698668,g/day,Food_price,USD,-214334.207009935,-238092.413293163,-212961.241721352
sat_fat,Male,NHW,35-44,13,10698668,g/day,FL,mrh-eq,-57483.1853128127,-61773.3445104418,-58480.9716337737
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,CED,MJ,-294328.492839329,-322311.554671574,-326668.018758322
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,Food_price,USD,-503099.593446862,-541410.078253797,-576311.947906233
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,FL,mrh-eq,-11255.37320652,-12325.469415503,-12492.0643268013
oil,Male,NHB,35-44,14,2373836,g/day,CED,MJ,13665.0301288788,15528.8510486589,14126.6005552972
oil,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,5582.02029379079,11020.1064423184,8026.88589432044
oil,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,695.877564886844,790.790722838889,719.382562777847
sat_fat,Male,NHB,35-44,14,2373836,g/day,CED,MJ,-405040.442897789,-371748.852402528,-396251.096879718
sat_fat,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,-38938.1936717517,-36341.970991238,-38530.4192670242
sat_fat,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,-11087.0886536913,-10175.8048011391,-10846.4996946897
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,CED,MJ,-508348.787650165,-433016.54568841,-443971.719635337
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,Food_price,USD,-823209.509616498,-724306.6014623,-735724.569038837
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,FL,mrh-eq,-21459.7160254947,-18279.5992251067,-18742.0669787877
oil,Male,HIS,35-44,15,4477083,g/day,CED,MJ,43391.042949269,45666.7222843725,19634.6975835131
oil,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,34619.5553399388,33269.7102603121,18369.9400887319
oil,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,2215.60113560945,2331.80017984614,1002.57231231434
sat_fat,Male,HIS,35-44,15,4477083,g/day,CED,MJ,-775693.99717205,-863468.407788296,-777590.043510361
sat_fat,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,-72103.076529311,-84877.2544280494,-74505.5223083226
sat_fat,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,-21659.6258082804,-24110.5418865552,-21712.5689203229
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,CED,MJ,-145745.061206323,-129238.960321869,-132307.168873351
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,Food_price,USD,-233560.308130911,-207423.611356739,-217126.506347827
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,FL,mrh-eq,-7552.35281623589,-6697.02436484293,-6856.01564250811
oil,Male,OTH,35-44,16,2268050,g/day,CED,MJ,9747.98380955266,10453.6246801207,21444.7245512659
oil,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,4777.91427763715,7112.59910935653,10268.7981123333
oil,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,537.031922469143,575.906799643496,1181.42396187629
sat_fat,Male,OTH,35-44,16,2268050,g/day,CED,MJ,-327592.696281291,-274900.773066009,-298571.404983587
sat_fat,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,-47667.3206955031,-36168.0910375691,-40738.7676715467
sat_fat,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,-8921.79665610433,-7486.76275674612,-8131.41865746496
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,CED,MJ,-1587935.10636333,-1967527.16818851,-1661737.56037984
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,Food_price,USD,-2488819.78248038,-3240860.03799483,-2614377.76707627
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,FL,mrh-eq,-70252.3590497223,-87046.0162419486,-73517.4776792819
oil,Female,NHW,45-54,17,12961330,g/day,CED,MJ,-60746.3389123558,-28182.6079947791,-51185.0365894318
oil,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,-60386.2481419994,-31644.8854001409,-45140.7502134607
oil,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,-3392.62732870097,-1573.97281530174,-2858.63736091831
sat_fat,Female,NHW,45-54,17,12961330,g/day,CED,MJ,-2454555.58388351,-2530808.01998175,-2598585.34688674
sat_fat,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,-264810.384541361,-258962.968369081,-276564.33667739
sat_fat,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,-66020.6345648213,-68071.6104120884,-69894.6296831758
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,CED,MJ,-330084.606378921,-346197.024649695,-320260.979534514
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,Food_price,USD,-542373.181197123,-553702.064654202,-511649.573063576
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,FL,mrh-eq,-13990.6970469838,-14673.6248732572,-13574.3208075994
oil,Female,NHB,45-54,18,2294986,g/day,CED,MJ,-16170.8867606087,-18662.0025847208,-17652.994836843
oil,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,-11062.118728674,-11282.0252279557,-10596.1663552108
oil,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,-780.712543090138,-900.980862259384,-852.267083200452
sat_fat,Female,NHB,45-54,18,2294986,g/day,CED,MJ,-291747.379555726,-303380.67574485,-297432.808676133
sat_fat,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,-39378.9008593714,-40716.7143542493,-40075.2222974912
sat_fat,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,-7582.86392546682,-7885.22723080693,-7730.6350397904
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,CED,MJ,-285114.285069303,-286424.594720901,-322009.981469247
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,Food_price,USD,-472679.934455707,-469512.485645168,-524326.853726855
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,FL,mrh-eq,-13540.5840763484,-13602.8130102624,-15292.8262659582
oil,Female,HIS,45-54,19,2981376,g/day,CED,MJ,-4028.64479733607,412.943536090178,209.548002369702
oil,Female,HIS,45-54,19,2981376,g/day,Food_price,USD,-3345.89659072762,606.997213234651,636.31607241122
oil,Female,HIS,45-54,19,2981376,g/day,FL,mrh-eq,-198.330953995405,20.3292892719548,10.3160882402182
sat_fat,Female,HIS,45-54,19,2981376,g/day,CED,MJ,-427637.385285753,-454249.06293959,-418684.408472343
sat_fat,Female,HIS,45-54,19,2981376,g/day,Food_price,USD,-53003.3846984735,-57603.3534865929,-51846.3548174873
sat_fat,Female,HIS,45-54,19,2981376,g/day,FL,mrh-eq,-11388.596351771,-12097.3034608103,-11150.1657500907
added_sugar,Female,OTH,45-54,20,1908325,tsp eq/day,CED,MJ,-152437.931517449,-178978.690454747,-85223.5981588015
added_sugar,Female,OTH,45-54,20,1908325,tsp eq/day,Food_price,USD,-230917.374591142,-260176.829115377,-148784.051784185
added_sugar,Female,OTH,45-54,20,1908325,tsp eq/day,FL,mrh-eq,-7640.92463510645,-8971.2755312363,-4271.81794046752
oil,Female,OTH,45-54,20,1908325,g/day,CED,MJ,-6683.12585926212,-9880.95534192911,-5049.4688081575
oil,Female,OTH,45-54,20,1908325,g/day,Food_price,USD,-3626.20625448515,-4310.66746690933,-2540.0042467953
oil,Female,OTH,45-54,20,1908325,g/day,FL,mrh-eq,-368.643343975204,-545.036633399654,-278.530302426953
sat_fat,Female,OTH,45-54,20,1908325,g/day,CED,MJ,-236740.603962494,-274005.340458452,-263349.202342123
sat_fat,Female,OTH,45-54,20,1908325,g/day,Food_price,USD,-41641.2870097285,-45970.608114931,-45077.0185999696
sat_fat,Female,OTH,45-54,20,1908325,g/day,FL,mrh-eq,-6006.04652611428,-6951.44303787431,-6681.09963144492
added_sugar,Male,NHW,45-54,21,10622756,tsp eq/day,CED,MJ,-1155216.01088213,-1158905.38695044,-1060758.12577729
added_sugar,Male,NHW,45-54,21,10622756,tsp eq/day,Food_price,USD,-2125941.93129303,-2180729.74348466,-2025240.46082699
added_sugar,Male,NHW,45-54,21,10622756,tsp eq/day,FL,mrh-eq,-53019.8061538426,-53189.1337965755,-48684.566068193
oil,Male,NHW,45-54,21,10622756,g/day,CED,MJ,2662.3552441828,17704.273079017,-22.09400558172
oil,Male,NHW,45-54,21,10622756,g/day,Food_price,USD,14993.1293596932,10007.1392236422,-3201.3112756139
