age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
45-54,OTH,sat_fat,Food_price,USD,-385634.589179572,-385158.260784067,-416816.342781123
45-54,OTH,sat_fat,FL,mrh-eq,-49532.3732588729,-49888.3930146536,-53522.5410737799
55-64,NHW,added_sugar,CED,MJ,-7307614.62629033,-9546644.18312483,-7804681.08311453
55-64,NHW,added_sugar,Food_price,USD,-9294420.05259739,-12073022.0825106,-9906248.2923519
55-64,NHW,added_sugar,FL,mrh-eq,-343770.336672135,-448305.427239884,-366919.479638018
55-64,NHW,oil,CED,MJ,-214320.94216562,-454839.40983887,-290018.038852087
55-64,NHW,oil,Food_price,USD,-240670.385183988,-516693.685329122,-329321.622367182
55-64,NHW,oil,FL,mrh-eq,-11202.6883364548,-23621.5161171036,-15065.2457334459
55-64,NHW,sat_fat,CED,MJ,-19373357.3822991,-20594299.5461647,-19963174.9808369
55-64,NHW,sat_fat,Food_price,USD,-2569935.19445673,-2733866.45842116,-2652887.07210215
55-64,NHW,sat_fat,FL,mrh-eq,-530336.289755785,-564054.523678808,-547189.11704388
55-64,NHB,added_sugar,CED,MJ,-1216715.03370372,-1225340.0290668,-1339329.63675822
55-64,NHB,added_sugar,Food_price,USD,-1338760.21891645,-1330454.57858618,-1493059.03661304
55-64,NHB,added_sugar,FL,mrh-eq,-53142.8454216781,-53375.45834426,-58655.2954063507
55-64,NHB,oil,CED,MJ,-49719.0903697738,-48046.0020705994,-82833.0619517942
55-64,NHB,oil,Food_price,USD,-57854.424524108,-76704.4373815566,-114614.544020843
55-64,NHB,oil,FL,mrh-eq,-2465.08161019469,-2419.9892033654,-4140.06123816361
55-64,NHB,sat_fat,CED,MJ,-2206244.40330308,-2196895.70454519,-1981338.72136852
55-64,NHB,sat_fat,Food_price,USD,-346620.957409855,-345365.26341875,-311005.922159606
55-64,NHB,sat_fat,FL,mrh-eq,-59969.6988076402,-59708.5555970974,-53865.6041054476
55-64,HIS,added_sugar,CED,MJ,-1099048.93563434,-1139124.07753975,-927301.88955033
55-64,HIS,added_sugar,Food_price,USD,-1010158.57144118,-1047425.33863751,-855883.812817153
55-64,HIS,added_sugar,FL,mrh-eq,-52477.8166895834,-54394.4969845772,-44303.2903632284
55-64,HIS,oil,CED,MJ,105243.137735959,53108.0462556782,79149.757509666
55-64,HIS,oil,Food_price,USD,120582.214892577,64470.8075934688,92216.5015357461
55-64,HIS,oil,FL,mrh-eq,5466.46346054157,2587.64232864408,4038.93739955137
55-64,HIS,sat_fat,CED,MJ,-2857819.87922396,-2470882.77116381,-2760008.66362794
55-64,HIS,sat_fat,Food_price,USD,-400631.478388521,-348714.671137361,-388018.587119434
55-64,HIS,sat_fat,FL,mrh-eq,-77552.216584198,-67112.074271384,-74926.3182751105
55-64,OTH,added_sugar,CED,MJ,-540084.780388464,-643227.368872659,-549922.583123192
55-64,OTH,added_sugar,Food_price,USD,-684925.040532682,-757903.922056019,-719423.946198135
55-64,OTH,added_sugar,FL,mrh-eq,-27722.9114368442,-34787.6148411763,-27553.6542058805
55-64,OTH,oil,CED,MJ,-79575.568381613,-114943.809291199,-184434.315531911
55-64,OTH,oil,Food_price,USD,-91885.2624440196,-133814.217101349,-213985.410043668
55-64,OTH,oil,FL,mrh-eq,-4205.44480640312,-5994.68459447872,-9672.20556356802
55-64,OTH,sat_fat,CED,MJ,-2323645.79302763,-2324851.52200359,-2338801.62250363
55-64,OTH,sat_fat,Food_price,USD,-390951.03584591,-382932.740192128,-389765.018930092
55-64,OTH,sat_fat,FL,mrh-eq,-62323.5803876963,-62750.5226138122,-62909.4026493951
65-74,NHW,added_sugar,CED,MJ,-5021274.02242495,-5397134.69684948,-5133914.98103844
65-74,NHW,added_sugar,Food_price,USD,-6305442.01808454,-6788711.09006941,-6415897.06837298
65-74,NHW,added_sugar,FL,mrh-eq,-244336.871804257,-262614.282348273,-249851.241406676
65-74,NHW,oil,CED,MJ,-220696.483532341,-234956.209697636,-262156.724952672
65-74,NHW,oil,Food_price,USD,-351423.155065626,-286698.445924152,-325531.451855164
65-74,NHW,oil,FL,mrh-eq,-10442.209187069,-11232.1022638598,-12524.9910294632
65-74,NHW,sat_fat,CED,MJ,-15653464.6895532,-14955067.9839456,-15592545.6955883
65-74,NHW,sat_fat,Food_price,USD,-2265440.04060727,-2166768.93371137,-2257558.852935
65-74,NHW,sat_fat,FL,mrh-eq,-426870.314234168,-407891.531337287,-425234.927772465
65-74,NHB,added_sugar,CED,MJ,-696156.236007686,-704947.298280088,-665475.218259579
65-74,NHB,added_sugar,Food_price,USD,-623656.604310459,-626355.218427876,-596619.759941808
65-74,NHB,added_sugar,FL,mrh-eq,-33710.6342993723,-34289.9590441773,-32211.6149997644
65-74,NHB,oil,CED,MJ,-26938.7250981346,16923.3855765863,-11491.6918297035
65-74,NHB,oil,Food_price,USD,-39724.8744018809,-5614.11097288222,-30929.4352130293
65-74,NHB,oil,FL,mrh-eq,-1330.67579847978,794.185914443235,-586.753773885633
65-74,NHB,sat_fat,CED,MJ,-1321131.87684545,-1307339.81194066,-1287221.82452493
65-74,NHB,sat_fat,Food_price,USD,-180785.041353275,-179131.274063253,-180217.262651632
65-74,NHB,sat_fat,FL,mrh-eq,-35070.3933966325,-34690.789599225,-33935.1117152037
65-74,HIS,added_sugar,CED,MJ,-417075.829346827,-551636.228361242,-422278.929780662
65-74,HIS,added_sugar,Food_price,USD,-412428.923763592,-545346.782653639,-418244.318594516
65-74,HIS,added_sugar,FL,mrh-eq,-22328.8264618847,-29528.4473398125,-22627.4315845192
65-74,HIS,oil,CED,MJ,-17183.226979493,6104.74792562966,26080.9105057357
65-74,HIS,oil,Food_price,USD,-18157.9931166674,6659.09423634192,27651.776747622
65-74,HIS,oil,FL,mrh-eq,-809.06164017305,311.611911669957,1238.61880516479
65-74,HIS,sat_fat,CED,MJ,-1317623.17650625,-1213666.21093859,-1224059.26458874
65-74,HIS,sat_fat,Food_price,USD,-189830.45111879,-174733.042857773,-176363.146087285
65-74,HIS,sat_fat,FL,mrh-eq,-35620.4250119971,-32793.5129979124,-33092.7502524369
65-74,OTH,added_sugar,CED,MJ,-170957.797971281,-393257.80801131,-269723.361232116
65-74,OTH,added_sugar,Food_price,USD,-212066.406227701,-487364.579831344,-330976.044695538
65-74,OTH,added_sugar,FL,mrh-eq,-8992.64493530924,-20683.6637142783,-14169.6438970811
65-74,OTH,oil,CED,MJ,-23406.9031236593,-37376.1831156063,-40553.1888148265
65-74,OTH,oil,Food_price,USD,-56366.551124509,-54436.4876530806,-52242.656825281
65-74,OTH,oil,FL,mrh-eq,-1312.53755845176,-2005.31470995495,-2158.40436161831
65-74,OTH,sat_fat,CED,MJ,-1065894.06046955,-947842.952123052,-1042764.56532691
65-74,OTH,sat_fat,Food_price,USD,-167735.757726202,-148998.902255112,-165432.797216921
65-74,OTH,sat_fat,FL,mrh-eq,-28102.3627148756,-24992.493603646,-27471.1447841052
75+,NHW,added_sugar,CED,MJ,-4410062.86407317,-4149292.78573596,-4366719.95182894
75+,NHW,added_sugar,Food_price,USD,-5911174.48119668,-5573282.78005739,-5858598.01768944
75+,NHW,added_sugar,FL,mrh-eq,-234725.782933159,-221120.777375048,-232549.016591519
75+,NHW,oil,CED,MJ,50079.1865607277,50446.6106314213,67409.4116287865
75+,NHW,oil,Food_price,USD,84733.1133509619,65377.9380187717,92446.9014748248
75+,NHW,oil,FL,mrh-eq,2277.28766895649,2395.58980207631,3175.25038726127
