age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,added_sugar,Food_price,USD,-1094130.98015427,-1209106.65845178,-1184155.2701551
20-34,Female,HIS,added_sugar,FL,mrh-eq,-50671.7388332741,-55996.5286880028,-54840.972128295
20-34,Female,HIS,oil,CED,MJ,-635.269150559893,-18693.4348490362,-32140.1659292008
20-34,Female,HIS,oil,Food_price,USD,-698.052114916178,-20540.8868350002,-35316.5438316373
20-34,Female,HIS,oil,FL,mrh-eq,-32.7909557291754,-964.906912323265,-1658.99250291615
20-34,Female,HIS,sat_fat,CED,MJ,-3053595.7803501,-3185797.13352304,-3178613.2299938
20-34,Female,HIS,sat_fat,Food_price,USD,-678289.052068034,-707654.671153184,-706058.925198088
20-34,Female,HIS,sat_fat,FL,mrh-eq,-83592.8994127891,-87211.9424076523,-87015.281366602
20-34,Female,OTH,added_sugar,CED,MJ,-627235.237547719,-562087.535742477,-468695.275795699
20-34,Female,OTH,added_sugar,Food_price,USD,-706574.01050764,-633185.79794507,-527980.382638749
20-34,Female,OTH,added_sugar,FL,mrh-eq,-28515.8049245155,-25554.0147623079,-21308.1508396845
20-34,Female,OTH,oil,CED,MJ,-28822.2489096249,-117097.371404882,-42217.6944962173
20-34,Female,OTH,oil,Food_price,USD,-32849.9394683013,-133460.840429528,-48117.2969201877
20-34,Female,OTH,oil,FL,mrh-eq,-1475.2029754468,-5993.36961023175,-2160.81918980743
20-34,Female,OTH,sat_fat,CED,MJ,-1452213.24314862,-1421911.74158739,-1310951.22123886
20-34,Female,OTH,sat_fat,Food_price,USD,-266842.660485063,-261274.791350528,-240885.912101354
20-34,Female,OTH,sat_fat,FL,mrh-eq,-38462.5939337512,-37660.0435124333,-34721.198644451
20-34,Male,NHW,added_sugar,CED,MJ,-2488269.32320173,-1949695.55943149,-1975420.03456491
20-34,Male,NHW,added_sugar,Food_price,USD,-2710573.07479358,-2123882.7478046,-2151905.4658479
20-34,Male,NHW,added_sugar,FL,mrh-eq,-102074.464652275,-79980.9444292022,-81036.2208830897
20-34,Male,NHW,oil,CED,MJ,210019.793396037,131822.329522342,87505.4664140891
20-34,Male,NHW,oil,Food_price,USD,230796.382002323,144863.092325319,96162.1032343068
20-34,Male,NHW,oil,FL,mrh-eq,10769.4312043595,6759.60815899014,4487.12040571747
20-34,Male,NHW,sat_fat,CED,MJ,-8448125.82796307,-8945860.90394252,-8618739.62691218
20-34,Male,NHW,sat_fat,Food_price,USD,-1481266.0962546,-1568537.29793637,-1511180.94850503
20-34,Male,NHW,sat_fat,FL,mrh-eq,-229921.329270647,-243467.518404695,-234564.696597925
20-34,Male,NHB,added_sugar,CED,MJ,-789931.047376222,-699115.834126875,-794913.648806704
20-34,Male,NHB,added_sugar,Food_price,USD,-735216.380109057,-650691.493328381,-739853.861063139
20-34,Male,NHB,added_sugar,FL,mrh-eq,-30802.4860269879,-27261.2474006011,-30996.7770495401
20-34,Male,NHB,oil,CED,MJ,604.078303710632,12621.067720719,6577.8310219879
20-34,Male,NHB,oil,Food_price,USD,526.951624022049,11009.6523769723,5737.99575036472
20-34,Male,NHB,oil,FL,mrh-eq,29.8339165028768,623.32296697988,324.862621740549
20-34,Male,NHB,sat_fat,CED,MJ,-1446160.63112959,-1349660.43690555,-1307471.40981125
20-34,Male,NHB,sat_fat,Food_price,USD,-197251.787223886,-184089.462535738,-178335.011186107
20-34,Male,NHB,sat_fat,FL,mrh-eq,-38916.2329160717,-36319.4093308965,-35184.1011434364
20-34,Male,HIS,added_sugar,CED,MJ,-916887.707160274,-738078.62921952,-941424.013567846
20-34,Male,HIS,added_sugar,Food_price,USD,-1009940.65433127,-812984.63041951,-1036967.09732382
20-34,Male,HIS,added_sugar,FL,mrh-eq,-33536.3042640596,-26996.1406255161,-34433.7500807878
20-34,Male,HIS,oil,CED,MJ,92563.6793590149,143644.418439465,119286.629855433
20-34,Male,HIS,oil,Food_price,USD,102585.360780366,159196.507655498,132201.550810565
20-34,Male,HIS,oil,FL,mrh-eq,4849.44359716747,7525.58141696501,6249.46833775334
20-34,Male,HIS,sat_fat,CED,MJ,-2677769.19663435,-2724321.74188285,-2383460.93009249
20-34,Male,HIS,sat_fat,Food_price,USD,-436201.457984606,-443784.743405849,-388259.426563886
20-34,Male,HIS,sat_fat,FL,mrh-eq,-73824.497422953,-75107.9232914145,-65710.5942933698
20-34,Male,OTH,added_sugar,CED,MJ,-339171.918900796,-316667.361339167,-486544.917498799
20-34,Male,OTH,added_sugar,Food_price,USD,-429106.292290801,-400634.456278515,-615556.518527434
20-34,Male,OTH,added_sugar,FL,mrh-eq,-14503.3369180766,-13541.0191013,-20805.1565328049
20-34,Male,OTH,oil,CED,MJ,27799.6233397713,37210.0051871229,32543.2095966593
20-34,Male,OTH,oil,Food_price,USD,43957.7750315212,58837.8129065235,51458.5060656927
20-34,Male,OTH,oil,FL,mrh-eq,1472.79882695228,1971.35232088125,1724.10972384118
20-34,Male,OTH,sat_fat,CED,MJ,-1145788.58962514,-1251310.22359153,-1149314.95784696
20-34,Male,OTH,sat_fat,Food_price,USD,-256580.399983184,-280210.224276366,-257370.071810112
20-34,Male,OTH,sat_fat,FL,mrh-eq,-31216.9069503809,-34091.8343659685,-31312.9825350482
35-44,Female,NHW,added_sugar,CED,MJ,-2722052.09646007,-2140690.96579825,-2408406.73681874
35-44,Female,NHW,added_sugar,Food_price,USD,-2987854.41034644,-2349724.66238502,-2643582.28112902
35-44,Female,NHW,added_sugar,FL,mrh-eq,-127625.982636154,-100368.317118411,-112920.423813253
35-44,Female,NHW,oil,CED,MJ,-208885.604009085,-296881.878091307,-291245.315199436
35-44,Female,NHW,oil,Food_price,USD,-139430.9562648,-198168.391528601,-194405.990774426
35-44,Female,NHW,oil,FL,mrh-eq,-9985.88406643403,-14192.5913473485,-13923.132550327
