"age","disease_type1","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
45,"Cancer","dairy_tot",1406.02232272223,152.666238138399,1421.73580776971,1254.88849272428,1543.79969042983,0.0144993753022693,0.0014972709469626,0.0145559449252707,0.0130536874311078,0.0158969789938796,1.45559449252707,1.30536874311078,1.58969789938796,3.59535950971488,0.39038499050326,3.63554068392757,3.20889306167817,3.94767195967081
45,"Cancer","leg_tot",925.003443660726,81.9242511026839,954.453362565071,838.526755997117,986.447700255643,0.00953832683843139,0.000767716664052027,0.00983102444880221,0.00872550149093928,0.0101023592171083,0.983102444880221,0.872550149093928,1.01023592171083,2.36533935054858,0.209489657822804,2.44064615349326,2.14420859299557,2.5224593255986
55,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"CMD","leg_tot",4171.53319838494,334.1786014958,4108.12666277774,3885.32655463488,4511.63539740111,0.0439303648260828,0.00354886625660792,0.0432092015058963,0.0409180543526261,0.0475556641216979,4.32092015058963,4.09180543526261,4.7555664121698,8.72411497550635,0.69888273763038,8.5915100361402,8.12555815045316,9.43538599902076
55,"Cancer","dairy_tot",3005.60282741366,245.979823609345,2929.97447415364,2812.50002227242,3262.98973282591,0.0101061689323319,0.000847931214278315,0.0098730769503961,0.00942285831123127,0.0109876077380779,0.98730769503961,0.942285831123127,1.09876077380779,6.28575235772201,0.514428667055443,6.12758738147201,5.88190777731757,6.82403716793894
55,"Cancer","leg_tot",2400.60421383272,177.382467464502,2333.61834805517,2269.82642622968,2588.31998734668,0.00807174029292976,0.000611945095624025,0.00786354752454296,0.00760468042342673,0.00871576401556158,0.786354752454296,0.760468042342673,0.871576401556158,5.0204915497904,0.370967931262891,4.88040099627318,4.74699008137755,5.41306998869288
65,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"CMD","leg_tot",6307.85226276239,429.373852596485,6243.94403127273,5930.51099335101,6739.51552893999,0.0444743768680096,0.00299518217302316,0.0440584437098043,0.0418263771819199,0.0474759197385738,4.40584437098043,4.18263771819199,4.74759197385738,21.5931106873181,1.46983739300449,21.3743393117529,20.3013918172689,23.0707852265979
65,"Cancer","dairy_tot",2863.94854754097,144.083392230274,2797.94659423475,2766.35193618174,3017.64681921048,0.00932409230399128,0.000424010430762851,0.00913841550896923,0.00903028525233979,0.0097757246314115,0.913841550896923,0.903028525233979,0.97757246314115,9.80390082293302,0.493227885979385,9.57796219533805,9.46980700716188,10.3300424721599
65,"Cancer","leg_tot",2520.61450513517,212.316209261787,2598.22659264853,2296.30293962825,2678.95579625572,0.00820703388478267,0.000683754468132556,0.00841364548185753,0.00749229311648865,0.00874615479556306,0.841364548185753,0.749229311648865,0.874615479556306,8.62859587418551,0.726803231325818,8.89427844355121,7.86073000468347,9.1706315597267
75,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"CMD","leg_tot",12183.6060255492,226.296989575665,12232.1347306236,11951.7391518395,12374.2234999456,0.0268999485025746,0.000537984556957077,0.0269891402280088,0.0263562519817243,0.0273678320568057,2.69891402280088,2.63562519817243,2.73678320568057,59.3971338471657,1.103235983735,59.6337194676045,58.26674373905,60.3264261779084
75,"Cancer","dairy_tot",2946.57255312222,434.53841189263,2719.6661590529,2674.8184242575,3411.19711694587,0.0111103561424786,0.00163784432237082,0.0102768412620751,0.0100679145892227,0.0128612853440776,1.02768412620751,1.00679145892227,1.28612853440776,14.3650380651812,2.11844803244595,13.2588311317782,13.040190862157,16.630161161598
75,"Cancer","leg_tot",1738.95936428449,155.49903049218,1753.58656165695,1585.50971543204,1879.97589537036,0.00655614234982548,0.000572942230539465,0.00661096095433014,0.00599042107186026,0.00707526781396175,0.661096095433014,0.599042107186026,0.707526781396175,8.47772013462922,0.758083994827151,8.54903018834555,7.72962722087473,9.16519950272482
