"race","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
2,"DIAB","leg_tot",476.052729785285,20.0626894289411,476.115781912358,456.966448267496,495.085416995063,0.0357352134358433,0.0009969774811175,0.0356902928357828,0.0348078974005773,0.0367007119811607,3.56902928357828,3.48078974005773,3.67007119811607,1.6951948819662,0.0714420195715674,1.69541940676445,1.62722979171388,1.76296912614002
2,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Other_CVD","leg_tot",194.392843078135,8.77933638659301,194.490564624191,186.011329364705,202.691293477417,0.0157933946532195,0.000818268504497179,0.0157681715141499,0.0150270364430903,0.016581192531558,1.57681715141499,1.50270364430903,1.6581192531558,0.692221117659684,0.0312626841071254,0.692569098155052,0.662375055950209,0.721771395948096
3,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"All_HD","leg_tot",693.61371408236,73.4895205748681,694.990450397502,623.222745418751,762.834456878098,0.0244144947325032,0.00236002527486418,0.0244854040701784,0.0221430933871579,0.0266256231408246,2.44854040701784,2.21430933871579,2.66256231408246,1.79589287235025,0.190277821088715,1.79945749468292,1.61363776935239,1.97511804636533
3,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"All_STK","leg_tot",608.082869607561,63.6433603787443,632.969758188979,540.617205280226,654.394678640692,0.0543706040393635,0.00472198025215884,0.0563702292239619,0.0493474378977289,0.0576940887740895,5.63702292239619,4.93474378977289,5.76940887740895,1.57443785950984,0.1647843099928,1.63887456961364,1.39975690491809,1.69434761051337
3,"Cancer","dairy_tot",1072.90734861918,18.97666411129,1078.06962461081,1053.19297658823,1088.23378605725,0.0122382742096971,0.000252353847168696,0.0122928694411731,0.01197958046432,0.0124505620083196,1.22928694411731,1.197958046432,1.24505620083196,2.77795352219434,0.0491340570789287,2.79131959969575,2.72690940427333,2.81763647423914
3,"Cancer","leg_tot",568.756504573627,9.63995847680262,564.871886929412,561.825274715582,578.989659429254,0.00648739842001963,0.000113186113773553,0.00646387097614884,0.00639162737683368,0.00660316779049575,0.646387097614884,0.639162737683368,0.660316779049575,1.47261470171181,0.0249596170991891,1.46255671554832,1.45466847884171,1.49911021282089
3,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"DIAB","leg_tot",227.021300807382,1.12100534071532,227.60845146041,225.82266777233,227.720855787361,0.0305384096876662,0.000427599696943078,0.0305925165542976,0.0301116409826546,0.0309191875560412,3.05925165542976,3.01116409826546,3.09191875560412,0.587799704236021,0.00290248802811031,0.589319944755145,0.584696223897456,0.589610980133331
3,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Other_CVD","leg_tot",77.1647553921665,5.41514564354313,77.6047009890082,71.8461393001779,82.1094177268397,0.0129800617541332,0.000842844077897036,0.0129714104240495,0.0121830683314465,0.013784408807391,1.29714104240495,1.21830683314465,1.3784408807391,0.199793676785616,0.0140208033182326,0.200932776468262,0.186022806146176,0.212596312694808
4,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"All_HD","leg_tot",354.647552139678,31.1577046424528,359.781171547655,323.168820147423,381.762707635154,0.0258525240720826,0.00199765706698733,0.0260669256319609,0.0238718446361923,0.0276509621820764,2.60669256319609,2.38718446361923,2.76509621820764,1.38612879107152,0.121778907560588,1.40619338088997,1.26309515822213,1.49210752257523
4,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"All_STK","leg_tot",348.387348788632,40.9090247684901,353.14895431701,307.69804039994,385.029292478203,0.0562286356887567,0.00627257000436434,0.0573890885603453,0.0498534818495266,0.0616174045871365,5.73890885603453,4.98534818495266,6.16174045871365,1.36166098338331,0.159891635242215,1.38027156866661,1.20262810269352,1.50487486658229
4,"Cancer","dairy_tot",1051.95214640245,52.8687821299383,1071.94983088188,995.998965550683,1090.90729544669,0.0142990610834262,0.000867092207134606,0.0147776722696685,0.0133721233243099,0.0148191793342365,1.47776722696685,1.33721233243099,1.48191793342365,4.11152184234906,0.206635970323383,4.18968216248795,3.89283059673709,4.26377681584298
4,"Cancer","leg_tot",499.944214662883,25.4271227844516,498.901063549952,476.247037921099,524.52806985066,0.0067947351731456,0.000391601756413716,0.00687774390156381,0.00639375692946891,0.00712515599766683,0.687774390156381,0.639375692946891,0.712515599766683,1.95401622171899,0.0993811088022331,1.94993909843885,1.86139655255528,2.05010144567082
4,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"DIAB","leg_tot",100.302054804937,10.3628071364655,104.558271398547,89.292314075853,107.694011429451,0.0303799958099307,0.002795715280497,0.031216671142225,0.0274592320433492,0.032589585544062,3.1216671142225,2.74592320433492,3.2589585544062,0.392027423085098,0.0405027054085486,0.408662711629586,0.348996198099214,0.420918652808166
4,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Other_CVD","leg_tot",40.5104947713559,2.95995929394945,41.5281236454966,37.3935703305558,42.7624346691365,0.0129423745917679,0.00122094199292594,0.0134296621712609,0.011646869015925,0.0138236857250418,1.34296621712609,1.1646869015925,1.38236857250418,0.15833399329657,0.0115689077028428,0.162311363709989,0.14615159225948,0.167135629482252
