"age","female","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
35,0,"CM","leg_tot",17.6733484941559,0.832257425121389,17.9460129738141,16.7993131261875,18.3156190544149,0.0249557548621036,0.00109066353044517,0.0250196720284371,0.0238937950130873,0.0259633851197364,2.50196720284371,2.38937950130873,2.59633851197364,0.0891798981591798,0.00419957952162202,0.0905557659261498,0.084769506708532,0.0924208020079029
35,0,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"DIAB","leg_tot",96.5778259990167,6.08701006098246,96.4583667320222,90.8467718899928,102.410420484986,0.0740632560175296,0.00462991568268558,0.0738206387702966,0.0697724800213299,0.0785602566738772,7.38206387702966,6.97724800213299,7.85602566738772,0.487332702678007,0.0307151153337931,0.486729909988876,0.458413744736533,0.516764034405241
35,0,"ECA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"ECA","leg_tot",3.54059102088934,1.43201231603539,2.74441965380134,2.68663148143979,5.0712962223637,0.0188975720708031,0.00295724527170036,0.0172421132949233,0.0171439836654129,0.0220583004356911,1.72421132949233,1.71439836654129,2.20583004356911,0.0178658586838045,0.00722594886582788,0.0138483697819338,0.0135567700702147,0.0255898128639842
35,0,"ENDO","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"ENDO","leg_tot",3.97099679985905,1.57101305004234,4.81626876282002,2.29121572678483,4.93229670441643,0.0318219042163784,0.0108453942411175,0.0339907909069854,0.0207526987313713,0.0410475560143694,3.39907909069854,2.07526987313713,4.10475560143694,0.0200376906684639,0.00792734799836298,0.024302941681796,0.0115614981078967,0.0248884198676988
35,0,"GC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"GC","leg_tot",0.362475085316128,0.206542536214663,0.415667455809434,0.148595440019726,0.53114121569322,0.00946797261329485,0.0028435769138867,0.0108776294030547,0.00642909156755484,0.011308645387739,1.08776294030547,0.642909156755484,1.1308645387739,0.00182905300624957,0.00104221576071185,0.00209746225450307,0.000749814117695898,0.00268014403378778
35,0,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"HHD","leg_tot",41.2451761375235,17.7847871438946,50.9731229283424,22.2311193927381,51.9904781101129,0.0337875722708376,0.0149134695648575,0.0416044532324857,0.0178413364011547,0.0430894593231195,4.16044532324857,1.78413364011547,4.30894593231195,0.208123582733519,0.0897422187311969,0.257210902229879,0.11217845696103,0.262344486934103
35,0,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"HSTK","leg_tot",57.8646840125179,8.5145095886972,59.613067876716,49.1617637334786,65.0814780069889,0.0978949922907219,0.0147591715296134,0.10114673612299,0.082749380776578,0.110276621547438,10.114673612299,8.2749380776578,11.0276621547438,0.291985790296381,0.0429643029019918,0.300808153246101,0.24807076511432,0.328401806971179
35,0,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"IHD","leg_tot",199.29392164489,22.7349558978677,198.161938849184,178.196894494816,221.353134171314,0.0600842549576263,0.00587756653936911,0.0598313514840046,0.0546119288103285,0.0657715490575025,5.98313514840046,5.46119288103285,6.57715490575025,1.00563917708701,0.114720821144659,0.999927180264652,0.899183361239366,1.11695019023365
35,0,"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"ISTK","leg_tot",27.623082681289,6.59536790935655,26.8858762448185,21.7002208074458,34.1725700261322,0.141575226408322,0.0414464666686804,0.137520868603327,0.104065729582944,0.182530927367946,13.7520868603327,10.4065729582944,18.2530927367946,0.13938635913701,0.0332802942619069,0.135666407881113,0.109499537242739,0.172435139598794
35,0,"KC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"KC","leg_tot",27.3081917831184,5.35386807222623,29.2069582034836,21.6608828117344,31.3415492971919,0.013773475181311,0.00332219815439482,0.0156805589738952,0.0102245124692549,0.0157014166696707,1.56805589738952,1.02245124692549,1.57014166696707,0.137797416428197,0.0270156733228398,0.147378611302062,0.109301037312039,0.158149779901569
35,0,"LC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"LC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"LVC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"LVC","leg_tot",3.32012685295996,0.321688358247122,3.36637280976743,2.9972460962711,3.60369854636248,0.0121634107445885,0.00102148600988921,0.0118280850682987,0.0113755538969378,0.0132362944170854,1.18280850682987,1.13755538969378,1.32362944170854,0.0167533942263649,0.00162324276222802,0.0169867517997601,0.0151241346093437,0.0181842999060003
35,0,"MLPC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"MLPC","leg_tot",49.0327250416442,16.904346126655,42.9571143225589,36.3534671076912,66.8762520868197,0.0402365634683877,0.0125497292961827,0.0356859473890779,0.0308514289382199,0.0534897216659689,3.56859473890779,3.08514289382199,5.34897216659689,0.247419634548984,0.0852995043084855,0.216762040411573,0.183439968688957,0.33745825542581
35,0,"MMC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"MMC","leg_tot",1.66795863960198,0.488493182945033,1.73890446590591,1.17742348291892,2.09818984392671,0.00483860307149977,0.00119921094814031,0.00474481917639328,0.00374182668743603,0.00601509576640402,0.474481917639328,0.374182668743603,0.601509576640402,0.008416536439748,0.00246494162217742,0.00877452980850294,0.00594129099709981,0.0105874875189545
35,0,"OC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,0,"OC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,0,"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"OSTK","leg_tot",24.2008453242831,1.88830991341703,25.1702091802263,22.1819989937061,25.3957323773084,0.140046650357246,0.00413012396189689,0.140630414954565,0.135904438162332,0.143692662644439,14.0630414954565,13.5904438162332,14.3692662644439,0.122117714257674,0.00952843123232618,0.127009134238488,0.111930594922624,0.128147126609032
35,0,"OTH","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
