"age","female","race","pathway","riskfactor","V1","V2","V3"
45,0,4,"medSBP","leg_tot",0,0,0
55,0,1,"direct","leg_tot",939.677420368805,1340.26470654786,1500.82519259017
55,0,1,"medBMI","leg_tot",1537.1530411515,1347.64638490756,1374.95813035533
55,0,1,"medSBP","leg_tot",0,0,0
55,0,2,"direct","leg_tot",260.455264123673,282.679981186438,323.909234692521
55,0,2,"medBMI","leg_tot",385.788180652035,246.283251407023,398.993054560498
55,0,2,"medSBP","leg_tot",0,0,0
55,0,3,"direct","leg_tot",111.183688580485,118.413990904192,147.476446817982
55,0,3,"medBMI","leg_tot",170.206367206597,173.603937697669,161.102007945528
55,0,3,"medSBP","leg_tot",0,0,0
55,0,4,"direct","leg_tot",83.406627310311,76.5241114029628,83.7345253150973
55,0,4,"medBMI","leg_tot",64.6211364031338,74.4902004626233,76.655622411845
55,0,4,"medSBP","leg_tot",0,0,0
65,0,1,"direct","leg_tot",1818.43229838304,2689.17426430929,1999.71603272853
65,0,1,"medBMI","leg_tot",2192.69886815166,2105.25173421636,1772.50338516695
65,0,1,"medSBP","leg_tot",0,0,0
65,0,2,"direct","leg_tot",292.82842669761,345.304409308622,430.968665664564
65,0,2,"medBMI","leg_tot",300.192593896809,291.183098028138,236.863277848907
65,0,2,"medSBP","leg_tot",0,0,0
65,0,3,"direct","leg_tot",101.327672903571,131.779302544912,145.399165727403
65,0,3,"medBMI","leg_tot",117.654576568602,115.408690402717,149.33767944405
65,0,3,"medSBP","leg_tot",0,0,0
65,0,4,"direct","leg_tot",68.2023902704326,44.5456059621086,54.450257286919
65,0,4,"medBMI","leg_tot",64.9118618749318,58.8348381758023,56.9226683601497
65,0,4,"medSBP","leg_tot",0,0,0
75,0,1,"direct","leg_tot",2742.45909346148,1942.97183243098,2259.39943050582
75,0,1,"medBMI","leg_tot",2510.5177350458,2694.42320343159,2356.63801560046
75,0,1,"medSBP","leg_tot",0,0,0
75,0,2,"direct","leg_tot",214.589405482168,185.101282156379,247.61494988874
75,0,2,"medBMI","leg_tot",179.906116664139,206.367948226105,179.414119756131
75,0,2,"medSBP","leg_tot",0,0,0
75,0,3,"direct","leg_tot",143.349638147395,111.208344684128,128.027714862351
75,0,3,"medBMI","leg_tot",158.270327317957,141.993708241548,134.725379008687
75,0,3,"medSBP","leg_tot",0,0,0
75,0,4,"direct","leg_tot",85.1489506743113,123.161765503591,112.502190082696
75,0,4,"medBMI","leg_tot",91.1223210219546,101.813808292996,76.3427918807507
75,0,4,"medSBP","leg_tot",0,0,0
25,1,1,"direct","leg_tot",25.6755925048982,19.3332148720171,26.6296533255298
25,1,1,"medBMI","leg_tot",60.6174388708464,76.6411719115786,48.0126694460493
25,1,1,"medSBP","leg_tot",0,0,0
25,1,2,"direct","leg_tot",13.224222908458,14.3305949967983,14.6761093908246
25,1,2,"medBMI","leg_tot",22.6808651053758,22.7027383950818,26.9947580054925
25,1,2,"medSBP","leg_tot",0,0,0
25,1,3,"direct","leg_tot",4.54657763435111,7.24045147862219,7.4388354502714
25,1,3,"medBMI","leg_tot",21.1276132621462,20.2897923240829,18.1293322692047
25,1,3,"medSBP","leg_tot",0,0,0
25,1,4,"direct","leg_tot",3.93220113683194,5.38509456562631,7.12125665446317
25,1,4,"medBMI","leg_tot",7.57388945702238,9.59688550036356,9.81923004964839
25,1,4,"medSBP","leg_tot",0,0,0
35,1,1,"direct","leg_tot",72.9088700789663,97.646649448435,98.167323372982
35,1,1,"medBMI","leg_tot",125.626730128937,158.586549651241,151.90120226886
35,1,1,"medSBP","leg_tot",0,0,0
35,1,2,"direct","leg_tot",44.9813213565618,37.1852131854786,36.3574168407276
35,1,2,"medBMI","leg_tot",77.2898595532376,54.8548359228661,49.0025719198028
35,1,2,"medSBP","leg_tot",0,0,0
35,1,3,"direct","leg_tot",15.6568587902719,19.8420955277418,19.2562218761594
35,1,3,"medBMI","leg_tot",40.0557786358485,42.3508070662232,33.6583664174504
35,1,3,"medSBP","leg_tot",0,0,0
35,1,4,"direct","leg_tot",12.5055779511049,12.8865208159058,11.4669917960738
35,1,4,"medBMI","leg_tot",25.6656342638098,30.2713546780518,27.4246452804438
35,1,4,"medSBP","leg_tot",0,0,0
45,1,1,"direct","leg_tot",258.182023447857,224.010762087839,287.456916030658
45,1,1,"medBMI","leg_tot",489.546845926009,558.248691624872,528.627361360695
45,1,1,"medSBP","leg_tot",0,0,0
45,1,2,"direct","leg_tot",92.4644030610879,119.037486782932,101.570861928143
45,1,2,"medBMI","leg_tot",146.062730649369,135.608572101542,151.364433516399
45,1,2,"medSBP","leg_tot",0,0,0
45,1,3,"direct","leg_tot",32.1976096699818,20.1765951285105,44.9839198227154
45,1,3,"medBMI","leg_tot",91.6346196708997,78.5902059447948,98.2262028369085
45,1,3,"medSBP","leg_tot",0,0,0
45,1,4,"direct","leg_tot",26.4543531945402,27.7905286657315,17.7022898822841
45,1,4,"medBMI","leg_tot",44.8662569374012,52.7447430843705,48.5315255258487
45,1,4,"medSBP","leg_tot",0,0,0
55,1,1,"direct","leg_tot",752.20224705609,384.195831053423,753.947033648392
55,1,1,"medBMI","leg_tot",1260.58316150926,1135.70551261212,1357.87713240115
55,1,1,"medSBP","leg_tot",0,0,0
55,1,2,"direct","leg_tot",143.952414578832,250.161147966669,170.031111380426
55,1,2,"medBMI","leg_tot",257.500659342601,371.525238895275,348.434786537978
55,1,2,"medSBP","leg_tot",0,0,0
55,1,3,"direct","leg_tot",61.2151101670334,73.5594734629639,76.1406988921644
55,1,3,"medBMI","leg_tot",160.529435064561,172.157599126444,180.217690002245
55,1,3,"medSBP","leg_tot",0,0,0
55,1,4,"direct","leg_tot",44.8505656559632,42.1714067180923,58.301506708435
55,1,4,"medBMI","leg_tot",141.270300266786,117.835806857538,121.993861746705
55,1,4,"medSBP","leg_tot",0,0,0
65,1,1,"direct","leg_tot",1381.55162477205,1002.4862951922,928.582434882466
65,1,1,"medBMI","leg_tot",1697.94003441517,1464.25823858158,1950.06080557782
65,1,1,"medSBP","leg_tot",0,0,0
65,1,2,"direct","leg_tot",208.062668958738,162.178134635985,203.878109294041
65,1,2,"medBMI","leg_tot",313.229787876243,319.211829706999,245.305158352904
65,1,2,"medSBP","leg_tot",0,0,0
65,1,3,"direct","leg_tot",90.9490176222714,64.4683108989586,66.0582140307293
65,1,3,"medBMI","leg_tot",123.422983744331,114.586778043439,117.706339710713
65,1,3,"medSBP","leg_tot",0,0,0
65,1,4,"direct","leg_tot",49.633671006903,49.8882041689775,50.791879953244
65,1,4,"medBMI","leg_tot",106.110255839106,87.4507262156785,103.697036290052
65,1,4,"medSBP","leg_tot",0,0,0
75,1,1,"direct","leg_tot",3324.48122493047,3385.05980918996,2963.28643240634
75,1,1,"medBMI","leg_tot",3482.55788630181,3402.34529850886,3554.31126922466
75,1,1,"medSBP","leg_tot",0,0,0
75,1,2,"direct","leg_tot",252.6308319969,303.864308235318,552.769105406275
75,1,2,"medBMI","leg_tot",301.494127664902,397.946270504525,553.163817952111
75,1,2,"medSBP","leg_tot",0,0,0
75,1,3,"direct","leg_tot",205.464601605311,266.628485386965,182.926931212818
75,1,3,"medBMI","leg_tot",237.938853284354,321.934826483995,182.698086471991
75,1,3,"medSBP","leg_tot",0,0,0
75,1,4,"direct","leg_tot",104.498600392164,114.154433710565,180.367506648626
75,1,4,"medBMI","leg_tot",100.858703891547,124.634130376509,144.610555345924
75,1,4,"medSBP","leg_tot",0,0,0
