"race","outcome","X1","X2","X3"
4,"ISTK",1531.31661263439,1343.54132631862,1441.22222002314
1,"KC",46658.2012673803,46669.6740002122,45970.3561839024
2,"KC",6909.25099796079,7156.56790554417,7133.02317135833
3,"KC",7957.92363813284,7646.58252023038,7279.24166026241
4,"KC",3851.93188519193,3852.88423488017,3575.2448212651
1,"LC",158371.222052267,159328.511532487,159692.073594423
2,"LC",21175.3541018008,21020.9338019725,21563.8677591247
3,"LC",9132.23685522159,9053.80523079798,8758.38910384776
4,"LC",11002.5579759485,11218.5702607493,11453.2476119953
1,"LVC",22311.9424841189,21855.8599049791,21785.8683283622
2,"LVC",4468.71965435022,4291.02392478786,4229.35548482045
3,"LVC",5522.23143322425,5646.12188424862,5699.11288766328
4,"LVC",3918.7600078621,4033.16068033859,4234.79919913017
1,"MLPC",47386.926581102,47191.4859995161,46753.3619853253
2,"MLPC",4848.03498165102,4992.31964658675,5059.31704878912
3,"MLPC",3660.5769274385,3946.35025498926,3624.54925255666
4,"MLPC",4065.25796541986,3685.53477646474,4074.80180449711
1,"MMC",16343.3277407826,16187.3848005687,16883.2779319135
2,"MMC",5470.46569499875,5588.82154315444,5292.69345269925
3,"MMC",2292.62503386284,2277.07054246117,2559.82408512327
4,"MMC",1406.56622424663,1323.76117025397,1250.8576984533
1,"OC",14507.1547263764,14066.904904087,14350.2238383025
2,"OC",1811.71274215267,1778.62255220313,1940.52043786975
3,"OC",2405.54203488156,2231.05953892836,2461.2432497245
4,"OC",1615.37100699864,1892.52577087793,1647.48699357072
1,"OSTK",53853.6123725114,54204.7736244403,54481.1220023556
2,"OSTK",9157.06372419647,9262.25726868987,9430.47997773492
3,"OSTK",4253.98692050349,4354.1271009821,4495.90097748463
4,"OSTK",2570.54105282271,2742.70884562351,2667.05145235391
1,"OTH",33039.7111692745,32863.0216229218,33141.6415481184
2,"OTH",4154.31466107571,4228.57173849133,4193.33776357179
3,"OTH",2181.82586055387,2002.79228902377,2070.37751023736
4,"OTH",1129.65189264119,953.862048434291,1057.97820041606
1,"PC",38926.5056099603,38653.0274726988,39191.0864671786
2,"PC",6182.42701508473,6337.75144992832,6341.16082835198
3,"PC",4684.08854080914,4581.2268909562,4568.46396801521
4,"PC",3530.98242914213,3579.96167621747,3466.85978509958
1,"PVD",5641.71449153945,5802.74213901945,5859.99850593445
2,"PVD",1093.74160393699,1137.98429354911,1156.09131820398
3,"PVD",470.047737001648,451.330021889942,500.040306060389
4,"PVD",168.758596432795,173.66206473627,177.866077418309
1,"RHD",2856.73732064685,2936.56562220857,2822.55954211188
2,"RHD",338.111784656649,311.197576998451,281.144727481816
3,"RHD",232.465318626969,252.639061059587,265.735659625604
4,"RHD",142.332458340776,131.086033815193,145.387618971952
1,"SCC",6437.73098829363,6383.12091965286,6234.99922884362
2,"SCC",500.716707719521,570.644389765733,509.769992609221
3,"SCC",549.974005709344,611.451644971237,639.155524759322
4,"SCC",498.758253069871,506.05595736615,567.948242550968
1,"SCNC",5687.0771139175,5869.89975484279,5637.88269580298
2,"SCNC",2025.83801640664,2143.34496471178,2127.12912936267
3,"SCNC",2252.86185614959,2291.93306888665,2377.50504616236
4,"SCNC",1740.04753924688,1771.42098338086,1692.82962450853
1,"TC",32083.1674170648,31946.3706839139,32388.1476183049
2,"TC",3297.54611111515,3325.00529457593,3344.07221363288
3,"TC",6972.87514192392,6850.89138447314,6897.54317375512
4,"TC",5383.45651495891,5741.39558516927,5801.81546301141
1,"UC",41113.2066950231,40225.5235892615,40896.9117451818
2,"UC",6366.35025511551,6769.95233016748,6500.51138427559
3,"UC",6417.98988629163,6219.45826793252,6172.86491453125
4,"UC",4719.38861437775,5099.31531878484,4951.31767930128
