"age","female","race","outcome","riskfactor","V1","V2","V3"
35,1,2,"SCNC","dairy_tot",0,0,0
35,1,2,"TC","dairy_tot",0,0,0
35,1,2,"UC","dairy_tot",0,0,0
35,1,3,"AA","dairy_tot",0,0,0
35,1,3,"AFF","dairy_tot",0,0,0
35,1,3,"APCA","dairy_tot",NA,NA,NA
35,1,3,"BC","dairy_tot",NA,NA,NA
35,1,3,"CC","dairy_tot",0.0628012513439237,0.0691876913020492,0.0750884784469498
35,1,3,"CM","dairy_tot",0,0,0
35,1,3,"DIAB","dairy_tot",0,0,0
35,1,3,"ECA","dairy_tot",NA,NA,NA
35,1,3,"ENDO","dairy_tot",0,0,0
35,1,3,"GC","dairy_tot",0,0,0
35,1,3,"HHD","dairy_tot",0,0,0
35,1,3,"HSTK","dairy_tot",0,0,0
35,1,3,"IHD","dairy_tot",0,0,0
35,1,3,"ISTK","dairy_tot",0,0,0
35,1,3,"KC","dairy_tot",0,0,0
35,1,3,"LC","dairy_tot",0,0,0
35,1,3,"LVC","dairy_tot",0,0,0
35,1,3,"MLPC","dairy_tot",0,0,0
35,1,3,"MMC","dairy_tot",0,0,0
35,1,3,"OC","dairy_tot",0,0,0
35,1,3,"OSTK","dairy_tot",0,0,0
35,1,3,"OTH","dairy_tot",0,0,0
35,1,3,"PC","dairy_tot",0,0,0
35,1,3,"PVD","dairy_tot",0,0,0
35,1,3,"RHD","dairy_tot",0,0,0
35,1,3,"SCC","dairy_tot",0,0,0
35,1,3,"SCNC","dairy_tot",0,0,0
35,1,3,"TC","dairy_tot",0,0,0
35,1,3,"UC","dairy_tot",0,0,0
35,1,4,"AA","dairy_tot",0,0,0
35,1,4,"AFF","dairy_tot",0,0,0
35,1,4,"APCA","dairy_tot",NA,NA,NA
35,1,4,"BC","dairy_tot",NA,NA,NA
35,1,4,"CC","dairy_tot",0.0806163697283144,0.0682892230125213,0.062001353623967
35,1,4,"CM","dairy_tot",0,0,0
35,1,4,"DIAB","dairy_tot",0,0,0
35,1,4,"ECA","dairy_tot",NA,0,0
35,1,4,"ENDO","dairy_tot",0,0,0
35,1,4,"GC","dairy_tot",0,0,0
35,1,4,"HHD","dairy_tot",0,0,0
