"female","race","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"HHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","direct","leg_tot",484.380763963515,38.3377001965699,473.920651232127,453.43681900138,524.21580474733,0.0432980490942833,0.00355529817764218,0.0422009690535861,0.0405096107915771,0.0470190054315822,4.22009690535861,4.05096107915771,4.70190054315822,0.660292776179021,0.0522607592588439,0.646033876180519,0.618110953850259,0.71459466350651
0,1,"HSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","medBMI","leg_tot",159.595680381353,27.2430240495931,174.005494326557,130.465610187531,176.477408721752,0.0142645455594593,0.00244119184682382,0.0154945779681423,0.0116550915209076,0.0158284720506304,1.54945779681423,1.16550915209076,1.58284720506304,0.217555862464267,0.0371368421694231,0.237198872182999,0.17784665774445,0.240568508923163
0,1,"HSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","direct","leg_tot",2886.16776431823,164.31351819983,2954.20354385706,2711.53580600685,3002.96931002159,0.0170478951585762,0.000932258678467259,0.017353399300018,0.0160688246230916,0.0177672871738352,1.7353399300018,1.60688246230916,1.77672871738352,3.93433403512205,0.223987072087941,4.02707829148684,3.69628118673999,4.09355426559405
0,1,"IHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","medBMI","leg_tot",2643.89760786389,373.164086762641,2645.76382819674,2288.60190673095,2997.6070217139,0.0156196348003071,0.00222524478074988,0.0155415818452026,0.0135398003290482,0.017765814283405,1.55415818452026,1.35398003290482,1.7765814283405,3.60407890095531,0.508685664564029,3.60662287440804,3.11975086334726,4.08624456112854
0,1,"IHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","direct","leg_tot",572.45746469133,79.3883084086978,545.212114538486,512.02591331895,656.047563693626,0.0453258229442354,0.00604037299615711,0.0432017770216433,0.0407627450877946,0.0516943398348795,4.32017770216433,4.07627450877946,5.16943398348795,0.780356192332017,0.108219670257764,0.743216179291066,0.697977783045146,0.894303612703695
0,1,"ISTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","medBMI","leg_tot",174.75069358165,37.3948765918094,191.65023789631,134.877054845846,200.259719649991,0.0138348131818744,0.00291387086376012,0.0150977224714687,0.0107322960044496,0.015863857463144,1.50977224714687,1.07322960044496,1.5863857463144,0.238214704605669,0.0509755314757659,0.261251637245975,0.183860201751781,0.272987814715295
0,1,"ISTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","medBMI","leg_tot",480.082171893597,36.2719524651286,476.222151578537,447.410977778985,516.03438327601,0.0158326686311139,0.00133992651504882,0.0156429049048758,0.0146499984555195,0.0171766379740106,1.56429049048758,1.46499984555195,1.71766379740106,0.654433069306514,0.0494447962686587,0.649171209795242,0.609896714711215,0.703442004486393
0,1,"KC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LVC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LVC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LVC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LVC","medBMI","leg_tot",231.36505835497,9.58993623877882,226.287129348581,225.427090301887,241.619266063483,0.0145714954008104,0.00050083243927619,0.0142891725567792,0.0142762407815981,0.0151067244374493,1.42891725567792,1.42762407815981,1.51067244374493,0.315389643969287,0.0130727024968317,0.308467569249736,0.307295190798707,0.329367860651485
0,1,"LVC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LVC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MLPC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MLPC","direct","leg_tot",1317.23231455291,172.396035721176,1233.74447755312,1204.03819164167,1501.39109891397,0.0382748935377501,0.00482977910385381,0.0358066916563287,0.0352094085215893,0.0434383501531192,3.58066916563287,3.52094085215893,4.34383501531192,1.79561007900465,0.23500490832284,1.68180205901085,1.6413073749653,2.04664960003872
0,1,"MLPC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MLPC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MLPC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MLPC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MMC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MMC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MMC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MMC","medBMI","leg_tot",41.3245229386404,2.86296702320027,40.235258144486,39.219522993279,44.3553979590331,0.00431599825454328,0.000307671262001357,0.00423810028621294,0.00406392993046914,0.00463427985169822,0.423810028621294,0.406392993046914,0.463427985169822,0.0563323030257325,0.00390270750718804,0.0548474511727376,0.053462832639654,0.0604638974868566
0,1,"MMC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"MMC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OSTK","direct","leg_tot",1239.06877274363,195.608104081881,1272.25667314403,1041.15314639661,1408.77468375031,0.0567862382596135,0.00860658107381354,0.0579739214211144,0.0481638191221929,0.0643991267097582,5.79739214211144,4.81638191221929,6.43991267097582,1.68905997244195,0.266646877201484,1.73430068495832,1.41926755273363,1.92039778651135
0,1,"OSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OSTK","medBMI","leg_tot",279.5663274677,17.7611622675073,275.721423489588,264.626480118832,297.774343197963,0.01282212512086,0.00081907317261094,0.0127673140426464,0.0120686080929567,0.0136222315652449,1.27673140426464,1.20686080929567,1.36222315652449,0.381096113271181,0.0242114634070437,0.375854859879788,0.360730578519232,0.405916713405814
0,1,"OSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OTH","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OTH","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OTH","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OTH","medBMI","leg_tot",180.207291985393,2.26487937201167,181.324951979855,177.787034031305,181.67753894419,0.0128547232881565,0.000104893387328578,0.0128047070819017,0.0127852245569647,0.0129667357946648,1.28047070819017,1.27852245569647,1.29667357946648,0.245652969657774,0.00308741304262206,0.24717652896374,0.242353749369797,0.247657164535681
0,1,"OTH","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"OTH","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PC","medBMI","leg_tot",124.074916016542,13.5900255943314,125.373358242813,110.656825345797,136.389330794957,0.00586705011915193,0.000661368453720053,0.00594361817342624,0.00520937460141804,0.00645964279075267,0.594361817342624,0.520937460141804,0.645964279075267,0.169135062425626,0.0185254997630355,0.170905058441316,0.150843938997208,0.185921689240707
0,1,"PC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PVD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PVD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PVD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PVD","medBMI","leg_tot",37.5618116514483,4.02544003437501,38.7347992713394,33.3628934399933,40.7636903859957,0.0139568208369182,0.00135865450787265,0.0145895489428922,0.0125068189758083,0.0148690038079502,1.45895489428922,1.25068189758083,1.48690038079502,0.0512030921515215,0.00548735452227797,0.05280207235384,0.0454792575795131,0.0555677935515593
0,1,"PVD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"PVD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"RHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"RHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"RHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"RHD","medBMI","leg_tot",16.1723301637775,1.55510593599137,15.6540101036862,14.9781485882225,17.80708379041,0.0163451497149406,0.00135355349382321,0.0168265941900034,0.0149171860715391,0.0173638855545386,1.68265941900034,1.49171860715391,1.73638855545386,0.0220456169517266,0.00211987199352442,0.0213390591837704,0.0204177458089237,0.0242740621972921
0,1,"RHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"RHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCC","medBMI","leg_tot",68.1034078933093,13.7033516929421,72.1831257635223,53.7914856729613,78.9475699239762,0.0132998500194235,0.00282879549711687,0.0139069892926125,0.0104012908040987,0.0156823408525377,1.39069892926125,1.04012908040987,1.56823408525377,0.092836445231984,0.0186799823722392,0.098397789610129,0.0733268784647051,0.10761886927784
0,1,"SCC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCNC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCNC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCNC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCNC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCNC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"SCNC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"TC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"TC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"TC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"TC","medBMI","leg_tot",31.057844206982,1.22672521574908,30.8445056099034,29.996417384325,32.300608837156,0.00335532338453847,0.000153422937347955,0.00334477732310066,0.00321431215225052,0.00350529876904856,0.334477732310066,0.321431215225052,0.350529876904856,0.0423370862330701,0.00167223361986518,0.0420462696998565,0.0408901822360817,0.04403118428329
0,1,"TC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"TC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"UC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"UC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"UC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"UC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"UC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"UC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,2,"AA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"AA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"AA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
