"female","race","outcome","riskfactor","V1","V2","V3"
1,4,"SCC","dairy_tot",0,0,0
0,1,"SCNC","dairy_tot",0,0,0
0,2,"SCNC","dairy_tot",0,0,0
0,3,"SCNC","dairy_tot",0,0,0
0,4,"SCNC","dairy_tot",0,0,0
1,1,"SCNC","dairy_tot",0,0,0
1,2,"SCNC","dairy_tot",0,0,0
1,3,"SCNC","dairy_tot",0,0,0
1,4,"SCNC","dairy_tot",0,0,0
0,1,"TC","dairy_tot",0,0,0
0,2,"TC","dairy_tot",0,0,0
0,3,"TC","dairy_tot",0,0,0
0,4,"TC","dairy_tot",0,0,0
1,1,"TC","dairy_tot",0,0,0
1,2,"TC","dairy_tot",0,0,0
1,3,"TC","dairy_tot",0,0,0
1,4,"TC","dairy_tot",0,0,0
0,1,"UC","dairy_tot",0,0,0
0,2,"UC","dairy_tot",0,0,0
0,3,"UC","dairy_tot",0,0,0
0,4,"UC","dairy_tot",0,0,0
1,1,"UC","dairy_tot",0,0,0
1,2,"UC","dairy_tot",0,0,0
1,3,"UC","dairy_tot",0,0,0
1,4,"UC","dairy_tot",0,0,0
0,1,"AA","leg_tot",67.5929090825062,72.0547498870909,61.9736650301371
0,2,"AA","leg_tot",11.7715245528181,12.6441295009113,14.1004071729951
0,3,"AA","leg_tot",4.81901613032741,5.4666169067317,4.90454412160034
0,4,"AA","leg_tot",3.03821983855662,3.69233780758676,3.04702180146662
1,1,"AA","leg_tot",41.7441303799313,38.2630852171608,48.0316102545876
1,2,"AA","leg_tot",9.55364568975611,8.43945562424755,8.54128472135892
1,3,"AA","leg_tot",2.4155964301049,2.46090706135379,1.32427319177964
1,4,"AA","leg_tot",1.5520138169327,2.21141081779323,2.13184280663216
0,1,"AFF","leg_tot",136.730132197314,133.872100646646,148.619533061666
0,2,"AFF","leg_tot",8.23814182425329,7.49520572356264,8.76646459469486
0,3,"AFF","leg_tot",4.36670164194179,3.97384402698878,4.81914398049414
0,4,"AFF","leg_tot",2.03670599933899,2.50862841032729,2.28797609211201
1,1,"AFF","leg_tot",187.969100487792,146.480655786032,147.721336154051
1,2,"AFF","leg_tot",11.1991350002699,6.15950560924646,10.5752040929605
1,3,"AFF","leg_tot",6.80306996443884,6.68646740170525,5.53117011087986
1,4,"AFF","leg_tot",4.19201021813232,5.23483702539345,5.17167192772378
0,1,"APCA","leg_tot",42.2930299267568,53.7079534775592,76.7075254641879
0,2,"APCA","leg_tot",24.0386293649232,32.3301455726197,18.2836625137563
0,3,"APCA","leg_tot",15.0664608069623,9.46943852956232,10.226039421557
0,4,"APCA","leg_tot",6.94225649960863,6.20368865734751,12.2652501817955
1,1,"APCA","leg_tot",0,0,0
1,2,"APCA","leg_tot",0,0,0
1,3,"APCA","leg_tot",0,0,0
1,4,"APCA","leg_tot",0,0,0
0,1,"BC","leg_tot",0,0,0
