"age","female","disease_type2","riskfactor","V1","V2","V3"
25,0,"Cancer","leg_tot",40.1327888286849,30.2019433009926,38.8636410272674
35,0,"Cancer","leg_tot",94.9559047210564,126.772025286501,87.2618143269904
45,0,"Cancer","leg_tot",387.037658350068,447.576738659893,323.788941418774
55,0,"Cancer","leg_tot",838.882468311788,1080.04239275925,1063.4190421891
65,0,"Cancer","leg_tot",1140.88204779518,1190.49799400502,1087.01724361434
75,0,"Cancer","leg_tot",740.408410651803,762.911955411043,662.524340691602
25,1,"Cancer","leg_tot",70.0435192783903,74.5157531486002,60.8695768349073
35,1,"Cancer","leg_tot",139.065213009502,163.789588252785,186.424219294294
45,1,"Cancer","leg_tot",567.415704215003,540.554874105779,508.636414232662
55,1,"Cancer","leg_tot",1427.58648834813,1253.57595529592,1538.30629459397
65,1,"Cancer","leg_tot",1542.32265391355,1089.91422704322,1511.20934903419
75,1,"Cancer","leg_tot",1013.17815100515,1123.71601015476,914.139224939127
25,0,"DIAB","leg_tot",25.3200085095647,31.7893375585212,26.9561234583907
35,0,"DIAB","leg_tot",102.723686471984,90.5514247930438,96.4583667320222
45,0,"DIAB","leg_tot",234.562596926553,244.371826043378,190.257699423936
55,0,"DIAB","leg_tot",294.503790379208,261.379460318613,334.559375262467
65,0,"DIAB","leg_tot",504.366372992987,656.857083808633,345.08646737331
75,0,"DIAB","leg_tot",333.352865462081,390.07160945901,388.281013500791
25,1,"DIAB","leg_tot",14.3620022898684,26.3020602480501,22.4781463975956
35,1,"DIAB","leg_tot",44.8207597215665,56.2386043015336,29.1833124652848
45,1,"DIAB","leg_tot",110.305653372701,127.086156176985,161.336937241736
55,1,"DIAB","leg_tot",192.0480700645,233.686512819811,226.956723469896
65,1,"DIAB","leg_tot",217.330596694391,259.707606397559,289.652043596458
75,1,"DIAB","leg_tot",500.411630784493,367.569836159078,535.839611800647
25,0,"HHD","leg_tot",20.2840623291645,16.2096117275494,9.04219650719639
35,0,"HHD","leg_tot",52.0440231196797,50.9731229283424,20.7183823645484
45,0,"HHD","leg_tot",145.469500395576,68.1331469443347,94.6635028468626
55,0,"HHD","leg_tot",173.75973724601,134.906512215021,194.820327508143
65,0,"HHD","leg_tot",211.583096110152,132.56365084901,190.594349664273
75,0,"HHD","leg_tot",274.666962573454,334.221144897659,248.155262734461
25,1,"HHD","leg_tot",5.31689544824207,6.50128188909053,7.49379933017476
35,1,"HHD","leg_tot",34.8812163612106,16.3670021090881,12.6186514793697
45,1,"HHD","leg_tot",49.3744136702742,13.693059694947,35.3793764956788
55,1,"HHD","leg_tot",55.4914918187353,74.8280744693129,99.5321022222756
65,1,"HHD","leg_tot",127.777303148526,105.680414042027,66.5548493040896
75,1,"HHD","leg_tot",518.772807938088,458.075708610189,300.715074947879
25,0,"HSTK","leg_tot",23.6282130740973,20.4098238061917,25.2902185266063
35,0,"HSTK","leg_tot",48.6116950943609,65.369289066477,59.613067876716
45,0,"HSTK","leg_tot",171.765072694715,179.233085773211,155.371220219079
55,0,"HSTK","leg_tot",232.987459317787,158.603583802432,247.117571362725
65,0,"HSTK","leg_tot",222.670364956792,277.687142183334,189.221826942658
75,0,"HSTK","leg_tot",345.962378356946,255.893817446099,318.371268472731
25,1,"HSTK","leg_tot",13.2119252289154,15.1369307959857,17.3090851324454
35,1,"HSTK","leg_tot",74.2776546533263,80.9262125604933,69.8018738359441
45,1,"HSTK","leg_tot",111.54796660011,108.350086350608,158.049588130948
55,1,"HSTK","leg_tot",173.269384286851,166.226352978254,248.556361083834
65,1,"HSTK","leg_tot",302.28959666246,325.020175667281,193.641418264701
75,1,"HSTK","leg_tot",690.048531849349,750.634374351524,830.772813877768
25,0,"IHD","leg_tot",51.8395366419594,46.353697974192,42.5940053088402
35,0,"IHD","leg_tot",177.146102686692,222.573723398794,198.161938849184
45,0,"IHD","leg_tot",751.537809549449,660.58253727792,699.780030821445
55,0,"IHD","leg_tot",1466.90826872783,1424.07978466202,1707.11503905107
65,0,"IHD","leg_tot",1792.29531956276,2596.44930525728,2024.65996157919
75,0,"IHD","leg_tot",2817.11169727965,1868.65186587373,1964.52015668358
25,1,"IHD","leg_tot",15.4868719041439,16.0625478426602,16.3348125911195
35,1,"IHD","leg_tot",54.9933412662087,70.8348457020647,59.4496738203696
45,1,"IHD","leg_tot",162.452355645002,255.149302312639,234.826839793934
55,1,"IHD","leg_tot",566.731463161912,408.744761324595,569.447990116461
65,1,"IHD","leg_tot",1090.56320348834,728.146831917175,939.168141909753
75,1,"IHD","leg_tot",2262.11335289344,2070.66227672771,2735.39527552884
25,0,"ISTK","leg_tot",10.0531749836466,7.80476207451481,11.7262903635043
35,0,"ISTK","leg_tot",34.5560802251487,26.8858762448185,21.4272915738999
45,0,"ISTK","leg_tot",65.5554884645579,80.116911249815,62.725721054175
55,0,"ISTK","leg_tot",168.68979580863,153.219561693652,134.650470822087
65,0,"ISTK","leg_tot",281.515135400048,246.887769429265,207.287619708026
75,0,"ISTK","leg_tot",556.986358209155,388.121734008931,600.296144501635
25,1,"ISTK","leg_tot",11.5392711185178,8.87582479706357,12.3345239427494
35,1,"ISTK","leg_tot",19.0139619564647,14.9905491456954,21.9987480050872
45,1,"ISTK","leg_tot",55.8159859571128,49.7505319848411,58.7211030585195
55,1,"ISTK","leg_tot",118.269318116065,97.2017781466107,104.954971285752
65,1,"ISTK","leg_tot",205.362371421863,223.780838712274,160.83755609589
75,1,"ISTK","leg_tot",867.725865834271,1261.30384555497,1034.09739947629
25,0,"OSTK","leg_tot",7.39662408559809,5.78532803488579,4.90781403261941
35,0,"OSTK","leg_tot",22.0247247733629,25.4076020192601,25.1702091802263
45,0,"OSTK","leg_tot",79.9724035649986,123.622265247305,82.6279124054998
55,0,"OSTK","leg_tot",240.628816130801,318.304925060112,278.468716066234
65,0,"OSTK","leg_tot",620.101518714175,532.548428739589,676.715480929717
75,0,"OSTK","leg_tot",762.722697211812,1183.23113849856,950.652232162712
25,1,"OSTK","leg_tot",7.19830745366401,5.85240205114908,6.17029740555254
35,1,"OSTK","leg_tot",21.113854287056,23.8047944226033,25.3471117619391
45,1,"OSTK","leg_tot",81.8073617739831,83.0406228616514,81.0141253812714
55,1,"OSTK","leg_tot",200.210128760297,233.172197152152,214.057102478008
65,1,"OSTK","leg_tot",374.978089574929,412.809701552441,383.289341561549
75,1,"OSTK","leg_tot",1743.84426305544,1714.11612479804,1509.06680483655
