"age","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct","Cancer","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0125713404156197,0.000799744856831133,0.0129077027371341,0.0117208199956336,0.0131359528623187,1.29077027371341,1.17208199956336,1.31359528623187,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"direct","Cancer","leg_tot",34.1681286177481,6.52444752884246,37.5189484173969,27.1926297440226,38.2954306617722,0.0022342077256985,0.000474710790929982,0.00246028633750143,0.00172729277527566,0.00254895585608885,0.246028633750143,0.172729277527566,0.254895585608885,0.0507163744307612,0.00968435607136966,0.0556900571720724,0.0403625146487697,0.0568426038826381
25,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HSTK","leg_tot",30.5259679112806,3.94426163450457,28.3859411959549,28.1278398182811,34.743118712307,0.112933182321609,0.0156069745926414,0.108672581637933,0.100337629502191,0.129150245722151,10.8672581637933,10.0337629502191,12.9150245722151,0.0453102490853344,0.00585453924463725,0.0421337685294191,0.0417506639626561,0.0515698426805406
25,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","IHD","leg_tot",35.4355443680199,2.90830285296102,34.7224881831175,33.0387058415836,38.4384806516232,0.0352618930290661,0.00322995915166795,0.0362831425567858,0.0318766746062573,0.0377790493533133,3.62831425567858,3.18766746062573,3.77790493533133,0.0525976226685368,0.00431684679307271,0.0515392204110336,0.0490399516729507,0.0570549355830004
25,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","ISTK","leg_tot",15.7058502979438,3.70727926414118,16.4305817712975,11.9267634406376,18.8689154028993,0.115556900663973,0.0352173649999401,0.114678360013766,0.0824815922767841,0.149378968603837,11.4678360013766,8.24815922767841,14.9378968603837,0.0233124791051695,0.00550278200433597,0.0243882112055595,0.0177031117849484,0.0280074741400592
25,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","OSTK","leg_tot",10.0877604160536,1.81870992447294,9.12301165525805,8.96310938467987,12.0324478941034,0.109463183231067,0.0218790282448993,0.0996122480888606,0.0945099549076438,0.132789706425365,9.96122480888606,9.45099549076438,13.2789706425365,0.0149734461653435,0.00269954420221302,0.0135414520420627,0.0133041061950689,0.0178599811404067
25,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","Cancer","leg_tot",70.7076121885328,8.50511671229635,72.6573596896783,61.9599417126476,77.7979972884443,0.00460042267799287,0.000451611419225262,0.00476447013852221,0.00412345356584749,0.0049379514486883,0.476447013852221,0.412345356584749,0.49379514486883,0.104952594125859,0.0126242993458556,0.107846639785187,0.0919682678194588,0.115476981621832
25,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","DIAB","leg_tot",49.0692261539969,9.21012080121201,49.4342698559864,40.1696237522608,57.6585414090421,0.0607198069621562,0.0131200684158003,0.064572411164004,0.0470281414452741,0.0711367589074677,6.4572411164004,4.70281414452741,7.11367589074677,0.0728343443825933,0.0136707497309109,0.073376185385383,0.059624502756766,0.0855836211560494
25,"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","HHD","leg_tot",21.6159490771392,4.63061134214582,22.7108936166399,16.8447407263346,25.4564545693682,0.037323707281539,0.00857826702328484,0.0371236221570244,0.0292610525460186,0.0455564343728969,3.71236221570244,2.92610525460186,4.55564343728969,0.0320849461595333,0.00687330059245939,0.033710192243903,0.0250029548712867,0.0377854782760657
25,"medBMI","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","HSTK","leg_tot",7.80276427679999,0.819543744822702,7.52159665641039,7.17885256873193,8.66566846219923,0.028781545294377,0.00194310916801275,0.0279243629307347,0.0274399159899249,0.030851779607925,2.79243629307347,2.74399159899249,3.0851779607925,0.0115817848581734,0.00121646367847101,0.011164442648039,0.0106557013681435,0.0128626092268175
25,"medBMI","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","IHD","leg_tot",27.4549463862852,5.99783821274819,24.2063297168423,23.8033937693843,33.8678231722125,0.0272043799303315,0.00512913855783087,0.0252943195562748,0.0234038283600376,0.0326284828185735,2.52943195562748,2.34038283600376,3.26284828185735,0.0407518760093886,0.0089027002905526,0.0359298952321359,0.0353318100805752,0.0502706255988667
25,"medBMI","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","ISTK","leg_tot",5.07209879538839,0.0858176940333633,5.06356555432269,4.99450145364291,5.15694939203971,0.0369405884227747,0.00301114865522438,0.0360275822437071,0.0345684072727226,0.0400888248250341,3.60275822437071,3.45684072727226,4.00888248250341,0.00752860844486261,0.00012738076328593,0.00751594240002774,0.0074134292999108,0.00765455372792405
25,"medBMI","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","OSTK","leg_tot",2.34916393843608,0.202475369242989,2.40935542206156,2.13771483544946,2.50945028034105,0.0254685841450579,0.0027367971985327,0.0266006932429438,0.0225600426523994,0.0274148329045134,2.66006932429438,2.25600426523994,2.74148329045134,0.0034869067379675,0.000300537871254678,0.00357625005130035,0.00317304899058862,0.00372482266901345
25,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","Other_CVD","leg_tot",49.6641556756953,5.02586227371751,50.5911811169359,44.5569098003525,53.9834299259835,0.0293662729554619,0.00378652220490651,0.0293140150169845,0.0257915434262525,0.0329854217323771,2.93140150169845,2.57915434262525,3.29854217323771,0.0737174090865436,0.00745997873523846,0.0750934098008578,0.0661366311919855,0.0801285863739346
25,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
