"female","race","pathway","disease_type2","riskfactor","V1","V2","V3"
0,3,"direct","ISTK","dairy_tot",0,0,0
0,3,"medBMI","ISTK","dairy_tot",0,0,0
0,3,"medSBP","ISTK","dairy_tot",0,0,0
0,4,"direct","ISTK","dairy_tot",0,0,0
0,4,"medBMI","ISTK","dairy_tot",0,0,0
0,4,"medSBP","ISTK","dairy_tot",0,0,0
1,1,"direct","ISTK","dairy_tot",0,0,0
1,1,"medBMI","ISTK","dairy_tot",0,0,0
1,1,"medSBP","ISTK","dairy_tot",0,0,0
1,2,"direct","ISTK","dairy_tot",0,0,0
1,2,"medBMI","ISTK","dairy_tot",0,0,0
1,2,"medSBP","ISTK","dairy_tot",0,0,0
1,3,"direct","ISTK","dairy_tot",0,0,0
1,3,"medBMI","ISTK","dairy_tot",0,0,0
1,3,"medSBP","ISTK","dairy_tot",0,0,0
1,4,"direct","ISTK","dairy_tot",0,0,0
1,4,"medBMI","ISTK","dairy_tot",0,0,0
1,4,"medSBP","ISTK","dairy_tot",0,0,0
0,1,"direct","OSTK","dairy_tot",0,0,0
0,1,"medBMI","OSTK","dairy_tot",0,0,0
0,1,"medSBP","OSTK","dairy_tot",0,0,0
0,2,"direct","OSTK","dairy_tot",0,0,0
0,2,"medBMI","OSTK","dairy_tot",0,0,0
0,2,"medSBP","OSTK","dairy_tot",0,0,0
0,3,"direct","OSTK","dairy_tot",0,0,0
0,3,"medBMI","OSTK","dairy_tot",0,0,0
0,3,"medSBP","OSTK","dairy_tot",0,0,0
0,4,"direct","OSTK","dairy_tot",0,0,0
0,4,"medBMI","OSTK","dairy_tot",0,0,0
0,4,"medSBP","OSTK","dairy_tot",0,0,0
1,1,"direct","OSTK","dairy_tot",0,0,0
1,1,"medBMI","OSTK","dairy_tot",0,0,0
1,1,"medSBP","OSTK","dairy_tot",0,0,0
1,2,"direct","OSTK","dairy_tot",0,0,0
1,2,"medBMI","OSTK","dairy_tot",0,0,0
1,2,"medSBP","OSTK","dairy_tot",0,0,0
1,3,"direct","OSTK","dairy_tot",0,0,0
1,3,"medBMI","OSTK","dairy_tot",0,0,0
1,3,"medSBP","OSTK","dairy_tot",0,0,0
1,4,"direct","OSTK","dairy_tot",0,0,0
1,4,"medBMI","OSTK","dairy_tot",0,0,0
1,4,"medSBP","OSTK","dairy_tot",0,0,0
0,1,"direct","Other_CVD","leg_tot",0,0,0
0,1,"medBMI","Other_CVD","leg_tot",592.039108234571,589.417473263755,571.641661112325
0,1,"medSBP","Other_CVD","leg_tot",0,0,0
0,2,"direct","Other_CVD","leg_tot",0,0,0
0,2,"medBMI","Other_CVD","leg_tot",108.347513582866,105.477102356014,95.927958862471
0,2,"medSBP","Other_CVD","leg_tot",0,0,0
0,3,"direct","Other_CVD","leg_tot",0,0,0
0,3,"medBMI","Other_CVD","leg_tot",41.0658742942115,37.5117018614124,36.1800799644286
0,3,"medSBP","Other_CVD","leg_tot",0,0,0
0,4,"direct","Other_CVD","leg_tot",0,0,0
0,4,"medBMI","Other_CVD","leg_tot",19.2902297719974,21.7382322046154,18.1948306511025
0,4,"medSBP","Other_CVD","leg_tot",0,0,0
1,1,"direct","Other_CVD","leg_tot",0,0,0
1,1,"medBMI","Other_CVD","leg_tot",554.837687720405,702.425582973685,571.375567192067
1,1,"medSBP","Other_CVD","leg_tot",0,0,0
1,2,"direct","Other_CVD","leg_tot",0,0,0
1,2,"medBMI","Other_CVD","leg_tot",94.7753972026156,89.0134622681774,89.6370949622612
1,2,"medSBP","Other_CVD","leg_tot",0,0,0
1,3,"direct","Other_CVD","leg_tot",0,0,0
1,3,"medBMI","Other_CVD","leg_tot",36.5388266947966,44.83480622005,35.3629771416003
1,3,"medSBP","Other_CVD","leg_tot",0,0,0
1,4,"direct","Other_CVD","leg_tot",0,0,0
1,4,"medBMI","Other_CVD","leg_tot",17.8857324893509,21.0891662026074,23.3332929943941
1,4,"medSBP","Other_CVD","leg_tot",0,0,0
0,1,"direct","Cancer","leg_tot",1233.74447755312,1515.47776319612,1202.47470290949
0,1,"medBMI","Cancer","leg_tot",1287.30549948552,1361.79273178553,1324.87976755209
0,1,"medSBP","Cancer","leg_tot",0,0,0
0,2,"direct","Cancer","leg_tot",121.15846474739,173.577108260125,129.500756089001
0,2,"medBMI","Cancer","leg_tot",191.439178057988,182.186032346098,171.388230588244
0,2,"medSBP","Cancer","leg_tot",0,0,0
0,3,"direct","Cancer","leg_tot",69.8166255749758,84.5695684576042,85.5379459968198
0,3,"medBMI","Cancer","leg_tot",154.939016904836,129.41586091693,125.957346317989
0,3,"medSBP","Cancer","leg_tot",0,0,0
0,4,"direct","Cancer","leg_tot",102.15644924695,89.490444085257,102.989841622563
0,4,"medBMI","Cancer","leg_tot",81.7395670877938,101.493540375032,120.146432191877
0,4,"medSBP","Cancer","leg_tot",0,0,0
1,1,"direct","Cancer","leg_tot",655.627715183349,473.417777369299,712.981594875403
1,1,"medBMI","Cancer","leg_tot",2980.89499717388,2629.90496825943,2876.11439195541
1,1,"medSBP","Cancer","leg_tot",0,0,0
1,2,"direct","Cancer","leg_tot",54.2394638236917,60.5833500040818,63.3975648400995
1,2,"medBMI","Cancer","leg_tot",416.935222149076,432.342305333204,410.974346802116
1,2,"medSBP","Cancer","leg_tot",0,0,0
1,3,"direct","Cancer","leg_tot",29.4569656905461,37.6221233028457,38.28177732541
1,3,"medBMI","Cancer","leg_tot",307.452318533971,328.125147409761,315.094817289193
1,3,"medSBP","Cancer","leg_tot",0,0,0
1,4,"direct","Cancer","leg_tot",43.7520088819676,39.5523199406452,40.0650582074856
1,4,"medBMI","Cancer","leg_tot",271.25303833324,244.518416381804,262.675527634034
1,4,"medSBP","Cancer","leg_tot",0,0,0
0,1,"direct","DIAB","leg_tot",0,0,0
0,1,"medBMI","DIAB","leg_tot",1031.05588393581,1281.71189285488,987.390345083324
0,1,"medSBP","DIAB","leg_tot",0,0,0
0,2,"direct","DIAB","leg_tot",0,0,0
0,2,"medBMI","DIAB","leg_tot",281.430670367687,236.353512129134,217.348614607493
0,2,"medSBP","DIAB","leg_tot",0,0,0
0,3,"direct","DIAB","leg_tot",0,0,0
0,3,"medBMI","DIAB","leg_tot",125.801054859518,102.868182072407,134.262144730739
0,3,"medSBP","DIAB","leg_tot",0,0,0
0,4,"direct","DIAB","leg_tot",0,0,0
0,4,"medBMI","DIAB","leg_tot",56.5417115793611,54.0871549247745,42.597941329362
0,4,"medSBP","DIAB","leg_tot",0,0,0
1,1,"direct","DIAB","leg_tot",0,0,0
1,1,"medBMI","DIAB","leg_tot",714.801608033608,654.19611378136,887.481272594847
1,1,"medSBP","DIAB","leg_tot",0,0,0
1,2,"direct","DIAB","leg_tot",0,0,0
1,2,"medBMI","DIAB","leg_tot",214.653148473834,239.762269783224,238.609973994484
1,2,"medSBP","DIAB","leg_tot",0,0,0
1,3,"direct","DIAB","leg_tot",0,0,0
1,3,"medBMI","DIAB","leg_tot",101.807396600892,122.860497084761,93.4646270738303
1,3,"medSBP","DIAB","leg_tot",0,0,0
1,4,"direct","DIAB","leg_tot",0,0,0
1,4,"medBMI","DIAB","leg_tot",48.016559819186,53.7718954536714,45.8909013084544
1,4,"medSBP","DIAB","leg_tot",0,0,0
0,1,"direct","HHD","leg_tot",0,0,0
0,1,"medBMI","HHD","leg_tot",624.204899980791,527.290928270804,558.141465108052
0,1,"medSBP","HHD","leg_tot",0,0,0
0,2,"direct","HHD","leg_tot",0,0,0
0,2,"medBMI","HHD","leg_tot",199.767676917996,144.702690659764,129.765907424657
0,2,"medSBP","HHD","leg_tot",0,0,0
0,3,"direct","HHD","leg_tot",0,0,0
0,3,"medBMI","HHD","leg_tot",38.0395513097583,46.2594344372352,51.2164008093217
0,3,"medSBP","HHD","leg_tot",0,0,0
0,4,"direct","HHD","leg_tot",0,0,0
0,4,"medBMI","HHD","leg_tot",15.7952535654906,18.7541361941135,18.8702482834542
0,4,"medSBP","HHD","leg_tot",0,0,0
1,1,"direct","HHD","leg_tot",0,0,0
1,1,"medBMI","HHD","leg_tot",627.383723733456,498.452787793325,318.836797233851
1,1,"medSBP","HHD","leg_tot",0,0,0
1,2,"direct","HHD","leg_tot",0,0,0
1,2,"medBMI","HHD","leg_tot",101.218874332293,111.398916967948,152.237277878347
1,2,"medSBP","HHD","leg_tot",0,0,0
1,3,"direct","HHD","leg_tot",0,0,0
1,3,"medBMI","HHD","leg_tot",48.7760198160504,52.2249270336151,38.3667672408231
1,3,"medSBP","HHD","leg_tot",0,0,0
1,4,"direct","HHD","leg_tot",0,0,0
1,4,"medBMI","HHD","leg_tot",14.2355105032772,13.0689090197669,12.8530114264457
1,4,"medSBP","HHD","leg_tot",0,0,0
0,1,"direct","HSTK","leg_tot",526.862918090236,473.920651232127,452.358722568183
0,1,"medBMI","HSTK","leg_tot",176.607509479394,174.005494326557,128.174037338108
0,1,"medSBP","HSTK","leg_tot",0,0,0
0,2,"direct","HSTK","leg_tot",151.917273728065,127.19052329964,178.767809836149
0,2,"medBMI","HSTK","leg_tot",41.0724886243967,37.317191592395,43.0201442726434
0,2,"medSBP","HSTK","leg_tot",0,0,0
0,3,"direct","HSTK","leg_tot",65.3189722303193,73.2176752021823,105.340116737542
0,3,"medBMI","HSTK","leg_tot",25.2179229954774,22.9347782598975,24.4991343968737
0,3,"medSBP","HSTK","leg_tot",0,0,0
0,4,"direct","HSTK","leg_tot",48.2078063084998,38.5169667287261,51.0302697176674
0,4,"medBMI","HSTK","leg_tot",10.4202920383113,10.0934614362203,11.7949385333495
0,4,"medSBP","HSTK","leg_tot",0,0,0
1,1,"direct","HSTK","leg_tot",857.219012144204,819.332637612667,912.377341148123
1,1,"medBMI","HSTK","leg_tot",158.673758850373,205.695292965893,203.758750298587
1,1,"medSBP","HSTK","leg_tot",0,0,0
1,2,"direct","HSTK","leg_tot",163.255574336816,192.654777008663,155.508951499647
1,2,"medBMI","HSTK","leg_tot",34.8524185144005,44.4361654605956,53.3450778839136
1,2,"medSBP","HSTK","leg_tot",0,0,0
1,3,"direct","HSTK","leg_tot",76.9943037953253,82.2642433461542,99.5236981305856
1,3,"medBMI","HSTK","leg_tot",12.408134532091,16.2089584116613,16.4850705512612
1,3,"medSBP","HSTK","leg_tot",0,0,0
1,4,"direct","HSTK","leg_tot",47.2540773772704,68.8747764743915,64.4216098845213
1,4,"medBMI","HSTK","leg_tot",13.9877797305301,16.8272814241189,12.7106409290032
1,4,"medSBP","HSTK","leg_tot",0,0,0
0,1,"direct","IHD","leg_tot",2698.76381980421,2954.20354385706,3005.5359292934
0,1,"medBMI","IHD","leg_tot",3016.12508453059,2645.76382819674,2269.80391086433
0,1,"medSBP","IHD","leg_tot",0,0,0
0,2,"direct","IHD","leg_tot",430.154601975924,353.16471879532,498.989749071051
0,2,"medBMI","IHD","leg_tot",308.726335826954,289.746843385453,335.975915611714
0,2,"medSBP","IHD","leg_tot",0,0,0
0,3,"direct","IHD","leg_tot",229.891565457623,180.68290578906,166.163398640155
0,3,"medBMI","IHD","leg_tot",186.576243964695,168.10889375961,172.091567093361
0,3,"medSBP","IHD","leg_tot",0,0,0
0,4,"direct","IHD","leg_tot",95.1341760315851,124.86116440918,119.480355266471
0,4,"medBMI","IHD","leg_tot",91.4669068567594,102.159016251506,68.7903064528314
0,4,"medSBP","IHD","leg_tot",0,0,0
1,1,"direct","IHD","leg_tot",2003.93005789047,1110.89269263187,1390.95694394748
1,1,"medBMI","IHD","leg_tot",1365.9999362183,1547.86847116451,2119.96422581637
1,1,"medSBP","IHD","leg_tot",0,0,0
1,2,"direct","IHD","leg_tot",242.630372942982,253.082085611523,363.905927435395
1,2,"medBMI","IHD","leg_tot",172.048400466992,289.105081367867,325.262563398673
1,2,"medSBP","IHD","leg_tot",0,0,0
1,3,"direct","IHD","leg_tot",137.541694655337,106.369753537156,113.820051669451
1,3,"medBMI","IHD","leg_tot",125.580118857824,141.344535840826,77.7873123351789
1,3,"medSBP","IHD","leg_tot",0,0,0
1,4,"direct","IHD","leg_tot",60.6154149485245,57.6375591059943,89.6546564621777
1,4,"medBMI","IHD","leg_tot",43.9945923786159,43.300386567095,73.2710526957469
1,4,"medSBP","IHD","leg_tot",0,0,0
0,1,"direct","ISTK","leg_tot",661.881008386002,510.279271149501,545.212114538486
0,1,"medBMI","ISTK","leg_tot",191.65023789631,131.888992580032,200.712850268606
0,1,"medSBP","ISTK","leg_tot",0,0,0
0,2,"direct","ISTK","leg_tot",131.315532858784,119.961028715262,133.335537979584
0,2,"medBMI","ISTK","leg_tot",36.69911655316,29.4349966533294,27.7833555769489
0,2,"medSBP","ISTK","leg_tot",0,0,0
0,3,"direct","ISTK","leg_tot",52.9302557156689,54.8571507181955,82.9030077559192
0,3,"medBMI","ISTK","leg_tot",14.6167361283276,17.5583822875204,17.2021854335338
0,3,"medSBP","ISTK","leg_tot",0,0,0
0,4,"direct","ISTK","leg_tot",23.5147457879797,31.7474792383465,26.4472004600228
0,4,"medBMI","ISTK","leg_tot",4.74839976495409,7.30931335880926,4.51728601022658
0,4,"medSBP","ISTK","leg_tot",0,0,0
1,1,"direct","ISTK","leg_tot",654.657490594636,1088.65901404439,815.67910352941
1,1,"medBMI","ISTK","leg_tot",327.181342326738,184.750328041232,184.01084318888
1,1,"medSBP","ISTK","leg_tot",0,0,0
1,2,"direct","ISTK","leg_tot",126.327715250458,149.244926000987,198.798586555418
1,2,"medBMI","ISTK","leg_tot",26.9673372754926,39.4310934291617,43.2439291608392
1,2,"medSBP","ISTK","leg_tot",0,0,0
1,3,"direct","ISTK","leg_tot",78.559278318336,124.6384012516,63.2905872231145
1,3,"medBMI","ISTK","leg_tot",20.6617022126057,26.489963506992,27.5839681095512
1,3,"medSBP","ISTK","leg_tot",0,0,0
1,4,"direct","ISTK","leg_tot",37.1894517869889,35.0956406230363,50.6988839127184
1,4,"medBMI","ISTK","leg_tot",6.18245663903975,7.59400144406379,9.6384001843597
1,4,"medSBP","ISTK","leg_tot",0,0,0
0,1,"direct","OSTK","leg_tot",1028.98980288359,1415.95984220327,1272.25667314403
0,1,"medBMI","OSTK","leg_tot",275.721423489588,298.935023182614,264.042535730898
0,1,"medSBP","OSTK","leg_tot",0,0,0
0,2,"direct","OSTK","leg_tot",236.46166915097,256.570252120403,253.691820441913
0,2,"medBMI","OSTK","leg_tot",61.6394592303957,57.8658779468833,59.4032575303056
0,2,"medSBP","OSTK","leg_tot",0,0,0
0,3,"direct","OSTK","leg_tot",62.2407476585502,68.6718442530312,83.3934157184116
0,3,"medBMI","OSTK","leg_tot",17.8461915705288,27.2862970244251,26.9219370727227
0,3,"medSBP","OSTK","leg_tot",0,0,0
0,4,"direct","OSTK","leg_tot",40.3576868696771,53.2648913985246,45.3142131074308
0,4,"medBMI","OSTK","leg_tot",9.58980362744464,10.3456594705578,13.5185120312966
0,4,"medSBP","OSTK","leg_tot",0,0,0
1,1,"direct","OSTK","leg_tot",1643.56730697767,1620.43044018565,1226.07481016594
1,1,"medBMI","OSTK","leg_tot",387.09904309527,372.491917910809,429.248591999213
1,1,"medSBP","OSTK","leg_tot",0,0,0
1,2,"direct","OSTK","leg_tot",168.862736506631,231.191747177928,297.671683909878
1,2,"medBMI","OSTK","leg_tot",56.8072317770266,56.3601909161116,60.9552622040529
1,2,"medSBP","OSTK","leg_tot",0,0,0
1,3,"direct","OSTK","leg_tot",87.4775330296768,101.020890446007,81.8887069362973
1,3,"medBMI","OSTK","leg_tot",21.4847664139114,17.8211734813132,26.4904779670749
1,3,"medSBP","OSTK","leg_tot",0,0,0
1,4,"direct","OSTK","leg_tot",53.064016342756,51.1158925008311,80.9112231762231
1,4,"medBMI","OSTK","leg_tot",10.7893707624317,22.3635902193841,15.7040270661838
1,4,"medSBP","OSTK","leg_tot",0,0,0
