"female","race","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,2,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"All_HD","leg_tot",670.296500134006,163.396183282315,653.586083947337,522.78206955252,832.014784474161,0.0297011108957195,0.0070174570883915,0.0290482734883131,0.0233336541931987,0.0366234793945357,2.90482734883131,2.33336541931987,3.66234793945357,4.35886474445563,1.0625474883809,4.25019873774563,3.39959455487305,5.41050103974171
1,2,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"All_STK","leg_tot",699.971801622673,116.798608317201,713.318899993446,583.885307977455,804.713261652734,0.0652048449074266,0.00949806208984985,0.0656981216102747,0.0559811743766426,0.0740092302407896,6.56981216102747,5.59811743766427,7.40092302407896,4.55183998065958,0.7595285607094,4.63863469988833,3.79694222368718,5.23296222628754
1,2,"Cancer","dairy_tot",881.011772156068,53.3036635725625,902.227867287836,824.459903598158,919.529959851975,0.013298959767594,0.000704682992905066,0.0135852283627939,0.0125506441606864,0.0138039470685818,1.35852283627939,1.25506441606864,1.38039470685818,5.72912308558037,0.346627887584548,5.86708902910893,5.36137247664703,5.97960264251443
1,2,"Cancer","leg_tot",479.49075098409,11.7442775099194,474.371911642215,471.334547256239,491.997968152533,0.00724109319231441,0.000231898399650797,0.00712013955366054,0.00709595055823569,0.00748904641924893,0.712013955366054,0.709595055823569,0.748904641924893,3.11807585052176,0.0763717506757931,3.08478859878262,3.06503695076499,3.1994089142568
1,2,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"DIAB","leg_tot",231.008464083848,14.1758318247484,238.609973994484,215.850989749867,239.704654993787,0.03555143458885,0.00285824805224098,0.0367787752705514,0.0325092143190937,0.0375504152791603,3.67787752705514,3.25092143190937,3.75504152791603,1.50222274704496,0.0921838821355544,1.55165453364608,1.40365535115945,1.55877312431951
1,2,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"Other_CVD","leg_tot",91.141984811018,3.16203947474465,89.6370949622612,89.0446439028816,94.5184820905979,0.0149356781258462,0.000464891578645752,0.014737374445254,0.0146095495840181,0.0154303647961775,1.4737374445254,1.46095495840181,1.54303647961775,0.5926863473896,0.0205623964682584,0.582900213485091,0.579047569117965,0.614643339480068
1,3,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,"All_HD","leg_tot",280.60372699542,44.2523344468899,299.939216411597,233.47238550376,311.29990248333,0.0241474286981293,0.00347454270395721,0.0258792032242793,0.0204339413285996,0.0263889077204313,2.58792032242794,2.04339413285996,2.63889077204313,1.43881033704028,0.226906167363159,1.53795407380249,1.19714190995669,1.596206587876
1,3,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,"All_STK","leg_tot",327.097285887852,36.8816673663182,315.262508917885,298.469557832743,365.784574367435,0.0545620129385858,0.00547814936860554,0.0529529991388929,0.050212777653456,0.0602789099534546,5.29529991388929,5.0212777653456,6.02789099534546,1.67720850037371,0.189112685074229,1.61652506033788,1.53041832230761,1.87557960247026
1,3,"Cancer","dairy_tot",493.812799894736,40.8287166790054,481.327158941706,461.716867438634,536.521527160914,0.00915680610488165,0.000801053987028892,0.00892961979633933,0.00851566997725862,0.00999105059476566,0.892961979633933,0.851566997725862,0.999105059476566,2.53205104814216,0.20935138757726,2.46803026887401,2.36747746998886,2.75104228867338
1,3,"Cancer","leg_tot",352.011049850575,14.4674082180857,353.376594614603,337.732649744021,365.128736907706,0.00652628198068893,0.000290789080818547,0.00658170256967681,0.00623026745483419,0.00677518900590398,0.658170256967681,0.623026745483419,0.677518900590398,1.80495513263684,0.0741823949284284,1.81195703508201,1.73174188671996,1.87221676147531
1,3,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,"DIAB","leg_tot",106.044173586494,15.1489934597709,101.807396600892,93.8817655501834,121.807842060567,0.0321025856549207,0.00422869252232484,0.0300759765009963,0.0293089886011264,0.0366188004895508,3.00759765009963,2.93089886011264,3.66188004895508,0.543747065560652,0.0776772590266763,0.522022769209025,0.481383680037153,0.624576102983033
1,3,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
