age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
35-44,Female,NHW,added_sugar,Food_price,USD,-0.303938013532986,-0.296013128809485,-0.323591789062038
35-44,Female,NHW,added_sugar,FL,mrh-eq,-0.00497985164274541,-0.00485000690976793,-0.00530186758677565
35-44,Female,NHW,oil,CED,MJ,-0.0197668897125718,-0.0245927036287826,-0.0381074676299366
35-44,Female,NHW,oil,Food_price,USD,-0.00683976058781837,-0.00850959394593395,-0.0131859872234241
35-44,Female,NHW,oil,FL,mrh-eq,-0.000944966360703079,-0.00117566688466724,-0.00182174715018362
35-44,Female,NHW,sat_fat,CED,MJ,-0.318733987964471,-0.3006203691024,-0.374174723803079
35-44,Female,NHW,sat_fat,Food_price,USD,-0.0159012547104682,-0.0149975880852251,-0.0186671262371777
35-44,Female,NHW,sat_fat,FL,mrh-eq,-0.00845236254925568,-0.00797201567856572,-0.00992257036204049
35-44,Female,OTH,added_sugar,CED,MJ,-0.0998708489722974,-0.115731869445433,-0.104619392045969
35-44,Female,OTH,added_sugar,Food_price,USD,-0.243740190853877,-0.28244986637022,-0.255329266214352
35-44,Female,OTH,added_sugar,FL,mrh-eq,-0.00505411280302375,-0.00585678332667708,-0.00529441988553398
35-44,Female,OTH,oil,CED,MJ,-0.00168689115246749,-0.00418716785546021,-0.00278639269107706
35-44,Female,OTH,oil,Food_price,USD,-0.00055413004105915,-0.00137545062837861,-0.000915307365300327
35-44,Female,OTH,oil,FL,mrh-eq,-9.6228836637192e-05,-0.000238857315094815,-0.000158949987190646
35-44,Female,OTH,sat_fat,CED,MJ,-0.24755956178722,-0.207856302694766,-0.16311897899251
35-44,Female,OTH,sat_fat,Food_price,USD,-0.0126652000431678,-0.0106339728300422,-0.00834520179654027
35-44,Female,OTH,sat_fat,FL,mrh-eq,-0.00665614730056728,-0.00558864363024206,-0.00438578879302385
35-44,Male,HIS,added_sugar,CED,MJ,-0.123438365771343,-0.117340780476246,-0.116661506234492
35-44,Male,HIS,added_sugar,Food_price,USD,-0.297510937856841,-0.282814548217603,-0.281177362603037
35-44,Male,HIS,added_sugar,FL,mrh-eq,-0.00521089523661287,-0.00495348840875581,-0.00492481315136241
35-44,Male,HIS,oil,CED,MJ,0.0240788502251279,0.0311457303735017,0.00593722585875878
35-44,Male,HIS,oil,Food_price,USD,0.00855867272032623,0.011070549897941,0.00211034881303201
35-44,Male,HIS,oil,FL,mrh-eq,0.00122949632635788,0.00159034010004313,0.000303162207242067
35-44,Male,HIS,sat_fat,CED,MJ,-0.297787411541368,-0.289488404016495,-0.278258617743328
35-44,Male,HIS,sat_fat,Food_price,USD,-0.0105128227480745,-0.0102198419446136,-0.00982339552675632
35-44,Male,HIS,sat_fat,FL,mrh-eq,-0.00831508807328287,-0.00808335571719378,-0.00776978751959201
35-44,Male,NHB,added_sugar,CED,MJ,-0.183044112054806,-0.193857881498086,-0.215566978677355
35-44,Male,NHB,added_sugar,Food_price,USD,-0.477870038221239,-0.506101355575106,-0.562776913080608
35-44,Male,NHB,added_sugar,FL,mrh-eq,-0.00699976334115081,-0.00741329113004831,-0.00824346556668589
