"age","female","pathway","disease_type1","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
55,1,"medBMI","CMD",2536.72390843072,201.176983352968,2488.37364714537,2370.34021962245,2744.20531933154,0.0837427523591548,0.00641103798700754,0.0823065211678997,0.0783783878514922,0.0903279133793841,8.23065211678997,7.83783878514922,9.03279133793841,10.077222123053,0.799182418140146,9.88514906336333,9.41625725249634,10.9014490943458
55,1,"medBMI","Cancer",6058.32247726494,646.201288155879,6379.07130669514,5367.72481675864,6476.28363275558,0.0341073050132664,0.00365272770837707,0.0357758533618717,0.0302111549405495,0.0365851889896688,3.57758533618717,3.02111549405495,3.65851889896688,24.0668923778351,2.56705662579503,25.3410780269454,21.3234696508076,25.7272573031189
55,1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,"direct","CMD",7109.54698592412,487.472308861865,7273.0268085076,6596.93097882978,7483.20514382251,0.0797797981791819,0.00542965950568958,0.081592005931905,0.074071608061349,0.0839476117072002,8.1592005931905,7.4071608061349,8.39476117072002,52.2686670833536,3.58384688570177,53.4705541288122,48.4999662829425,55.0157638951248
65,0,"direct","Cancer",12490.953298957,892.496757247678,12321.8791691888,11726.4261592413,13399.1934489755,0.0953453145502505,0.00612691416024487,0.0947332268006331,0.089806708451361,0.101404195236315,9.47332268006331,8.9806708451361,10.1404195236315,91.8322195253112,6.56154547820149,90.5892037018338,86.2114936730028,98.5095088275754
65,0,"medBMI","CMD",7989.92814068768,751.396499266882,8272.97974959723,7194.85827819432,8544.40413560793,0.0896582021312887,0.00838724055367729,0.0928072824908293,0.0807849430402409,0.095854742916727,9.28072824908293,8.07849430402409,9.5854742916727,58.7411398830834,5.52419071785245,60.8221065526605,52.8958670361705,62.8175910608556
65,0,"medBMI","Cancer",5532.58644510632,477.166970436994,5687.35131841141,5031.75266028743,5901.87008761588,0.0422444292088881,0.00365957677656305,0.043008522835991,0.038500398972044,0.0453389798626948,4.3008522835991,3.8500398972044,4.53389798626948,40.6750134124823,3.5080830846639,41.8128290363184,36.9929343131216,43.3899492315824
65,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,"direct","CMD",3589.85969902166,723.625696506864,3840.96682142269,2827.47187050196,4138.80647350048,0.0681084022370841,0.0137916326935309,0.0727090393644223,0.0536097228652883,0.0786965400506425,7.27090393644223,5.36097228652883,7.86965400506425,22.9965783022562,4.63553352677819,24.6051661264888,18.1127352372979,26.5131217166168
65,1,"direct","Cancer",16134.8461770749,188.368619039299,16054.1955630008,16002.9287597919,16335.3166163209,0.0916000058345326,0.000865372492262147,0.091162682355623,0.0910466787636184,0.0925250578625202,9.11626823556229,9.10466787636184,9.25250578625202,103.359541769023,1.20668607149344,102.842895349057,102.5144811064,104.643751888617
65,1,"medBMI","CMD",3803.83179097051,160.193738325169,3771.22902018033,3667.88640801097,3967.48952910171,0.0721645029761764,0.00321117553814481,0.0715120050210964,0.0694388026742845,0.0754448265398863,7.15120050210964,6.94388026742845,7.54448265398863,24.3672797723833,1.02619827953997,24.1584269942229,23.4964160322457,25.4156683739574
65,1,"medBMI","Cancer",6639.68040669451,816.772909844033,6967.01671091303,5772.86235697085,7228.26259783243,0.0376899319076983,0.00457996244401664,0.0394568042648907,0.0328380604754834,0.0410399618362996,3.94568042648907,3.28380604754834,4.10399618362996,42.5336762927305,5.23223294256007,44.6305869194004,36.980855061385,46.3041234914067
65,1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,"direct","CMD",7714.40024938905,207.662092297041,7801.32886643292,7493.59657628719,7861.31459800362,0.0378646495522393,0.00121325653551241,0.0385634420671661,0.0365686898791272,0.0385666355876635,3.85634420671661,3.65686898791272,3.85666355876635,88.7713543855256,2.38961482316143,89.7716617095403,86.230516409676,90.4619311359627
75,0,"direct","Cancer",8354.60161311191,1272.79621961161,8442.10776261699,7110.40024533265,9524.42275381185,0.075604669892255,0.0114244789353505,0.0766840712882261,0.0643290619168493,0.0859627866810853,7.66840712882261,6.43290619168493,8.59627866810852,96.1382967659964,14.646354949064,97.1452498871083,81.8209892663194,109.599694112728
75,0,"medBMI","CMD",11432.8931344289,876.980918461473,11158.3909382597,10747.6181658887,12351.4949697128,0.0560987038462687,0.00405224413441692,0.0551580339551975,0.0527274506992157,0.0602695264007322,5.51580339551975,5.27274506992157,6.02695264007322,131.560895893184,10.0916184519014,128.402136825988,123.67528131302,142.131455680466
75,0,"medBMI","Cancer",3895.91418425268,529.336897418306,4055.22986793438,3342.71743317153,4313.69260420437,0.0352508392849353,0.00470357705599474,0.0365896144779115,0.0303513394703349,0.0390123801855058,3.65896144779115,3.03513394703349,3.90123801855058,44.8311686619164,6.0911998069813,46.6644503893456,38.4654081040513,49.6386397514666
75,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
