"age","female","disease_type2","V1","V2","V3"
75,0,"HSTK",114.784329851403,89.8735352067224,101.113779467499
75,0,"IHD",938.437098079451,636.647659629627,630.114371739855
75,0,"ISTK",185.789451577894,124.508341511274,186.019632846166
75,0,"OSTK",251.462516821235,416.197625728278,307.884375733229
75,0,"Other_CVD",757.644062451749,833.283880476023,749.605975321664
75,1,"Cancer",22545.1947303594,21217.668934706,18864.4947959667
75,1,"DIAB",161.137019732922,125.792251384131,187.083296292952
75,1,"HHD",179.575319153168,164.036213310652,103.902762570866
75,1,"HSTK",241.580373212081,277.349925813827,286.113278383112
75,1,"IHD",764.770562308313,736.671685629993,940.745188945781
75,1,"ISTK",290.344867820946,464.129449804078,355.51101090896
75,1,"OSTK",619.420171466807,630.538175854688,520.075676296518
75,1,"Other_CVD",1052.92793981644,1220.84245004597,1155.02571407276
