"age","female","race","pathway","disease_type","V1","V2","V3"
35,1,2,"direct","Cancer",237.058071492519,289.97051508218,301.963944282632
35,1,2,"medBMI","Cancer",127.986241394302,94.8550057012553,145.754680735681
35,1,2,"medSBP","Cancer",0,0,0
35,1,2,"direct","CMD",208.903614080967,133.8602505235,191.386609792452
35,1,2,"medBMI","CMD",214.189300848063,157.913399075518,142.213996047656
35,1,2,"medSBP","CMD",0,0,0
35,1,3,"medSBP","Cancer",0,0,0
35,1,3,"direct","Cancer",269.570393668805,295.054600539879,331.418027807727
35,1,3,"medBMI","Cancer",32.1710309488861,39.7316568611776,40.3261265847464
35,1,3,"medSBP","CMD",0,0,0
35,1,3,"direct","CMD",13.3436705767901,18.2499775188028,16.6193632940549
35,1,3,"medBMI","CMD",12.0470198933845,12.1645354850119,14.5267502021965
35,1,4,"medBMI","Cancer",110.027461303011,110.754276300248,122.366233766179
35,1,4,"medSBP","Cancer",0,0,0
35,1,4,"direct","Cancer",256.07125572747,245.640054787454,234.65807038188
35,1,4,"medBMI","CMD",18.4267380983429,28.3588761219953,31.1630168607536
35,1,4,"medSBP","CMD",0,0,0
35,1,4,"direct","CMD",22.1814899619153,22.5262253485074,26.6025051910392
45,0,1,"direct","Cancer",2033.8471216673,1723.62363159599,1203.90779609796
45,0,1,"medBMI","Cancer",938.138976631799,1141.20536827952,740.549330764715
45,0,1,"medSBP","Cancer",0,0,0
45,0,1,"direct","CMD",1220.34033496562,2593.90639294434,1279.04722411999
45,0,1,"medBMI","CMD",2020.06876734054,2278.07439416975,1492.18506549542
45,0,1,"medSBP","CMD",0,0,0
45,0,2,"direct","Cancer",532.974806019127,531.304487667245,555.251951992832
45,0,2,"medSBP","Cancer",0,0,0
45,0,2,"medBMI","Cancer",226.479451985139,262.994507531422,145.05147418634
45,0,2,"direct","CMD",877.896162502479,687.444651155939,363.368948274396
45,0,2,"medSBP","CMD",0,0,0
45,0,2,"medBMI","CMD",841.294495125693,729.414300600366,378.613349814897
45,0,3,"medSBP","Cancer",0,0,0
45,0,3,"direct","Cancer",386.275468244327,435.855477860273,274.21462039542
45,0,3,"medBMI","Cancer",58.7025499878863,0,7.76047452205536
45,0,3,"medSBP","CMD",0,0,0
45,0,3,"direct","CMD",90.7508160088501,0,11.777708148843
45,0,3,"medBMI","CMD",108.325415779972,0,15.0121588692861
45,0,4,"medBMI","Cancer",162.206115886748,194.453936615646,237.962626386072
45,0,4,"medSBP","Cancer",0,0,0
45,0,4,"direct","Cancer",544.3639660101,453.993917306474,630.280754368094
45,0,4,"medBMI","CMD",127.830877463221,156.978266811788,144.286052020029
45,0,4,"medSBP","CMD",0,0,0
45,0,4,"direct","CMD",126.680051165113,154.35794010814,150.070153445451
45,1,1,"medSBP","Cancer",0,0,0
45,1,1,"medBMI","Cancer",2088.67082043682,1866.88024203311,1955.32033386725
45,1,1,"direct","Cancer",3577.87650749104,3395.51872672031,2881.55434472386
45,1,1,"medSBP","CMD",0,0,0
45,1,1,"medBMI","CMD",943.254883326169,807.041487632809,1038.79889462975
45,1,1,"direct","CMD",929.963840581374,836.595866022563,1075.9020227677
45,1,2,"medBMI","Cancer",315.627787478461,263.998231298508,329.387975086606
45,1,2,"medSBP","Cancer",0,0,0
45,1,2,"direct","Cancer",713.553817543612,664.781621343998,640.763183697385
45,1,2,"medBMI","CMD",380.632119944092,371.890557698445,451.51595978005
45,1,2,"medSBP","CMD",0,0,0
45,1,2,"direct","CMD",366.807226299686,442.134793303437,431.938425324035
45,1,3,"direct","Cancer",716.872949237364,698.599676616793,619.797056115345
45,1,3,"medBMI","Cancer",172.667028973378,146.170658079792,267.908679669932
45,1,3,"medSBP","Cancer",0,0,0
45,1,3,"direct","CMD",54.4506918291736,23.5232957999861,121.773385093672
45,1,3,"medBMI","CMD",66.7786894927886,47.2972888863605,111.246567139267
45,1,3,"medSBP","CMD",0,0,0
45,1,4,"medSBP","Cancer",0,0,0
45,1,4,"direct","Cancer",674.783840888508,599.672067604694,536.575647489578
45,1,4,"medBMI","Cancer",169.717052910906,235.958238324918,210.234452974423
45,1,4,"medSBP","CMD",0,0,0
45,1,4,"direct","CMD",38.0182145569652,65.1413021693922,54.0008987665011
45,1,4,"medBMI","CMD",35.6741858961627,50.511019969857,53.7593368555906
55,0,1,"medBMI","Cancer",3141.39103889862,3094.43852234095,3677.56451857702
55,0,1,"medSBP","Cancer",0,0,0
55,0,1,"direct","Cancer",6644.68524442297,7843.38528131176,7797.78843281011
55,0,1,"medBMI","CMD",4161.02872043654,3503.37207484293,3369.57224713046
55,0,1,"medSBP","CMD",0,0,0
55,0,1,"direct","CMD",3683.56034667672,3058.90271246616,2810.2375778973
55,0,2,"direct","Cancer",1584.27338109417,1762.73399305477,1929.85837261725
55,0,2,"medBMI","Cancer",563.614148698784,377.435536062603,706.823978883107
55,0,2,"medSBP","Cancer",0,0,0
55,0,2,"direct","CMD",771.394747359104,757.108349488401,1120.03874115492
55,0,2,"medBMI","CMD",1208.68515309267,674.490483838494,1110.7812907912
55,0,2,"medSBP","CMD",0,0,0
55,0,3,"medSBP","Cancer",0,0,0
55,0,3,"direct","Cancer",1012.05033158678,898.228460445527,1079.24007549073
55,0,3,"medBMI","Cancer",140.652473583336,100.873672742644,196.806997642941
55,0,3,"medSBP","CMD",0,0,0
55,0,3,"direct","CMD",148.523977376832,93.0440948177179,270.516807995932
55,0,3,"medBMI","CMD",197.63354796359,142.687485490138,253.393358033256
55,0,4,"medSBP","Cancer",0,0,0
55,0,4,"medBMI","Cancer",82.7842962330951,52.8851771147823,160.718300362568
55,0,4,"direct","Cancer",812.654098214127,741.291643753469,964.171728011925
55,0,4,"medSBP","CMD",0,0,0
55,0,4,"medBMI","CMD",53.9665086635735,36.8473967233735,89.653451077842
55,0,4,"direct","CMD",51.727607063008,37.3179909118296,112.552667312934
55,1,1,"medSBP","Cancer",0,0,0
55,1,1,"direct","Cancer",10156.256189475,9964.00434560963,11383.6846760487
55,1,1,"medBMI","Cancer",4649.91002815779,3789.71472909351,4583.16588326521
55,1,1,"medSBP","CMD",0,0,0
55,1,1,"direct","CMD",1765.46762545712,1026.93169055829,1770.33722845459
55,1,1,"medBMI","CMD",1892.57254686047,1352.54187405385,1663.37273385146
55,1,2,"medBMI","Cancer",731.591067670402,787.34137498531,922.803795474094
55,1,2,"medSBP","Cancer",0,0,0
55,1,2,"direct","Cancer",2222.82877960709,2509.24287658641,3269.90647853068
55,1,2,"medBMI","CMD",600.451629378066,817.614309197953,576.504807078862
55,1,2,"medSBP","CMD",0,0,0
55,1,2,"direct","CMD",524.407782614993,848.212277210999,556.967163089229
55,1,3,"medBMI","Cancer",495.352559792994,405.558077546746,589.368801007877
55,1,3,"direct","Cancer",1403.49383362711,1152.00626358424,1620.5928765491
55,1,3,"medSBP","Cancer",0,0,0
55,1,3,"medBMI","CMD",191.569624572301,142.856023464653,184.429814052545
55,1,3,"direct","CMD",149.759417537033,182.950129231189,171.327926949746
55,1,3,"medSBP","CMD",0,0,0
55,1,4,"direct","Cancer",1884.21945390946,1622.92281930597,1601.59671786729
55,1,4,"medBMI","Cancer",502.217651073954,331.881872504829,386.061591222115
55,1,4,"medSBP","Cancer",0,0,0
55,1,4,"direct","CMD",59.8805845163923,62.4328622274509,77.6067584717648
55,1,4,"medBMI","CMD",73.0763433726066,51.1157272468953,64.0662921625006
55,1,4,"medSBP","CMD",0,0,0
65,0,1,"medSBP","Cancer",0,0,0
65,0,1,"direct","Cancer",9882.0659563246,8594.02422906646,10524.9713614278
65,0,1,"medBMI","Cancer",5185.32973156992,4504.9378023652,5127.42887108437
65,0,1,"medSBP","CMD",0,0,0
65,0,1,"direct","CMD",6279.04287851103,6758.22345089934,5163.93332509517
65,0,1,"medBMI","CMD",7410.27162367958,7399.80359593814,6109.26657685632
65,0,2,"medBMI","Cancer",582.848779961331,464.165823914961,470.63142965555
65,0,2,"medSBP","Cancer",0,0,0
65,0,2,"direct","Cancer",1167.6746713763,1601.52306158322,1608.24595912518
65,0,2,"medBMI","CMD",981.896607307565,850.981409530907,888.372559157317
65,0,2,"medSBP","CMD",0,0,0
65,0,2,"direct","CMD",900.180519575327,719.315245252164,1252.3041364273
65,0,3,"direct","Cancer",724.386486910402,821.965362744464,627.199146735685
65,0,3,"medBMI","Cancer",103.243912918618,0,89.2910176714916
65,0,3,"medSBP","Cancer",0,0,0
65,0,3,"direct","CMD",59.5496376442939,0,145.09148487554
65,0,3,"medBMI","CMD",129.621558509622,0,140.475906843684
65,0,3,"medSBP","CMD",0,0,0
65,0,4,"direct","Cancer",547.75205457749,677.573873744688,695.477733254615
65,0,4,"medSBP","Cancer",0,0,0
65,0,4,"medBMI","Cancer",41.7381247030878,28.1438414744283,0
65,0,4,"direct","CMD",34.2537727769454,16.7284653191604,0.0180413961063051
65,0,4,"medSBP","CMD",0,0,0
65,0,4,"medBMI","CMD",36.8998401117194,22.194744128184,0
65,1,1,"direct","Cancer",12708.3857174985,11818.1459742795,12000.5139425721
65,1,1,"medSBP","Cancer",0,0,0
65,1,1,"medBMI","Cancer",6199.94954525525,4594.77973366368,5954.66975899642
65,1,1,"direct","CMD",3445.49588168145,3195.77413064785,2157.1511763145
65,1,1,"medSBP","CMD",0,0,0
65,1,1,"medBMI","CMD",3194.64355190886,2812.4661322418,3035.57071568761
65,1,2,"medSBP","Cancer",0,0,0
65,1,2,"direct","Cancer",1576.91608611427,2136.28196421235,1994.38911359431
65,1,2,"medBMI","Cancer",561.209501341773,596.909583621537,460.495564952952
65,1,2,"medSBP","CMD",0,0,0
65,1,2,"direct","CMD",519.08400092823,447.950753474405,459.532877082116
65,1,2,"medBMI","CMD",594.83924599412,615.184162184587,553.131567340189
65,1,3,"medBMI","Cancer",114.582615668555,223.602211504323,56.4861877610187
65,1,3,"medSBP","Cancer",0,0,0
65,1,3,"direct","Cancer",866.269066789339,1223.80187803089,1430.96677675036
65,1,3,"medBMI","CMD",56.7416233394969,107.302799295423,34.426462037323
65,1,3,"medSBP","CMD",0,0,0
65,1,3,"direct","CMD",68.885510843295,76.9780754814299,29.5932839405318
65,1,4,"direct","Cancer",902.624692598671,822.000690468693,924.242628315732
65,1,4,"medBMI","Cancer",366.270719088928,294.720599026463,495.365199202644
65,1,4,"medSBP","Cancer",0,0,0
65,1,4,"direct","CMD",121.016851209493,120.263861819005,127.852693642672
65,1,4,"medBMI","CMD",131.594608328779,127.494229438138,148.100275115207
65,1,4,"medSBP","CMD",0,0,0
75,0,1,"direct","Cancer",7380.62701700325,4840.90764756507,6429.77041036678
75,0,1,"medBMI","Cancer",3798.89748575117,3934.06972290316,3027.93802512691
75,0,1,"medSBP","Cancer",0,0,0
75,0,1,"direct","CMD",7332.63146763171,6875.82931288962,7305.81052776217
75,0,1,"medBMI","CMD",10597.2218485706,11666.1136148218,10120.7780835134
75,0,1,"medSBP","CMD",0,0,0
75,0,2,"medSBP","Cancer",0,0,0
75,0,2,"medBMI","Cancer",152.66399107715,207.531911073249,187.284963634787
75,0,2,"direct","Cancer",1026.06128472949,1012.26157413722,938.484260023084
75,0,2,"medSBP","CMD",0,0,0
75,0,2,"medBMI","CMD",376.862786292179,455.799072412098,456.985172407661
75,0,2,"direct","CMD",344.745337895368,339.941680914753,426.782246308082
75,0,3,"medBMI","Cancer",0.100629895470525,0,0.214632926935057
75,0,3,"medSBP","Cancer",0,0,0
75,0,3,"direct","Cancer",457.265015592597,404.554824736353,386.426255040774
75,0,3,"medBMI","CMD",0,0,0.626304799817201
75,0,3,"medSBP","CMD",0,0,0
75,0,3,"direct","CMD",0,0,4.28976942060137
75,0,4,"direct","Cancer",717.433383391512,782.586329563251,687.426837186353
75,0,4,"medBMI","Cancer",103.567761210586,185.694272136911,89.7791570217032
75,0,4,"medSBP","Cancer",0,0,0
75,0,4,"direct","CMD",123.95206090584,261.629146159356,127.589198279649
75,0,4,"medBMI","CMD",184.306303396911,292.377231502742,147.608985569379
75,0,4,"medSBP","CMD",0,0,0
75,1,1,"medBMI","Cancer",6411.23281841223,6057.15033864065,5168.39528503074
75,1,1,"direct","Cancer",12611.6580608062,11473.994915459,9319.73661679869
75,1,1,"medSBP","Cancer",0,0,0
75,1,1,"medBMI","CMD",14196.3184006395,12726.9562316944,11869.726187516
75,1,1,"direct","CMD",10980.1576060819,12343.7000959816,9641.98921626608
75,1,1,"medSBP","CMD",0,0,0
75,1,2,"medSBP","Cancer",0,0,0
75,1,2,"direct","Cancer",2234.91702102439,1543.4054125454,1914.20157161178
75,1,2,"medBMI","Cancer",0,306.753475215668,854.636306421063
75,1,2,"medSBP","CMD",0,0,0
75,1,2,"direct","CMD",0,473.401104841151,1787.96777116077
75,1,2,"medBMI","CMD",0,561.366614982428,2255.07750435254
75,1,3,"medSBP","Cancer",0,0,0
75,1,3,"medBMI","Cancer",137.179162864929,292.716317009803,118.046327767285
75,1,3,"direct","Cancer",521.236113925515,748.361494638456,715.117774093781
75,1,3,"medSBP","CMD",0,0,0
75,1,3,"medBMI","CMD",405.866690517404,1190.28340226838,348.58255290426
75,1,3,"direct","CMD",319.783590425731,815.584905013824,244.213915793683
75,1,4,"medBMI","Cancer",74.7398942638111,214.991445274694,281.490811326414
75,1,4,"direct","Cancer",554.231659062302,580.295535922282,492.870102916898
75,1,4,"medSBP","Cancer",0,0,0
75,1,4,"medBMI","CMD",132.8125300393,403.647124012938,489.299993499673
75,1,4,"direct","CMD",105.604739144369,281.514190986493,506.853219305074
75,1,4,"medSBP","CMD",0,0,0
