"outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"BC","medBMI",453.1903746063,45.2999861683183,449.039966189216,412.054993763572,497.85360260355,0.00207865966600941,0.00020987500245945,0.00206795291377308,0.00188402346355534,0.00228239660786436,0.206795291377308,0.188402346355534,0.228239660786436,0.185067777002567,0.0184989977902791,0.183372889153129,0.168269464603873,0.203306744073283
"BC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC","direct",10952.242859428,427.081807664933,11013.1929746326,10523.722063265,11328.9560576672,0.0766495022616291,0.00243633854310103,0.0767889363516622,0.0742785657634876,0.0789019197832424,7.67889363516622,7.42785657634876,7.89019197832424,4.47252932268788,0.174405912330884,4.49741930923879,4.29753577562906,4.62636638117841
"CC","medBMI",104.865041232013,18.8535446684571,112.676925997832,84.8269607935109,118.263019619568,0.000734239806698574,0.000133345617872435,0.000795830113451819,0.000591961529601851,0.000824166323055038,0.0795830113451819,0.0591961529601851,0.0824166323055038,0.0428233721489575,0.00769915646033106,0.0460134843596731,0.034640490936236,0.0482946579825707
"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","medBMI",97.1383805418944,9.47502104891827,100.322455676789,87.1735008921624,104.396796326966,0.00459066292245193,0.000400358984358842,0.00474062781325755,0.00416715465970252,0.00488670102801655,0.474062781325755,0.416715465970252,0.488670102801655,0.0396680625976116,0.0038692813899659,0.0409683322856783,0.0355987393546453,0.0426321566057212
"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","medBMI",878.849141055261,43.09055399576,856.070466739042,852.13571723911,924.9244380402,0.01211696625918,0.000593258336629061,0.0117934850435819,0.0117576444758259,0.0127512470757924,1.17934850435819,1.17576444758259,1.27512470757924,0.358892566941671,0.0175967396587631,0.34959051893937,0.34798369897183,0.377708175713466
"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","medBMI",72.383714479811,10.4858387335424,71.2974214945524,62.9240140876949,82.7667639093969,0.00676612212816748,0.000921561465105888,0.00657247018915241,0.00598755973539505,0.00770928866910272,0.657247018915241,0.598755973539505,0.770928866910272,0.029559085718898,0.0042820654920351,0.029115480030825,0.0256960607722625,0.0337991755003955
"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","medBMI",10.5367953953444,0.868827611949791,10.7825729599768,9.63210577345772,11.2325740872935,0.00607969441336182,0.000386169092027333,0.00605520450881065,0.00572379569160402,0.00645640955398813,0.605520450881065,0.572379569160402,0.645640955398813,0.004302874486779,0.000354800109957501,0.00440324181599059,0.00393342953255792,0.00458700721117023
"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
