"female","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"ISTK",272.21485572933,38.4478531415549,260.934755058626,241.682092342233,312.335704686526,0.0215530199858228,0.00292689073801166,0.0206760723113832,0.0192404117588183,0.024611033736101,2.06760723113832,1.92404117588183,2.4611033736101,0.371074815886433,0.0524109163238216,0.355698133859483,0.329453503478573,0.425766308017201
0,1,"KC",169.89696135712,8.13365952932396,174.095320657539,161.200682205265,175.02463510362,0.00560152778199386,0.000300892014047453,0.00575080102524477,0.00527996599239013,0.00579620731483432,0.575080102524476,0.527996599239013,0.579620731483432,0.231598247958754,0.0110875514278614,0.237321320640639,0.21974375097869,0.238588133159214
0,1,"LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"LVC",80.2441288902084,7.29777682232712,80.2820499146876,73.2951946718976,87.1608302377118,0.00505320394805202,0.000433080637872113,0.00508502064450776,0.00462908880526698,0.00545027489884968,0.508502064450776,0.462908880526698,0.545027489884968,0.109386298092081,0.00994810214699657,0.109437990851975,0.0999137273216209,0.118814930016631
0,1,"MLPC",476.716314143607,73.3188936195909,449.867849906225,422.069249517596,554.184573371393,0.01385049247767,0.00206096408649322,0.0130564145824062,0.0123422712454654,0.016033679920849,1.30564145824062,1.23422712454654,1.6033679920849,0.649844836818132,0.0999460329892466,0.613245846300045,0.575351659763188,0.75544715581345
0,1,"MMC",14.7336999502844,1.66006510746035,15.0577744356148,13.0416080458234,16.1503285422146,0.00153933579793209,0.000181360401816314,0.00158608049477756,0.00135152393032874,0.00168741467321679,0.158608049477756,0.135152393032874,0.168741467321679,0.0200845210366256,0.00226294906815392,0.0205262892849282,0.0177779140359588,0.0220156250262353
0,1,"OC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"OSTK",561.745050757327,80.5196914538444,550.991216144153,490.335103995394,642.295756940459,0.025749981133445,0.00355782943288823,0.0251074505190268,0.0226847133783984,0.029361399910747,2.51074505190268,2.26847133783984,2.9361399910747,0.76575336318954,0.109761936399154,0.751094070666855,0.668409547121352,0.875557577902011
0,1,"OTH",64.3337219393005,2.08536091316775,64.4894518657967,62.2905912215947,66.2444822194844,0.00459038583992427,0.00019307528470527,0.00464957596838817,0.004388391006744,0.00474206906391021,0.464957596838817,0.4388391006744,0.474206906391021,0.0876977267091257,0.00284269906885581,0.0879100128962546,0.0849125945278812,0.0903024156313107
0,1,"PC",43.950392947496,6.57361168571999,45.1434632515435,37.2760299643515,49.6106461722001,0.00207847329568659,0.000317552724644115,0.00214013178201402,0.00175488899011159,0.00234964788788328,0.214013178201402,0.175488899011159,0.234964788788328,0.0599118072650112,0.0089609427797464,0.0615381635570947,0.05081352345352,0.0676276882282313
0,1,"PVD",13.7743419533791,1.76262775122965,14.5501567774204,11.8965461401216,14.9926951662016,0.00511824208199215,0.00061681624607214,0.00546833930832869,0.00445915285954127,0.00547974866205697,0.546833930832869,0.445915285954127,0.547974866205697,0.0187767540849763,0.0024027592708394,0.0198343206980172,0.0162170012977525,0.0204375752511153
0,1,"RHD",5.80827859626686,0.797510291580244,5.66134190664355,5.1227985781203,6.61865480059324,0.00586980127762316,0.000734588586838379,0.00608541212142946,0.00510322903162215,0.00645310430638882,0.608541212142946,0.510322903162215,0.645310430638882,0.00791766454094595,0.0010871411988989,0.00771736502054378,0.00698323952271518,0.00902234415151856
0,1,"SCC",24.0170548050852,4.67064393572137,26.6535268854234,19.0257645110214,26.7673438308615,0.00468777380970506,0.000944971853791652,0.00513513801300721,0.00367883949358358,0.00531644855301972,0.513513801300721,0.367883949358358,0.531644855301972,0.0327393013362683,0.00636687639208865,0.0363332579892953,0.0259353298118521,0.0364884097056116
0,1,"SCNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"TC",10.6571556511076,0.855211586984001,10.3619368862713,10.0073274276472,11.557919824679,0.00115131859147027,9.60382643883868e-05,0.00110962844993638,0.00108449332076556,0.00125358048247879,0.110962844993638,0.108449332076556,0.125358048247879,0.0145275027717076,0.00116579780825621,0.014125069743156,0.0136416771699698,0.0157553964477141
0,1,"UC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,2,"AA",4.34331617989679,0.0271528389741618,4.34649863453259,4.31630166505063,4.36762560830251,0.00673149091066069,0.000255436524002195,0.00660372656716041,0.0065670739705342,0.00700450754276241,0.660372656716042,0.65670739705342,0.700450754276241,0.0341866855418068,0.000213722770604062,0.0342117349674942,0.0339740515345511,0.0343780275372282
0,2,"AFF",2.38800153186398,0.199096524672606,2.40256308324976,2.19305096339077,2.57057478165927,0.00376308216979299,0.000334963955208693,0.00373034664769722,0.00345992077013603,0.00409406876323136,0.373034664769722,0.345992077013603,0.409406876323136,0.0187962041126665,0.00156710909349701,0.0189108195718243,0.0172617282641344,0.0202332568209143
0,2,"APCA",7.48869479393881,1.56394447770777,7.8020084177495,5.89232114751274,8.8187518601258,0.00116665298364336,0.00023448929028,0.00120402332198874,0.000930137675019652,0.00137140350467348,0.120402332198874,0.0930137675019652,0.137140350467348,0.0589442820727447,0.012309966820217,0.061410405626622,0.0463790619512631,0.0694132971734305
0,2,"BC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,2,"CC",823.209303712575,72.7326844373953,844.565094890439,747.308232580963,880.957952343002,0.100522272097744,0.00693036930998247,0.101348593197973,0.0936224279622246,0.10671974329807,10.1348593197973,9.36224279622246,10.671974329807,6.47956456206702,0.57248639253608,6.64765817700423,5.88213947404951,6.9341100773879
0,2,"CM",14.1008969215684,3.00002341890526,13.9313284806067,11.3263577550622,17.0195692628921,0.0058786642369448,0.00128113122965933,0.00571459039217853,0.00473882994702804,0.00715796129491289,0.571459039217853,0.473882994702804,0.715796129491289,0.110989600790829,0.0236134909346175,0.10965491026201,0.0891509194514866,0.133962769079667
