"","age","female","race","pathway","disease_type3","V1","V2","V3"
"159",35,0,3,"direct","Cancer",207.078266407218,194.757739542586,208.15001641745
"160",35,0,3,"medBMI","DIAB",14.8204320695168,9.50887492856146,11.9879735229791
"161",35,0,3,"medSBP","DIAB",0,0,0
"162",35,0,3,"direct","DIAB",0,0,0
"163",35,0,3,"medBMI","Other_CVD",36.8553169628799,28.2387414796629,30.1882162494237
"164",35,0,3,"medSBP","Other_CVD",0,0,0
"165",35,0,3,"direct","Other_CVD",0,0,0
"166",35,0,4,"medBMI","All_HD",17.6357225048435,15.0850140433589,9.41175905708238
"167",35,0,4,"direct","All_HD",4.08441272027135,5.26800378160475,4.44292778320351
"168",35,0,4,"medSBP","All_HD",0,0,0
"169",35,0,4,"medBMI","All_STK",4.25048664643881,4.15299357969792,4.64936448717767
"170",35,0,4,"direct","All_STK",20.2285611408237,12.3780480483178,9.65490250921218
"171",35,0,4,"medSBP","All_STK",0,0,0
"172",35,0,4,"medBMI","Cancer",111.244247802335,139.341191176831,112.247357327519
"173",35,0,4,"direct","Cancer",157.511223157442,151.176463350635,140.722165138296
"174",35,0,4,"medSBP","Cancer",0,0,0
"175",35,0,4,"medBMI","DIAB",1.58727209918623,4.74327963408348,3.27891308368252
"176",35,0,4,"direct","DIAB",0,0,0
"177",35,0,4,"medSBP","DIAB",0,0,0
"178",35,0,4,"medBMI","Other_CVD",14.806120151502,16.3675514036691,12.6225804903516
"179",35,0,4,"direct","Other_CVD",0,0,0
"180",35,0,4,"medSBP","Other_CVD",0,0,0
"181",35,1,1,"medBMI","All_HD",66.1199007131405,60.9778019577318,54.8015914699866
"182",35,1,1,"direct","All_HD",31.6720898642624,39.4183295348466,34.2534690535997
"183",35,1,1,"medSBP","All_HD",0,0,0
"184",35,1,1,"medBMI","All_STK",37.9859542690593,33.7484456217865,35.0445248589662
"185",35,1,1,"direct","All_STK",121.424806088949,131.301348016785,130.131227118647
"186",35,1,1,"medSBP","All_STK",0,0,0
"187",35,1,1,"medBMI","Cancer",924.373603717564,1208.04679037559,1158.47993233737
"188",35,1,1,"direct","Cancer",908.753058083732,750.834858157029,1179.48319653213
"189",35,1,1,"medSBP","Cancer",0,0,0
"190",35,1,1,"medBMI","DIAB",23.9339498693543,38.5192456728623,13.910725017922
"191",35,1,1,"direct","DIAB",0,0,0
"192",35,1,1,"medSBP","DIAB",0,0,0
"193",35,1,1,"medBMI","Other_CVD",84.6338930233916,93.8025465247411,87.313970880876
"194",35,1,1,"direct","Other_CVD",0,0,0
"195",35,1,1,"medSBP","Other_CVD",0,0,0
