"age","female","race","disease_type","V1","V2","V3"
45,1,1,"CMD",4302.50214570487,4115.02580582459,4631.60301126376
45,1,2,"Cancer",1736.76697823116,1626.82061763815,1606.7617532796
45,1,2,"CMD",1949.48861770098,2124.88151615915,2059.0965499349
45,1,3,"Cancer",1800.69549928832,1656.42407062311,1720.95475015739
45,1,3,"CMD",593.550902048155,367.091744407336,729.390193427328
45,1,4,"Cancer",1427.21647328352,1418.61559630399,1201.55183226421
45,1,4,"CMD",225.126433584052,286.061539338067,283.245808819972
55,0,1,"Cancer",16893.4796426273,19430.4281185527,21236.0231368801
55,0,1,"CMD",21548.828800714,19730.7499232175,19595.3318782899
55,0,2,"Cancer",3472.12072953,3613.19858629954,4210.3450807441
55,0,2,"CMD",5484.74935525265,5170.06949094273,6137.42292103841
55,0,3,"Cancer",2206.09897614564,2242.10994163017,2425.69895851704
55,0,3,"CMD",2178.88788130593,2138.07675590537,2534.34503690256
55,0,4,"Cancer",1856.99873996325,1697.78896883697,1917.35939681011
55,0,4,"CMD",866.62155057887,953.113862219595,927.007582959794
55,1,1,"Cancer",26720.7846764029,25346.3675628236,30153.897483934
55,1,1,"CMD",9601.30739558281,7692.49420081204,9877.77412029113
55,1,2,"Cancer",4876.04253469909,5330.44162836529,6747.3955573356
55,1,2,"CMD",3133.74415983128,4379.59351317143,3281.77503202792
55,1,3,"Cancer",3471.20572069775,2935.98028057638,3902.07814036621
55,1,3,"CMD",1163.70264576478,1144.34473650315,1085.16567456761
55,1,4,"Cancer",4073.7354139634,3586.47969013812,3388.5305642218
55,1,4,"CMD",449.290664423536,456.857290859148,481.825844339214
65,0,1,"Cancer",25312.7379305783,22500.6538234597,25966.6863919248
65,0,1,"CMD",32615.6536781788,32679.4077709568,27105.2309220963
65,0,2,"Cancer",3237.65315050565,3579.36819005884,3465.77649586533
65,0,2,"CMD",5458.80206641582,4829.54535343701,5993.8250847647
65,0,3,"Cancer",1804.95596108236,1837.78468418036,1683.46398210822
65,0,3,"CMD",1595.96721355844,1893.21908122987,2416.77068363099
65,0,4,"Cancer",1317.79425447917,1468.29778872887,1505.05718977677
65,0,4,"CMD",812.390172687655,791.645485253158,680.169012667946
65,1,1,"Cancer",32966.2713989681,28246.2771742922,33881.3552515546
65,1,1,"CMD",16552.3611488318,17123.4743834039,14415.3170782293
65,1,2,"Cancer",4008.50063651239,4625.24003309096,3985.3203880896
65,1,2,"CMD",3855.42125266826,3511.77769745643,3368.33530027005
65,1,3,"Cancer",2408.08730886903,2849.60355457469,3016.13666508404
65,1,3,"CMD",1347.31535621704,1102.33299080039,1143.01828735643
65,1,4,"Cancer",2252.36458553666,2084.70413096173,2444.42544610421
65,1,4,"CMD",741.347123790462,832.626027598327,730.552120822907
75,0,1,"Cancer",19576.3154378398,17153.2031350186,16875.0018807206
75,0,1,"CMD",46880.1072350168,47333.8781232091,47359.9457028062
75,0,2,"Cancer",2015.98327748242,2219.44499614146,1828.58210662228
75,0,2,"CMD",3552.64021075791,3509.2536540162,3641.83255564099
75,0,3,"Cancer",1118.33480972481,1017.55111470842,1059.87150505799
75,0,3,"CMD",2371.16358688047,2179.6234639207,2633.44375753854
75,0,4,"Cancer",1362.86644706203,1492.58213877344,1443.53157556208
75,0,4,"CMD",1443.12476899018,1721.06496152173,1567.30446578414
75,1,1,"Cancer",32318.6999599925,30444.8606865632,27926.0800838506
75,1,1,"CMD",62192.6260080554,62247.6760602868,60526.346769553
75,1,2,"Cancer",3898.18485731515,3510.4972904224,4075.86778321966
75,1,2,"CMD",5032.56757554308,5817.55525347013,9098.82699092291
