"female","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"CC","medBMI",175.325179244441,21.5398692053068,185.50233400646,152.328458202659,189.671318738508,0.00234374698764353,0.000314185696801408,0.00246832420637328,0.00201047432861042,0.00257112901075637,0.246832420637328,0.201047432861042,0.257112901075637,0.148748247968392,0.0182747157000799,0.157382683402466,0.129237519510994,0.160919706306829
0,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","medBMI",189.463995053002,19.589065329592,191.62440804738,170.021283763273,207.070355297509,0.0146944384758673,0.00142624154464724,0.0146612109404141,0.0133539065160957,0.016063213840774,1.46612109404141,1.33539065160957,1.6063213840774,0.160743810094349,0.0166196273671146,0.162576733632124,0.144248351469606,0.175681283711983
0,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","medBMI",1517.14970282483,147.978790868469,1494.82932074238,1387.26055950049,1666.01117091926,0.037123835501853,0.00346447931945253,0.0365153400107566,0.0341294878185729,0.040635404352565,3.65153400107566,3.41294878185729,4.0635404352565,1.28717028080903,0.125547203048781,1.26823336745147,1.17697057884452,1.41346635912746
0,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","medBMI",184.766630875524,26.1225692826234,177.554659249912,163.735043725158,211.928393907659,0.0199962558378499,0.00265168741937823,0.0189636080236683,0.0180636154573294,0.0228066468604247,1.89636080236683,1.80636154573294,2.28066468604247,0.156758502938352,0.0221627402861838,0.150639768890393,0.138915020592615,0.179802909224854
0,"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","medBMI",19.3922187358026,1.66910709051315,19.9327630130021,17.6404767093956,20.68449812659,0.0190874409093891,0.00100993188005019,0.0193845331869383,0.0180333984345087,0.0198889549483527,1.93845331869383,1.80333984345087,1.98889549483527,0.016452620060629,0.0014160929790883,0.0169112251196927,0.0149664184868245,0.0175490073342292
0,"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"GC","medBMI",13.4665319447841,2.10854179348629,14.3708229275711,11.2223805223086,14.9420360318907,0.00995678506796722,0.00170295799607451,0.0101269904550766,0.00827270942366647,0.011496186133225,1.01269904550766,0.827270942366647,1.1496186133225,0.0114251874239024,0.00178891531097158,0.012192400096508,0.00952121907373403,0.012677025002356
0,"GC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","medBMI",790.936197653812,75.9609357028564,757.994021625483,738.056531165095,871.816713766608,0.0306854700548774,0.00303176160127585,0.0293350154131186,0.0286021658674931,0.0339166606877567,2.93350154131186,2.86021658674931,3.39166606877567,0.671040943250692,0.0644462828929224,0.643092356575366,0.626177120625517,0.739661064549893
0,"HHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","direct",764.216568559779,44.5533363186062,787.496918859541,716.578371582519,792.066467782241,0.0478769426422874,0.00279676372743559,0.0491054479354266,0.0448976554351628,0.0498120003502438,4.91054479354266,4.48976554351628,4.98120003502438,0.648371649363581,0.0377996517505305,0.668123012710838,0.607954760202093,0.671999879679899
0,"HSTK","medBMI",235.052464431208,24.2887280756413,244.35092561507,209.33138809468,252.869848761454,0.0147301063801732,0.00158284735526361,0.0153142078977604,0.0130570137190501,0.0159067127513471,1.53142078977604,1.30570137190501,1.59067127513471,0.199421682701081,0.0206068846597052,0.207310622646056,0.177599574448246,0.214538192000686
0,"HSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","direct",3619.00864279701,168.195516066999,3612.91233285063,3461.8925717484,3781.30657730005,0.0169048783475611,0.000763826359318363,0.0167864710994207,0.0162361352011389,0.0176742676549026,1.67864710994207,1.62361352011389,1.76742676549026,3.07041576867854,0.142699345518558,3.06524357705436,2.93711637382337,3.20811152641427
0,"IHD","medBMI",3218.44495093151,378.27551670529,3205.7785815933,2864.61754410079,3583.03877169971,0.0150368459195932,0.00180244640206555,0.014894828479992,0.0133888702545608,0.0168055364082866,1.4894828479992,1.33888702545608,1.68055364082866,2.73057212715759,0.320934052950835,2.71982580848678,2.43038018053543,3.03989844464995
0,"IHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ISTK","direct",791.461444434584,76.4606145482363,787.897860734013,720.397576366941,865.554358647713,0.0462274380305439,0.0044535761569507,0.0458033652176333,0.0421911817293792,0.0506241562226828,4.58033652176333,4.21911817293792,5.06241562226827,0.671486569707357,0.0648702171681784,0.668463177207586,0.61119502507884,0.73434799796068
0,"ISTK","medBMI",228.04061750392,36.2638091680374,247.714490342753,189.267825152844,250.090617941988,0.013315867866515,0.00208435351250452,0.0144923948614875,0.0110884189652559,0.0145432688220475,1.44923948614875,1.10884189652559,1.45432688220475,0.19347273714773,0.0307667050542982,0.210164316350105,0.160577376903872,0.212180255069568
0,"ISTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"KC","medBMI",604.599307586094,36.9171808451713,597.898785476206,572.81167242578,642.082386539812,0.0146271243691784,0.00109192010047322,0.0143563354740612,0.0137290915324931,0.0157553277667134,1.43563354740612,1.37290915324931,1.57553277667134,0.512950211224072,0.0313210344019975,0.507265397846926,0.485981152600937,0.544751361217782
0,"KC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"LVC","medBMI",336.199910691917,5.39653043559462,337.521200959236,330.628232664327,340.648491992285,0.0131041473927575,0.000225106447909672,0.0131974125287333,0.0128648986277644,0.0132641207921712,1.31974125287333,1.28648986277644,1.32641207921712,0.285236541026597,0.00457848924416973,0.28635754151933,0.280509454201877,0.289010777432494
0,"LVC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","direct",1636.83138257981,195.993163941782,1526.87601712244,1520.8218851431,1846.30294065527,0.0377635531618679,0.00434938388809955,0.0352856551302173,0.035222675826511,0.0424106438241279,3.52856551302173,3.5222675826511,4.24106438241279,1.38870983293831,0.166283245086409,1.2954222171093,1.29028580984152,1.56642832948976
0,"MLPC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MLPC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"MMC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
