"age","female","pathway","disease_type2","V1","V2","V3"
25,1,"medBMI","ISTK",2.30321342437043,2.37015258290744,2.298173729747
25,1,"medSBP","ISTK",0,0,0
25,1,"direct","OSTK",6.0547101576195,4.57562308813292,4.91909110733875
25,1,"medBMI","OSTK",1.14359729604451,1.27677896301614,1.25120629821377
25,1,"medSBP","OSTK",0,0,0
25,1,"direct","Other_CVD",0,0,0
25,1,"medBMI","Other_CVD",139.92447373081,135.877092353071,114.024020997941
25,1,"medSBP","Other_CVD",0,0,0
35,0,"direct","Cancer",1262.98123542454,1428.31341856314,1221.28668505869
35,0,"medBMI","Cancer",1274.21200455289,1193.82472426825,1069.49271755763
35,0,"medSBP","Cancer",0,0,0
35,0,"direct","DIAB",0,0,0
35,0,"medBMI","DIAB",102.723686471984,90.5514247930439,96.4583667320226
35,0,"medSBP","DIAB",0,0,0
35,0,"direct","HHD",0,0,0
35,0,"medBMI","HHD",52.0440231196797,50.9731229283423,20.7183823645485
35,0,"medSBP","HHD",0,0,0
35,0,"direct","HSTK",33.7272542537804,47.2062777150853,46.6641201548888
35,0,"medBMI","HSTK",14.8844408405803,18.1630113513915,12.9489477218271
35,0,"medSBP","HSTK",0,0,0
35,0,"direct","IHD",103.551116368255,136.721061658458,109.926016208368
35,0,"medBMI","IHD",73.5949863184369,85.8526617403361,88.2359226408158
35,0,"medSBP","IHD",0,0,0
35,0,"direct","ISTK",28.2013145930618,21.5006176681241,16.1461563769589
35,0,"medBMI","ISTK",6.35476563208689,5.38525857669432,5.28113519694097
35,0,"medSBP","ISTK",0,0,0
35,0,"direct","OSTK",17.4555834287298,19.4287311686436,20.8679874008991
35,0,"medBMI","OSTK",4.56914134463307,5.97887085061651,4.30222177932719
35,0,"medSBP","OSTK",0,0,0
35,0,"direct","Other_CVD",0,0,0
35,0,"medBMI","Other_CVD",293.420620208344,306.642204753994,272.287468276075
35,0,"medSBP","Other_CVD",0,0,0
35,1,"medBMI","Cancer",1953.60952421371,2174.21826487419,2202.53652535742
35,1,"direct","Cancer",1896.35331952768,1885.30605302243,2331.07643516088
35,1,"medSBP","Cancer",0,0,0
35,1,"medBMI","DIAB",44.8207597215665,56.2386043015337,29.1833124652848
35,1,"direct","DIAB",0,0,0
35,1,"medSBP","DIAB",0,0,0
35,1,"medBMI","HHD",34.8812163612106,16.3670021090881,12.6186514793697
35,1,"direct","HHD",0,0,0
35,1,"medSBP","HHD",0,0,0
35,1,"medBMI","HSTK",12.8182106671197,12.1302344582911,14.2762916055559
35,1,"direct","HSTK",61.4594439862067,68.7959781022022,55.5255822303883
35,1,"medSBP","HSTK",0,0,0
35,1,"medBMI","IHD",19.6043697423155,28.8652610529284,20.1254562834566
35,1,"direct","IHD",35.3889715238932,41.9695846491362,39.3242175369132
35,1,"medSBP","IHD",0,0,0
35,1,"medBMI","ISTK",3.75341730239464,3.72178070329766,5.34382696103787
35,1,"direct","ISTK",15.2605446540701,11.2687684423978,16.6549210440493
35,1,"medSBP","ISTK",0,0,0
35,1,"medBMI","OSTK",5.9203318102607,4.79983637246322,3.91891442270487
35,1,"direct","OSTK",15.1935224767953,19.00495805014,21.4281973392342
35,1,"medSBP","OSTK",0,0,0
35,1,"medBMI","Other_CVD",168.348023844528,172.471466250478,151.273021933796
35,1,"direct","Other_CVD",0,0,0
35,1,"medSBP","Other_CVD",0,0,0
45,0,"direct","Cancer",4370.5662171823,4103.01571603205,3374.21081244873
45,0,"medBMI","Cancer",4243.96080186831,4354.67849990993,4287.51155424632
45,0,"medSBP","Cancer",0,0,0
45,0,"direct","DIAB",0,0,0
45,0,"medBMI","DIAB",234.562596926553,244.371826043378,190.257699423936
45,0,"medSBP","DIAB",0,0,0
45,0,"direct","HHD",0,0,0
45,0,"medBMI","HHD",145.469500395576,68.1331469443346,94.6635028468624
45,0,"medSBP","HHD",0,0,0
45,0,"direct","HSTK",134.791778920226,143.308659656389,119.039498331767
45,0,"medBMI","HSTK",36.9732937744891,35.9244261168218,36.331721887312
45,0,"medSBP","HSTK",0,0,0
45,0,"direct","IHD",396.9985917508,386.168650102591,425.994473352187
45,0,"medBMI","IHD",354.53921779865,274.413887175329,273.785557469258
45,0,"medSBP","IHD",0,0,0
45,0,"direct","ISTK",49.7834031650135,66.9422244340618,46.3414930125667
45,0,"medBMI","ISTK",15.7720852995444,13.1746868157532,16.3842280416082
45,0,"medSBP","ISTK",0,0,0
45,0,"direct","OSTK",56.3141510025663,105.100096892816,62.8389533734361
