"","age","female","race","outcome","pathway","V1","V2","V3"
"186",75,0,4,"BC","direct",0,0,0
"187",25,1,4,"BC","direct",0,0,0
"188",35,1,4,"BC","direct",0,0,0
"189",45,1,4,"BC","direct",0,0,0
"190",55,1,4,"BC","direct",0,0,0
"191",65,1,4,"BC","direct",0,0,0
"192",75,1,4,"BC","direct",0,0,0
"193",25,0,1,"CC","direct",0.0758306991982614,0.078128841690474,0.0536929995324188
"194",35,0,1,"CC","direct",0.076558847648692,0.0830363405316737,0.0831336760167298
"195",45,0,1,"CC","direct",0.0778844004587995,0.0599893356856338,0.0498946324625436
"196",55,0,1,"CC","direct",0.0706769120723101,0.0831235014130856,0.0846976870645272
"197",65,0,1,"CC","direct",0.0822918852561795,0.0654933807331272,0.0860997703641486
"198",75,0,1,"CC","direct",0.0687462854802053,0.0399057434298229,0.0599906428866338
"199",25,1,1,"CC","direct",0.0661965319454199,0.0707017292072698,0.0771884661124981
"200",35,1,1,"CC","direct",0.0803999904038688,0.0526773257962196,0.0800384040514822
"201",45,1,1,"CC","direct",0.072562417114579,0.0773008478120684,0.0528691371136359
"202",55,1,1,"CC","direct",0.0672940778517601,0.0738857511777163,0.0756711932224304
"203",65,1,1,"CC","direct",0.0755615216943788,0.0785983692138557,0.0702328362972439
"204",75,1,1,"CC","direct",0.0823563670737699,0.0726552706546989,0.058770787370497
"205",25,0,2,"CC","direct",0.0723692754315098,0.0810758732485319,0.0743680451370459
"206",35,0,2,"CC","direct",0.0751821495409766,0.109055480425781,0.103722561515218
"207",45,0,2,"CC","direct",0.0895744808706956,0.0848271402992455,0.0963384743463478
"208",55,0,2,"CC","direct",0.101336921633285,0.114358818695718,0.125937578260865
"209",65,0,2,"CC","direct",0.0753859292374696,0.0999897823276432,0.0990852189906057
"210",75,0,2,"CC","direct",0.107230556882017,0.0975070499118357,0.0967165665591465
"211",25,1,2,"CC","direct",0.0685000461115198,0.0856603227650805,0.087902516254481
"212",35,1,2,"CC","direct",0.0806765490903422,0.105664148307472,0.112574819571893
"213",45,1,2,"CC","direct",0.0978189849771305,0.090911944762201,0.0835377852228848
"214",55,1,2,"CC","direct",0.0838165958065845,0.0973676937482681,0.126557787615515
"215",65,1,2,"CC","direct",0.0834234668031212,0.114019721732865,0.108113992283882
"216",75,1,2,"CC","direct",0.13871004746926,0.0911952586268383,0.107690976305626
"217",25,0,3,"CC","direct",0.0725577135429638,0.0704392320421056,0.0496182232294712
"218",35,0,3,"CC","direct",0.0764682419988419,0.0749087288330568,0.0862311769207289
"219",45,0,3,"CC","direct",0.0764453635755459,0.0944946351948447,0.0596613345750496
"220",55,0,3,"CC","direct",0.0908653369840517,0.0773691372443863,0.0899654917178166
"221",65,0,3,"CC","direct",0.0773860279457763,0.0872546194232247,0.0655860500280612
"222",75,0,3,"CC","direct",0.0739103764388543,0.0687427357253559,0.0634224366404906
"223",25,1,3,"CC","direct",0.0716935268596209,0.0657448798544544,0.0871105008791371
"224",35,1,3,"CC","direct",0.0628012513439237,0.0691876913020493,0.0750884784469498
"225",45,1,3,"CC","direct",0.0868829886719629,0.0847264024367818,0.0683746344569585
"226",55,1,3,"CC","direct",0.0739860912766999,0.0604069381585475,0.0845933757983766
"227",65,1,3,"CC","direct",0.0565725972286397,0.0794340020758028,0.0947737218010688
"228",75,1,3,"CC","direct",0.0653287123543004,0.0844255415680462,0.0962964877684899
"229",25,0,4,"CC","direct",0.0654704618125831,0.0849140695986258,0.0665746888592181
"230",35,0,4,"CC","direct",0.0960571394452837,0.0811310374032496,0.0881666318163656
"231",45,0,4,"CC","direct",0.104017684687134,0.0697248316889492,0.10568124761919
"232",55,0,4,"CC","direct",0.0826396742612089,0.0756288592966869,0.10088862750028
"233",65,0,4,"CC","direct",0.0709649815125533,0.0888257657817189,0.0878854596893065
"234",75,0,4,"CC","direct",0.103610044557226,0.11189881486833,0.0996702232321754
"235",25,1,4,"CC","direct",0.0808269044433169,0.0728580883612284,0.102909457186775
"236",35,1,4,"CC","direct",0.0806163697283143,0.0682892230125213,0.0620013536239669
"237",45,1,4,"CC","direct",0.108620300015764,0.0796663970293194,0.0915522127127928
"238",55,1,4,"CC","direct",0.104223476568211,0.0850347125840517,0.0873541451321824
"239",65,1,4,"CC","direct",0.0807848243554815,0.0751518093297932,0.0814781814739047
"240",75,1,4,"CC","direct",0.0797775301503278,0.0818152719476641,0.0581563533656042
"241",25,0,1,"CM","direct",0,0,0
"242",35,0,1,"CM","direct",0,0,0
"243",45,0,1,"CM","direct",0,0,0
"244",55,0,1,"CM","direct",0,0,0
"245",65,0,1,"CM","direct",0,0,0
"246",75,0,1,"CM","direct",0,0,0
"247",25,1,1,"CM","direct",0,0,0
"248",35,1,1,"CM","direct",0,0,0
"249",45,1,1,"CM","direct",0,0,0
"250",55,1,1,"CM","direct",0,0,0
