"age","female","race","outcome","V1","V2","V3"
25,0,3,"PVD",0.0300107349126388,0.0613395467291109,0.0656581752325932
25,0,3,"RHD",0.14567771808817,0.463770218688699,0.16262878533898
25,0,3,"SCC",0.0120440061559144,0.291643739421311,0.353129188070479
25,0,3,"SCNC",0,0,0
25,0,3,"TC",0.68396039906748,0.417149250157949,0.761780803213606
25,0,3,"UC",0,0,0
25,0,4,"AA",0.230705123097983,0.331894937544574,0.322823221098479
25,0,4,"AFF",0.0266405933548428,0.0485141515365166,0.0453426719443549
25,0,4,"APCA",0,0,0
25,0,4,"BC",0,0,0
25,0,4,"CC",8.27800880829471,9.64993136519582,7.21403299017272
25,0,4,"CM",0.817579341313457,0.644829751446334,0.541600903298741
25,0,4,"DIAB",1.32812535769574,0.771275343542574,0.267584805872813
25,0,4,"ECA",0,0,0
25,0,4,"ENDO",0.151254382028631,0.259720266142171,0.331401364427337
25,0,4,"GC",0,0,0
25,0,4,"HHD",1.00863724400268,0.22244172974125,0.0707389721077726
25,0,4,"HSTK",0.912786046875251,1.4770665462564,1.81233923757561
25,0,4,"IHD",2.40699932529918,3.2997190463986,3.12189212606624
25,0,4,"ISTK",0.873356519098864,0.226626864279884,0.671291683052894
25,0,4,"KC",0.325462460703309,0.687300067142369,0.504974203003063
25,0,4,"LC",0,0,0
25,0,4,"LVC",0.170588059766539,0.39534506573319,0.461922009768616
25,0,4,"MLPC",4.70542697093935,3.38471043869462,5.71738988197095
25,0,4,"MMC",0.00767697255320746,0,0.0158737269248972
25,0,4,"OC",0,0,0
25,0,4,"OSTK",0.261035208959747,0.676641145357508,0.492944278069776
25,0,4,"OTH",0.288348583042571,0.513516840794706,0.810291443271482
25,0,4,"PC",0,0.0282043671384692,0
25,0,4,"PVD",0.0289595958339313,0.0357283622037166,0.0586793491959519
25,0,4,"RHD",0.117546131803877,0.0935740357865142,0.169375671431889
25,0,4,"SCC",0.111587148859141,0.119875607207322,0.102967146098413
25,0,4,"SCNC",0,0,0
25,0,4,"TC",0.228888165783222,0.327138079685756,0.233993581613189
25,0,4,"UC",0,0,0
25,1,1,"AA",0.507441332378844,0.355225774159576,0.843869354877437
25,1,1,"AFF",0,0,0
25,1,1,"APCA",0,0,0
25,1,1,"BC",0,0,0
25,1,1,"CC",55.7616535786286,63.7018686570654,52.2009598516407
25,1,1,"CM",3.22261525586607,2.524989935703,3.58575067826144
25,1,1,"DIAB",8.03346016089609,14.8632836214102,10.8388144685667
25,1,1,"ECA",0.246321442027117,0.00588426426638053,0.109228598478473
25,1,1,"ENDO",2.74577408441344,1.99478251634945,1.33292658089013
25,1,1,"GC",0,0,0
25,1,1,"HHD",1.7123760969185,2.43930122307235,0.000183665471241192
25,1,1,"HSTK",4.86187721194137,4.17562766307097,5.23627161726249
25,1,1,"IHD",7.84540250173579,10.2049173962681,9.5832268390748
25,1,1,"ISTK",8.78341631815305,3.69172609627827,6.9520778172758
25,1,1,"KC",4.62850362269217,4.60551815244192,2.94606001626981
25,1,1,"LC",0,0,0
25,1,1,"LVC",0.801420312198148,0.533264101793809,0.128687913665132
25,1,1,"MLPC",7.98257143449516,7.07619480068263,8.90852948228707
25,1,1,"MMC",0.134003080597108,0.200418744818137,0.154945204718559
25,1,1,"OC",1.30661472046183,1.75035065783255,1.39727777861002
25,1,1,"OSTK",3.56688793970552,2.24577030527272,2.15634225755582
25,1,1,"OTH",5.00854570662789,6.95714796295118,2.98189979268483
25,1,1,"PC",0.408748129172338,0.360989504952071,0.394878435482892
25,1,1,"PVD",0,0,0
25,1,1,"RHD",1.60457778497351,1.54018910607887,0.580922667782647
25,1,1,"SCC",0,0.202662122295537,0.130985069467848
25,1,1,"SCNC",0,0,0
25,1,1,"TC",10.763629631027,16.0865527976401,6.86798570492988
25,1,1,"UC",8.76219198666005,11.5362156174567,8.03580763297582
25,1,2,"AA",0.479173660019589,0.565037024965813,0.172441765347392
25,1,2,"AFF",0,0,0
25,1,2,"APCA",0,0,0
25,1,2,"BC",0,0,0
25,1,2,"CC",10.787306164123,13.7075764428542,15.4476706438803
25,1,2,"CM",1.35361982867238,1.79995091461863,0.751568102315333
25,1,2,"DIAB",3.04525089873196,7.18054738953215,8.33165308025367
25,1,2,"ECA",0,0,0
25,1,2,"ENDO",0.182277850839098,0.453741944087714,0.200372025182383
25,1,2,"GC",0.0645384141510955,0.091622505708441,0.0460684855348267
25,1,2,"HHD",2.58605307653601,2.5958114549467,6.69240364722354
25,1,2,"HSTK",6.70164992588974,5.04448438904423,5.99177275793621
25,1,2,"IHD",6.32021091578624,4.45172693720195,5.03351554655523
25,1,2,"ISTK",1.66157406007637,3.18339133264698,2.77999138558266
25,1,2,"KC",0.489323853753135,0.608716295785078,0.775869208756469
25,1,2,"LC",0,0,0
25,1,2,"LVC",0.312433716587917,0.409874544880267,0.485350427296942
25,1,2,"MLPC",2.29749861229601,2.89223570031617,2.45421274994334
25,1,2,"MMC",0.0103246164559777,0.0545706742453549,0.121946946369594
25,1,2,"OC",0.299401520578317,0.333398895697753,0.362626396688112
25,1,2,"OSTK",2.06264290710733,2.40586000083862,2.61727866772893
25,1,2,"OTH",2.81510747036269,1.81914327460849,1.35133272522551
25,1,2,"PC",0.19580452404688,0.0827227355337828,0.259974367689957
25,1,2,"PVD",0,0,0
25,1,2,"RHD",0.481340907565611,0.245542541549145,0.17536321247762
25,1,2,"SCC",0,0,0
25,1,2,"SCNC",0,0,0
25,1,2,"TC",0.609151672470217,0.641244067730206,0.627889884921619
25,1,2,"UC",3.50889309129049,1.90955502852494,1.61495745617238
25,1,3,"AA",0.172486813394004,0.353979208291774,0.196910714481824
25,1,3,"AFF",0,0,0
25,1,3,"APCA",0,0,0
25,1,3,"BC",0,0,0
25,1,3,"CC",25.1520262332058,23.6802728339427,26.0739024834492
25,1,3,"CM",1.37021781564921,0.950462267153378,0.79301276306829
25,1,3,"DIAB",2.79472041455285,3.89680174263999,2.48133680987059
25,1,3,"ECA",0,0,0.0627635572740519
25,1,3,"ENDO",0.100464066352434,0.305844762561391,0.284727872829303
25,1,3,"GC",0.0534850079717109,0.0696120075690953,0.0104169536174114
25,1,3,"HHD",0.724123237224395,0.514754015151459,0.656324927311072
25,1,3,"HSTK",0.974180649753745,4.62733659312008,3.9623227976197
25,1,3,"IHD",1.05175853913558,0.553863221025524,1.23404085456414
25,1,3,"ISTK",0.651671021307602,1.16378132702665,1.40066090067959
25,1,3,"KC",1.5355293013654,1.54232234118014,1.36592776387923
25,1,3,"LC",0,0,0
25,1,3,"LVC",0.0923636255835199,0.714740926491071,0.153016650019784
25,1,3,"MLPC",2.38852980122512,1.5120289451024,1.99897200623418
25,1,3,"MMC",0.0155481653163295,0.0198774467038019,0.0264925028680303
25,1,3,"OC",0.365225266834607,0.376446193774768,0.58961058863559
25,1,3,"OSTK",1.16144682883226,0.714808533694706,0.813249277105399
25,1,3,"OTH",1.00185631984162,1.14466251363409,1.28082573652658
25,1,3,"PC",0.573839504730107,0.479356943921137,0.177448967610605
25,1,3,"PVD",0,0,0
25,1,3,"RHD",0.246894977734605,0.301217895392194,0.310821968258057
25,1,3,"SCC",0.00955427778324241,0.0741519316492878,0.0635157714768644
25,1,3,"SCNC",0,0,0
25,1,3,"TC",3.58419676566321,3.48979350272004,2.35535375781591
25,1,3,"UC",5.65169170288549,3.63815027321803,5.00598519887769
25,1,4,"AA",0.0949370410834862,0.141217474272027,0.14644761972887
25,1,4,"AFF",0,0,0
25,1,4,"APCA",0,0,0
25,1,4,"BC",0,0,0
25,1,4,"CC",12.0623191410399,11.44772031838,12.5981166710192
25,1,4,"CM",0.329775063084096,0.209321131902076,0.224528651933759
25,1,4,"DIAB",0.488570815687545,0.361427494467813,0.826342038904667
25,1,4,"ECA",0,0,0
25,1,4,"ENDO",0.17098679063131,0.266453032665096,0.135170776341884
25,1,4,"GC",0,0.0737585905725639,0.0144442747550135
25,1,4,"HHD",0.294343037563169,0.951415195920017,0.14488709016888
25,1,4,"HSTK",0.674217441330513,1.28948215075046,2.11871795962701
25,1,4,"IHD",0.269499947486284,0.852040288164665,0.484029350925313
25,1,4,"ISTK",0.442609718980797,0.83692604111165,1.20179383921134
25,1,4,"KC",0.202387814589243,0.460043953869421,0.150090576055669
25,1,4,"LC",0,0,0
25,1,4,"LVC",0.0888533612611815,0.0620950697430307,0.333391479697075
25,1,4,"MLPC",2.668053056572,2.94592646643584,3.58767321720392
25,1,4,"MMC",0.011841036591517,0.0134668698499364,0.0423805698645958
25,1,4,"OC",0.319457480538311,0.521080596486078,0.14338795580071
25,1,4,"OSTK",0.407329778018894,0.485963211343014,0.583427203162373
25,1,4,"OTH",0.165165579854127,0.194088063625311,0.300296890702662
25,1,4,"PC",0.101617655368001,0.0343258384868475,0.0755092935240467
25,1,4,"PVD",0,0,0
25,1,4,"RHD",0.166349808844157,0.150145927002059,0.182413058023455
25,1,4,"SCC",0,0.126860847801634,0.013943533776068
25,1,4,"SCNC",0,0,0
25,1,4,"TC",1.79292568785581,2.11431220343778,2.08149621780944
25,1,4,"UC",2.70716464114392,2.66797327962856,3.98333683834809
35,0,1,"AA",3.87301120286074,2.34998531603523,4.00152010990714
35,0,1,"AFF",0.445021444741405,0.368732152476615,0.699383786981418
35,0,1,"APCA",0.12098539998779,0.0790126327110609,0.207224002175812
35,0,1,"BC",0,0,0
35,0,1,"CC",166.225983509048,158.746055464617,163.4791100491
35,0,1,"CM",9.40133288325657,9.11991342073866,10.7901684813975
35,0,1,"DIAB",45.4203709707304,42.1924287398768,41.1254949325566
35,0,1,"ECA",3.55260066573624,1.91988423014389,2.09581999403376
35,0,1,"ENDO",3.74633290295081,4.07487839309211,1.50296494071786
35,0,1,"GC",0.268788645529742,0.0836500192416843,0.376860679654457
35,0,1,"HHD",21.059714836065,14.2538170907507,10.5241092799931
35,0,1,"HSTK",10.6331542633891,31.9631177144389,26.274288804213
35,0,1,"IHD",116.604032787644,149.765338540234,126.68709156367
35,0,1,"ISTK",14.6457769747258,12.8328951397329,13.1296301653495
35,0,1,"KC",9.74338533022619,15.2833593036285,17.5929558801194
35,0,1,"LC",0,0,0
35,0,1,"LVC",1.41949718154217,1.15418138431164,0.395148015150344
35,0,1,"MLPC",30.8190868720898,47.7982847581867,23.7971123186295
35,0,1,"MMC",0.828792667867129,1.16859588368065,0.587472508935383
35,0,1,"OC",0,0,0
35,0,1,"OSTK",9.29527354777186,13.2844106607429,10.3341100344159
35,0,1,"OTH",4.07299609224042,7.5351489746561,5.4463223257552
35,0,1,"PC",1.45410244473912,1.4025584220227,0.865062285398856
35,0,1,"PVD",0.239069034737726,0.279267911500018,0.0344777179200442
35,0,1,"RHD",0.445511000034347,0.601026210935843,0.943550339466453
35,0,1,"SCC",2.16547534896171,1.01775272944574,0.518060910758804
35,0,1,"SCNC",0,0,0
35,0,1,"TC",1.47785699534765,4.95692999182463,3.91531131966495
35,0,1,"UC",0,0,0
35,0,2,"AA",2.23532947673755,3.80016485095769,1.93978447739931
35,0,2,"AFF",0.144650747794258,0.44038871240697,0.101202449945283
35,0,2,"APCA",0.23356881878527,0.0478634374004538,0.175284380605125
35,0,2,"BC",0,0,0
35,0,2,"CC",40.9891279825803,53.2659055431777,45.5657576666086
35,0,2,"CM",5.73690963126619,5.78210161779245,4.48499136185767
35,0,2,"DIAB",40.8956113325505,34.1068414905222,40.0659851928044
35,0,2,"ECA",0.10267025101377,0.348770294242335,0.201400514080555
35,0,2,"ENDO",0.604808236922985,0.212207497978404,0.318093888841559
35,0,2,"GC",0,0,0
35,0,2,"HHD",24.9183755252574,31.6851027552225,2.16008732802076e-06
35,0,2,"HSTK",19.3108480583017,11.4999897101421,10.9859873133648
35,0,2,"IHD",40.8343796585579,47.8334833575866,47.1142933389606
35,0,2,"ISTK",12.9239347175961,7.91693720174052,4.4815659490887
35,0,2,"KC",1.89758684647065,6.0192022704002,4.97100212081086
35,0,2,"LC",0,0,0
35,0,2,"LVC",0.456812646106988,0.726326247399119,0.540083327329557
35,0,2,"MLPC",6.30480828115873,9.93620938546058,5.54506168657239
35,0,2,"MMC",0.61858060818503,0.707214465796314,0.441220114968808
35,0,2,"OC",0,0,0
35,0,2,"OSTK",8.19777752264876,8.14910262425345,10.4751982690115
35,0,2,"OTH",3.57622182367886,3.42928347235864,4.67025824160324
35,0,2,"PC",0.296214685673118,0.373589870861606,0.11272106281776
35,0,2,"PVD",0.106281039992515,0.0896374848883331,0.0192915904123554
35,0,2,"RHD",0.188749889734164,0.0972992652511493,0.177189161190928
35,0,2,"SCC",0,0.217012825486892,0.147868815722482
35,0,2,"SCNC",0,0,0
35,0,2,"TC",0.21390165531686,0.142144277406335,0.310664562365359
35,0,2,"UC",0,0,0
