"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
45,1,"HHD","medBMI",90.8362812107634,52.6650344411198,89.9985165172001,41.1652963389254,141.21936607213,0.0372494762373186,0.0206441811365759,0.0368039690921881,0.0178302700405698,0.0570473635074283,3.68039690921881,1.78302700405698,5.70473635074283,0.385159218003036,0.223307506770115,0.381606972248999,0.174546922610973,0.598790922286029
45,1,"HHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"HSTK","direct",108.764983865608,13.8786989925019,106.030514548106,96.9357211531116,122.918545497982,0.0794641935284278,0.0106272133452543,0.0747308875314601,0.0721612681718568,0.0907904289824213,7.473088753146,7.21612681718568,9.07904289824213,0.461179559240109,0.0588477288986389,0.449585006381446,0.411021742174412,0.52119274623567
45,1,"HSTK","medBMI",23.2785036360285,4.7741954192807,23.7625980251957,18.5547986928745,27.5907283483904,0.0170661911952688,0.00388755084655694,0.017743913164498,0.0131273189641762,0.0204289997525167,1.7743913164498,1.31273189641762,2.04289997525167,0.098704285746026,0.0202432921050267,0.100756917292431,0.0786750807000726,0.116988753977535
45,1,"HSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"IHD","direct",380.514769734971,47.0296467595632,397.492117338456,330.860706279731,415.73808772725,0.0310068373455112,0.00381170025817827,0.0322090749563603,0.0270124775086909,0.0339792952131097,3.22090749563603,2.70124775086909,3.39792952131097,1.61343869647936,0.199412632567415,1.68542515210662,1.40289815038722,1.76279075528833
45,1,"IHD","medBMI",291.26343729237,4.96128280448529,288.881826930273,287.988997242694,296.562246149829,0.0237365088884868,0.000455751424980916,0.0235443519727969,0.0234151066301462,0.0242212445251638,2.35443519727969,2.34151066301462,2.42212445251638,1.23499989481199,0.0210365701875632,1.22490151592168,1.22111578647862,1.25746762520213
45,1,"IHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"ISTK","direct",61.5472229387906,8.23757962915907,62.0696805307976,53.5112914961908,69.1390654281844,0.117431267993242,0.0191265802943087,0.114244404349335,0.100805595457754,0.136765774626051,11.4244404349335,10.0805595457754,13.6765774626051,0.260969294882959,0.0349285515205426,0.26318459206262,0.226895761388382,0.293159825774823
45,1,"ISTK","medBMI",17.1646588434205,2.78388520523897,16.9642066640533,14.6103070006055,19.8893950386976,0.0325479032261472,0.0040982223433743,0.0320026549643101,0.0289122521555985,0.0366470153192573,3.20026549643101,2.89122521555985,3.66470153192573,0.0727806828868437,0.0118040835046097,0.0719307361076164,0.0619498546630364,0.0843339658729941
45,1,"ISTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"KC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"KC","medBMI",90.2796644682743,21.678456799184,84.9289015001065,72.4352037912493,112.672273668242,0.0175103925673078,0.00383820730573895,0.0161098252420949,0.0146461928388579,0.0215650745221886,1.61098252420949,1.46461928388579,2.15650745221886,0.382799080991624,0.0919198513742868,0.3601110575161,0.307135938154437,0.477747043783007
45,1,"KC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"LC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"LC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"LC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"LVC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
