"age","race","pathway","disease_type2","V1","V2","V3"
25,4,"direct","Other_CVD",0,0,0
25,4,"medSBP","Other_CVD",0,0,0
25,4,"medBMI","Other_CVD",16.9333401543762,19.6552356265784,21.8352732683746
35,1,"direct","Cancer",1648.91815078247,1610.58595761307,1863.34508091494
35,1,"medBMI","Cancer",1661.10350553693,1877.5265473419,1810.64145139433
35,1,"medSBP","Cancer",0,0,0
35,1,"direct","DIAB",0,0,0
35,1,"medBMI","DIAB",69.3543208400847,80.7116744127391,55.0362199504786
35,1,"medSBP","DIAB",0,0,0
35,1,"direct","HHD",0,0,0
35,1,"medBMI","HHD",34.847137044147,24.1909483275031,20.2856241066322
35,1,"medSBP","HHD",0,0,0
35,1,"direct","HSTK",30.2184412944094,63.6319113238828,55.9768203201066
