"","age","female","race","pathway","V1","V2","V3"
"46",55,1,4,"direct",0.30975724352309,0.332383719148651,0.337196273584952
"47",65,1,4,"direct",0.277367797320468,0.293605574134284,0.264010155048979
"48",75,1,4,"direct",0.176756998472412,0.203091410385593,0.241053285885497
"49",25,0,1,"medBMI",0.417166206948383,0.425748927564877,0.420272460598176
"50",35,0,1,"medBMI",0.419957197734859,0.415611538082945,0.392795715422137
"51",45,0,1,"medBMI",0.415808473067472,0.410496345740679,0.384641237906284
"52",55,0,1,"medBMI",0.333985924778845,0.323743862243904,0.345192085466833
"53",65,0,1,"medBMI",0.357773133730636,0.336314637825314,0.316961342185916
"54",75,0,1,"medBMI",0.258546612200458,0.268725973494605,0.242112751830007
"55",25,1,1,"medBMI",0.431730162137781,0.447051506922583,0.363278635515816
"56",35,1,1,"medBMI",0.402009869681512,0.457214827730982,0.395607798970423
"57",45,1,1,"medBMI",0.386014584150691,0.374281529424223,0.401312127273365
"58",55,1,1,"medBMI",0.331638838807158,0.305098752658374,0.332805295303746
"59",65,1,1,"medBMI",0.308893077899022,0.296179294616505,0.322014269150281
"60",75,1,1,"medBMI",0.279374844288248,0.260019169536145,0.263989504450719
"61",25,0,2,"medBMI",0.526543006236786,0.448722927506456,0.378708555566502
"62",35,0,2,"medBMI",0.487089660646083,0.50858800036406,0.415839988523046
"63",45,0,2,"medBMI",0.4072772722161,0.405990658726576,0.339536190055941
"64",55,0,2,"medBMI",0.354454292425761,0.280665324699083,0.358718576271126
"65",65,0,2,"medBMI",0.318181873063763,0.284065417225603,0.274043577907983
"66",75,0,2,"medBMI",0.193894377107722,0.211060696717102,0.190059932547387
"67",25,1,2,"medBMI",0.459301584277021,0.411780041682588,0.466782787412723
"68",35,1,2,"medBMI",0.497167750565524,0.395017096819773,0.385891496303418
"69",45,1,2,"medBMI",0.396828407455496,0.382887546932907,0.397395977659063
"70",55,1,2,"medBMI",0.298601539597504,0.365353085147688,0.323515151153865
"71",65,1,2,"medBMI",0.307040658685311,0.304032095540414,0.266111443591078
"72",75,1,2,"medBMI",0.186465336159457,0.22390906382021,0.30297914075432
"73",25,0,3,"medBMI",0.352113021607557,0.361267969892536,0.348465270866847
"74",35,0,3,"medBMI",0.377144092196463,0.311860682614355,0.348200334673503
"75",45,0,3,"medBMI",0.334995941449204,0.223172046958721,0.294358557252355
"76",55,0,3,"medBMI",0.293158330212577,0.298612740067587,0.295753133028805
"77",65,0,3,"medBMI",0.255577654217179,0.228483774420269,0.267122238664501
"78",75,0,3,"medBMI",0.176469027374167,0.179496170820513,0.184823454121392
"79",25,1,3,"medBMI",0.382398587733012,0.448686766405678,0.423371752949121
"80",35,1,3,"medBMI",0.330266879717342,0.323302866762193,0.343458179036281
"81",45,1,3,"medBMI",0.360075631502265,0.293780970129225,0.372250224420219
"82",55,1,3,"medBMI",0.343098359722113,0.276016927043732,0.319137577442105
"83",65,1,3,"medBMI",0.234074989738226,0.240577016995474,0.219989854365805
"84",75,1,3,"medBMI",0.222227709232825,0.289215467137441,0.215959646021602
"85",25,0,4,"medBMI",0.374141694062538,0.357620491044524,0.44363102121916
"86",35,0,4,"medBMI",0.300448597037281,0.379851716367294,0.294897523412186
"87",45,0,4,"medBMI",0.349300003162856,0.38296554043137,0.367976843911865
"88",55,0,4,"medBMI",0.249340991845936,0.266327907949953,0.252304605587924
"89",65,0,4,"medBMI",0.197546539158783,0.218123550295945,0.185354978148123
"90",75,0,4,"medBMI",0.192268972582737,0.208825286068636,0.193413048420408
"91",25,1,4,"medBMI",0.351415696712358,0.440439205405247,0.422409812705229
"92",35,1,4,"medBMI",0.341705033528753,0.421217669299933,0.426413902925741
"93",45,1,4,"medBMI",0.323346936024003,0.340245231318788,0.356744056548468
"94",55,1,4,"medBMI",0.32125736264221,0.264442696721863,0.275174623342211
"95",65,1,4,"medBMI",0.287652848149406,0.303755906095072,0.305517305776346
"96",75,1,4,"medBMI",0.176760766950132,0.237424471273291,0.246055190157213
"97",25,0,1,"medSBP",0,0,0
"98",35,0,1,"medSBP",0,0,0
"99",45,0,1,"medSBP",0,0,0
"100",55,0,1,"medSBP",0,0,0
"101",65,0,1,"medSBP",0,0,0
"102",75,0,1,"medSBP",0,0,0
"103",25,1,1,"medSBP",0,0,0
"104",35,1,1,"medSBP",0,0,0
"105",45,1,1,"medSBP",0,0,0
"106",55,1,1,"medSBP",0,0,0
"107",65,1,1,"medSBP",0,0,0
"108",75,1,1,"medSBP",0,0,0
"109",25,0,2,"medSBP",0,0,0
"110",35,0,2,"medSBP",0,0,0
"111",45,0,2,"medSBP",0,0,0
"112",55,0,2,"medSBP",0,0,0
"113",65,0,2,"medSBP",0,0,0
"114",75,0,2,"medSBP",0,0,0
"115",25,1,2,"medSBP",0,0,0
"116",35,1,2,"medSBP",0,0,0
"117",45,1,2,"medSBP",0,0,0
"118",55,1,2,"medSBP",0,0,0
"119",65,1,2,"medSBP",0,0,0
"120",75,1,2,"medSBP",0,0,0
"121",25,0,3,"medSBP",0,0,0
"122",35,0,3,"medSBP",0,0,0
"123",45,0,3,"medSBP",0,0,0
"124",55,0,3,"medSBP",0,0,0
"125",65,0,3,"medSBP",0,0,0
"126",75,0,3,"medSBP",0,0,0
"127",25,1,3,"medSBP",0,0,0
"128",35,1,3,"medSBP",0,0,0
"129",45,1,3,"medSBP",0,0,0
"130",55,1,3,"medSBP",0,0,0
"131",65,1,3,"medSBP",0,0,0
"132",75,1,3,"medSBP",0,0,0
"133",25,0,4,"medSBP",0,0,0
"134",35,0,4,"medSBP",0,0,0
"135",45,0,4,"medSBP",0,0,0
"136",55,0,4,"medSBP",0,0,0
"137",65,0,4,"medSBP",0,0,0
"138",75,0,4,"medSBP",0,0,0
"139",25,1,4,"medSBP",0,0,0
"140",35,1,4,"medSBP",0,0,0
"141",45,1,4,"medSBP",0,0,0
"142",55,1,4,"medSBP",0,0,0
"143",65,1,4,"medSBP",0,0,0
"144",75,1,4,"medSBP",0,0,0
