sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,NHW,sat_fat,Food_price,USD,0.100362425241184,0.100362425241184,0.100362425241184
Female,NHW,sat_fat,FL,mrh-eq,0.0240203001123773,0.0240203001123773,0.0240203001123773
Female,OTH,added_sugar,CED,MJ,0.271866760998919,0.271866760998919,0.271866760998919
Female,OTH,added_sugar,Food_price,USD,0.476674484344069,0.476674484344069,0.476674484344069
Female,OTH,added_sugar,FL,mrh-eq,0.0131909085558524,0.0131909085558524,0.0131909085558524
Female,OTH,oil,CED,MJ,0.30307386467739,0.30307386467739,0.30307386467739
Female,OTH,oil,Food_price,USD,0.231701502016111,0.231701502016111,0.231701502016111
Female,OTH,oil,FL,mrh-eq,0.0162561662458073,0.0162561662458073,0.0162561662458073
Female,OTH,sat_fat,CED,MJ,0.864105008811059,0.864105008811059,0.864105008811059
Female,OTH,sat_fat,Food_price,USD,0.11852309633357,0.11852309633357,0.11852309633357
Female,OTH,sat_fat,FL,mrh-eq,0.0226996458529004,0.0226996458529004,0.0226996458529004
Male,HIS,added_sugar,CED,MJ,0.276603917643929,0.276603917643929,0.276603917643929
Male,HIS,added_sugar,Food_price,USD,0.435215808188018,0.435215808188018,0.435215808188018
Male,HIS,added_sugar,FL,mrh-eq,0.0115912367369789,0.0115912367369789,0.0115912367369789
Male,HIS,oil,CED,MJ,0.297613999104454,0.297613999104454,0.297613999104454
Male,HIS,oil,Food_price,USD,0.194179413063515,0.194179413063515,0.194179413063515
Male,HIS,oil,FL,mrh-eq,0.0150317965577487,0.0150317965577487,0.0150317965577487
Male,HIS,sat_fat,CED,MJ,0.896837781493395,0.896837781493395,0.896837781493395
Male,HIS,sat_fat,Food_price,USD,0.0961878128329168,0.0961878128329168,0.0961878128329168
Male,HIS,sat_fat,FL,mrh-eq,0.0248643296851533,0.0248643296851533,0.0248643296851533
Male,NHB,added_sugar,CED,MJ,0.281123344861,0.281123344861,0.281123344861
Male,NHB,added_sugar,Food_price,USD,0.446652274583557,0.446652274583557,0.446652274583557
Male,NHB,added_sugar,FL,mrh-eq,0.0114615172699218,0.0114615172699218,0.0114615172699218
Male,NHB,oil,CED,MJ,0.299440265462324,0.299440265462324,0.299440265462324
Male,NHB,oil,Food_price,USD,0.110402870458503,0.110402870458503,0.110402870458503
Male,NHB,oil,FL,mrh-eq,0.014667264676746,0.014667264676746,0.014667264676746
Male,NHB,sat_fat,CED,MJ,0.8482872023318,0.8482872023318,0.8482872023318
Male,NHB,sat_fat,Food_price,USD,0.087366234977077,0.087366234977077,0.087366234977077
Male,NHB,sat_fat,FL,mrh-eq,0.0231143606698245,0.0231143606698245,0.0231143606698245
Male,NHW,added_sugar,CED,MJ,0.278881321402794,0.278881321402794,0.278881321402794
Male,NHW,added_sugar,Food_price,USD,0.486970881493279,0.486970881493279,0.486970881493279
Male,NHW,added_sugar,FL,mrh-eq,0.0125219517506789,0.0125219517506789,0.0125219517506789
Male,NHW,oil,CED,MJ,0.298328997936534,0.298328997936534,0.298328997936534
Male,NHW,oil,Food_price,USD,0.221486619253409,0.221486619253409,0.221486619253409
Male,NHW,oil,FL,mrh-eq,0.015058552306085,0.015058552306085,0.015058552306085
Male,NHW,sat_fat,CED,MJ,0.916214487032769,0.916214487032769,0.916214487032769
Male,NHW,sat_fat,Food_price,USD,0.101639427699592,0.101639427699592,0.101639427699592
Male,NHW,sat_fat,FL,mrh-eq,0.0252386305372255,0.0252386305372255,0.0252386305372255
Male,OTH,added_sugar,CED,MJ,0.268757709597097,0.268757709597097,0.268757709597097
Male,OTH,added_sugar,Food_price,USD,0.41531049570656,0.41531049570656,0.41531049570656
Male,OTH,added_sugar,FL,mrh-eq,0.0134368927975151,0.0134368927975151,0.0134368927975151
Male,OTH,oil,CED,MJ,0.299415244704616,0.299415244704616,0.299415244704616
Male,OTH,oil,Food_price,USD,0.185057711256334,0.185057711256334,0.185057711256334
Male,OTH,oil,FL,mrh-eq,0.0154923338334616,0.0154923338334616,0.0154923338334616
Male,OTH,sat_fat,CED,MJ,0.874647376448224,0.874647376448224,0.874647376448224
