Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,NHW,35-44,9,10789518,tsp eq/day,FL,mrh-eq,-102840.3022623063,7698.984579000417,-100566.94165428891,-110877.32976811162,-96735.63127331577
oil,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-568454.418123952,168391.14676357477,-497478.97587253095,-747552.3303977991,-449685.63176381274
oil,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-300055.32287566114,85150.82658086438,-261043.75707147788,-390888.7635260914,-242381.71315878668
oil,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-27175.25673138834,8050.025646199182,-23782.239097412203,-35737.12482656464,-21497.453625091755
sat_fat,Female,NHW,35-44,9,10789518,g/day,CED,MJ,-7928512.578462217,484274.4432790313,-8007237.157990711,-8350533.384772653,-7439575.879552562
sat_fat,Female,NHW,35-44,9,10789518,g/day,Food_price,USD,-940236.3371772286,60576.70064815162,-970501.770992744,-979255.525808721,-875491.5298025483
sat_fat,Female,NHW,35-44,9,10789518,g/day,FL,mrh-eq,-210252.64113649126,12842.255054361147,-212340.3026750741,-221444.02013264244,-197286.74983254468
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,CED,MJ,-909287.9640209767,33245.55286824776,-925490.004683635,-931034.5860276779,-873769.6074510159
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,Food_price,USD,-1497835.3566420486,55828.58369697105,-1525941.038740627,-1533621.5251128662,-1438159.3583874395
added_sugar,Female,NHB,35-44,10,2841551,tsp eq/day,FL,mrh-eq,-37981.209281477764,1388.6759213038747,-38657.972992804396,-38889.571686220464,-36497.597722107435
oil,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-106188.89125951413,27826.131485357117,-117548.5453017409,-126088.65120396073,-76633.42537917478
oil,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,0,0,0,0,0
oil,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-5307.598342345416,1390.8227837564336,-5875.38354331142,-6302.240358487127,-3830.3389053826027
sat_fat,Female,NHB,35-44,10,2841551,g/day,CED,MJ,-1501116.4193688848,12713.5574649689,-1504822.3657908551,-1511228.0917533603,-1487854.6925257344
sat_fat,Female,NHB,35-44,10,2841551,g/day,Food_price,USD,-173349.83734531043,1849.0521740780648,-172915.6944820821,-175254.25056397796,-171814.44556038702
sat_fat,Female,NHB,35-44,10,2841551,g/day,FL,mrh-eq,-39746.9452306112,336.6328325545853,-39845.0722296641,-40014.684683241096,-39395.79782878633
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,CED,MJ,-834787.0093695683,34004.74816729366,-845536.393715715,-861288.9089734423,-799148.1330714696
added_sugar,Female,HIS,35-44,11,4706043,tsp eq/day,Food_price,USD,-1411591.3168274574,93178.27393945852,-1371121.860763696,-1510809.77807693,-1346771.893232182
