Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,CED,MJ,-35437633.68733687,1977849.0619069354,-36325223.591549605,-36791657.553471565,-33329158.40262134
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,Food_price,USD,-35437633.68733687,1977849.0619069354,-36325223.591549605,-36791657.553471565,-33329158.40262134
added_sugar,Male,NHB,35-44,14,2373836,tsp eq/day,FL,mrh-eq,-35437633.68733687,1977849.0619069354,-36325223.591549605,-36791657.553471565,-33329158.40262134
oil,Male,NHB,35-44,14,2373836,g/day,CED,MJ,9445450.13221712,634923.6440397858,9240347.45774824,8953525.618010525,10111711.919722263
oil,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,9445450.13221712,634923.6440397858,9240347.45774824,8953525.618010525,10111711.919722263
oil,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,9445450.13221712,634923.6440397858,9240347.45774824,8953525.618010525,10111711.919722263
sat_fat,Male,NHB,35-44,14,2373836,g/day,CED,MJ,-33691060.26848953,1486555.3624854926,-34142352.6643081,-34861806.83392585,-32136715.16660743
sat_fat,Male,NHB,35-44,14,2373836,g/day,Food_price,USD,-33691060.26848953,1486555.3624854926,-34142352.6643081,-34861806.83392585,-32136715.16660743
sat_fat,Male,NHB,35-44,14,2373836,g/day,FL,mrh-eq,-33691060.26848953,1486555.3624854926,-34142352.6643081,-34861806.83392585,-32136715.16660743
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,CED,MJ,-53686435.985491835,4731884.866287671,-51616159.2323051,-58726414.24241479,-50406192.9687776
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,Food_price,USD,-53686435.985491835,4731884.866287671,-51616159.2323051,-58726414.24241479,-50406192.9687776
added_sugar,Male,HIS,35-44,15,4477083,tsp eq/day,FL,mrh-eq,-53686435.985491835,4731884.866287671,-51616159.2323051,-58726414.24241479,-50406192.9687776
oil,Male,HIS,35-44,15,4477083,g/day,CED,MJ,24022854.290354963,9559615.403809011,28770441.167489298,13806373.338463442,30203886.396682303
oil,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,24022854.290354963,9559615.403809011,28770441.167489298,13806373.338463442,30203886.396682303
oil,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,24022854.290354963,9559615.403809011,28770441.167489298,13806373.338463442,30203886.396682303
sat_fat,Male,HIS,35-44,15,4477083,g/day,CED,MJ,-64205348.60584917,3996032.8401440033,-61974208.2160038,-68476518.12822251,-61830648.414844394
sat_fat,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,-64205348.60584917,3996032.8401440033,-61974208.2160038,-68476518.12822251,-61830648.414844394
sat_fat,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,-64205348.60584917,3996032.8401440033,-61974208.2160038,-68476518.12822251,-61830648.414844394
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,CED,MJ,-16148359.082365597,1044233.8084273097,-15737219.874790348,-17255666.038317207,-15390520.452852946
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,Food_price,USD,-16148359.082365597,1044233.8084273097,-15737219.874790348,-17255666.038317207,-15390520.452852946
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,FL,mrh-eq,-16148359.082365597,1044233.8084273097,-15737219.874790348,-17255666.038317207,-15390520.452852946
oil,Male,OTH,35-44,16,2268050,g/day,CED,MJ,9051990.764241913,4276814.210678235,6816406.6664129095,6379291.453523048,13624936.558115432
oil,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,9051990.764241913,4276814.210678235,6816406.6664129095,6379291.453523048,13624936.558115432
oil,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,9051990.764241913,4276814.210678235,6816406.6664129095,6379291.453523048,13624936.558115432
sat_fat,Male,OTH,35-44,16,2268050,g/day,CED,MJ,-25804067.812580828,2267318.455858416,-25650839.35875908,-28019450.167443164,-23718929.64346697
sat_fat,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,-25804067.812580828,2267318.455858416,-25650839.35875908,-28019450.167443164,-23718929.64346697
sat_fat,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,-25804067.812580828,2267318.455858416,-25650839.35875908,-28019450.167443164,-23718929.64346697
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,CED,MJ,-205040997.1037591,23729659.7622259,-195923677.6922377,-230174485.21495852,-187657230.49235287
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,Food_price,USD,-205040997.1037591,23729659.7622259,-195923677.6922377,-230174485.21495852,-187657230.49235287
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,FL,mrh-eq,-205040997.1037591,23729659.7622259,-195923677.6922377,-230174485.21495852,-187657230.49235287
oil,Female,NHW,45-54,17,12961330,g/day,CED,MJ,-30251738.567173142,10841487.858016752,-33153786.085011803,-39037218.49766167,-18999518.246521745
oil,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,-30251738.567173142,10841487.858016752,-33153786.085011803,-39037218.49766167,-18999518.246521745
oil,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,-30251738.567173142,10841487.858016752,-33153786.085011803,-39037218.49766167,-18999518.246521745
sat_fat,Female,NHW,45-54,17,12961330,g/day,CED,MJ,-213557242.31039348,6087134.328761351,-213795893.8307742,-219235258.7960625,-207676372.03240085
sat_fat,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,-213557242.31039348,6087134.328761351,-213795893.8307742,-219235258.7960625,-207676372.03240085
sat_fat,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,-213557242.31039348,6087134.328761351,-213795893.8307742,-219235258.7960625,-207676372.03240085
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,CED,MJ,-38289844.41800353,1509375.0577817133,-38048212.15588,-39812596.989405364,-36972479.2694067
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,Food_price,USD,-38289844.41800353,1509375.0577817133,-38048212.15588,-39812596.989405364,-36972479.2694067
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,FL,mrh-eq,-38289844.41800353,1509375.0577817133,-38048212.15588,-39812596.989405364,-36972479.2694067
oil,Female,NHB,45-54,18,2294986,g/day,CED,MJ,-11221231.786497904,803670.9950321683,-11322378.38096762,-11937183.36083471,-10419305.606861837
oil,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,-11221231.786497904,803670.9950321683,-11322378.38096762,-11937183.36083471,-10419305.606861837
oil,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,-11221231.786497904,803670.9950321683,-11322378.38096762,-11937183.36083471,-10419305.606861837
sat_fat,Female,NHB,45-54,18,2294986,g/day,CED,MJ,-28221084.6842617,551780.9971779557,-28212786.893195,-28748758.736665703,-27700463.75426439
sat_fat,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,-28221084.6842617,551780.9971779557,-28212786.893195,-28748758.736665703,-27700463.75426439
sat_fat,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,-28221084.6842617,551780.9971779557,-28212786.893195,-28748758.736665703,-27700463.75426439
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,CED,MJ,-35096663.99106773,2466696.0227039987,-33750413.1968617,-37733906.4171706,-33603734.74003999
