age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
75+,Female,added_sugar,CED,MJ,-2866632.88730433,-2634915.02204182,-2685211.72099528
75+,Female,added_sugar,Food_price,USD,-4739974.06858119,-4368390.24433471,-4371698.03138527
75+,Female,added_sugar,FL,mrh-eq,-156023.301833082,-143218.244105093,-146605.823132023
75+,Female,oil,CED,MJ,-143441.68942626,-177311.348788659,-129551.312143462
75+,Female,oil,Food_price,USD,-110645.810114734,-159997.653723651,-102332.30714769
75+,Female,oil,FL,mrh-eq,-6792.08599345512,-8382.23465055087,-6140.93858562301
75+,Female,sat_fat,CED,MJ,-8246863.11038032,-8618274.89710625,-8333109.80359619
75+,Female,sat_fat,Food_price,USD,-898740.005192283,-964119.17139414,-919933.203813292
75+,Female,sat_fat,FL,mrh-eq,-216974.633459899,-226766.722127714,-219322.373957857
75+,Male,added_sugar,CED,MJ,-1759763.77047728,-1795224.21006056,-2020897.76560583
75+,Male,added_sugar,Food_price,USD,-2591650.96322019,-2623516.66258703,-2933499.23309777
75+,Male,added_sugar,FL,mrh-eq,-87444.8961654414,-89741.8620268629,-101464.57135313
75+,Male,oil,CED,MJ,114597.409549402,125183.902104365,193589.393996802
75+,Male,oil,Food_price,USD,87635.5660481985,113709.459223022,161071.112309187
75+,Male,oil,FL,mrh-eq,5391.35468100456,5918.48492158935,9110.55019299085
75+,Male,sat_fat,CED,MJ,-6478559.72161949,-6276988.90403784,-6270042.7869001
75+,Male,sat_fat,Food_price,USD,-759882.923013406,-741001.573803009,-743745.187225698
75+,Male,sat_fat,FL,mrh-eq,-174386.286297411,-168946.509358323,-168754.067203316
