age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
65-74,Male,NHB,CED,MJ,2076050.15457595,2067362.90447147,2091338.98406158
65-74,Male,NHB,Food_price,USD,913122.870862835,858484.62305446,892765.605709217
65-74,Male,NHB,FL,mrh-eq,70609.7760946385,69811.2802511155,71135.7180088961
65-74,Male,HIS,CED,MJ,1927970.77411914,1857439.83139521,1998603.06737644
65-74,Male,HIS,Food_price,USD,889956.288649729,910840.557483223,974779.415111789
65-74,Male,HIS,FL,mrh-eq,65514.3598806976,63795.8018878781,69648.7742730456
65-74,Male,OTH,CED,MJ,1610146.79195538,1594933.88604908,1589973.07710718
65-74,Male,OTH,Food_price,USD,618161.550634811,585594.490588814,586165.389640557
65-74,Male,OTH,FL,mrh-eq,57315.3724301663,56010.4685549575,55775.5053914237
75+,Female,NHW,CED,MJ,19889760.9458304,20107216.3252263,19869190.6923824
75+,Female,NHW,Food_price,USD,10077897.8074601,9805018.27330227,9901608.20643785
75+,Female,NHW,FL,mrh-eq,687804.427739022,687851.762256876,686349.614766765
75+,Female,NHB,CED,MJ,2381367.02682396,2397343.05966013,2163509.43637964
75+,Female,NHB,Food_price,USD,1367145.67110982,1366133.79530893,1148904.71482112
75+,Female,NHB,FL,mrh-eq,84530.8694000586,84880.9403558202,74973.5882841153
75+,Female,HIS,CED,MJ,1385008.05487224,1413312.56577672,1523297.13799507
75+,Female,HIS,Food_price,USD,634813.191185033,659916.318577033,682775.25188423
75+,Female,HIS,FL,mrh-eq,48227.7951455147,48948.5653852605,52047.2558627813
75+,Female,OTH,CED,MJ,1229664.85156043,1141492.50924973,1220738.76195398
75+,Female,OTH,Food_price,USD,519121.333714728,511056.801845747,510293.488784547
75+,Female,OTH,FL,mrh-eq,42478.9548326701,39937.9587162312,41950.7025926705
75+,Male,NHW,CED,MJ,14921172.5172334,14790769.8919817,14924171.7776399
75+,Male,NHW,Food_price,USD,6832842.45825498,6882476.50963286,7068999.73061963
75+,Male,NHW,FL,mrh-eq,496697.710170674,494926.615033628,501111.346754915
75+,Male,NHB,CED,MJ,1258818.77243436,1260530.4105144,1223942.64222578
75+,Male,NHB,Food_price,USD,567039.9697768,530670.198333986,528684.777684232
75+,Male,NHB,FL,mrh-eq,41680.7731173099,41474.8370321529,40135.0261191123
75+,Male,HIS,CED,MJ,1040147.49122687,973935.475857544,1022038.29716577
75+,Male,HIS,Food_price,USD,422858.783022529,379781.478140886,421182.683359682
75+,Male,HIS,FL,mrh-eq,35294.1837991281,32910.5590721998,34975.861197962
75+,Male,OTH,CED,MJ,1037353.10916443,1055559.24115212,1060964.24898944
75+,Male,OTH,Food_price,USD,285628.380843303,302351.862771502,341777.388062957
75+,Male,OTH,FL,mrh-eq,37494.5299779865,38185.2446088674,39613.2235747188
