age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
65-74,Male,OTH,CED,MJ,1433116.18192387,1433116.18192387,1433116.18192387
65-74,Male,OTH,Food_price,USD,554258.592226952,554258.592226952,554258.592226952
65-74,Male,OTH,FL,mrh-eq,52368.2329653854,52368.2329653854,52368.2329653854
75+,Female,NHW,CED,MJ,13750132.5601066,13750132.5601066,13750132.5601066
75+,Female,NHW,Food_price,USD,7435992.92397948,7435992.92397948,7435992.92397948
75+,Female,NHW,FL,mrh-eq,494312.936810242,494312.936810242,494312.936810242
75+,Female,NHB,CED,MJ,1747206.87633444,1747206.87633444,1747206.87633444
75+,Female,NHB,Food_price,USD,936028.735968145,936028.735968145,936028.735968145
75+,Female,NHB,FL,mrh-eq,61146.4743394929,61146.4743394929,61146.4743394929
75+,Female,HIS,CED,MJ,1111287.97875238,1111287.97875238,1111287.97875238
75+,Female,HIS,Food_price,USD,559351.276845049,559351.276845049,559351.276845049
75+,Female,HIS,FL,mrh-eq,39657.106886779,39657.106886779,39657.106886779
75+,Female,OTH,CED,MJ,1036940.23817043,1036940.23817043,1036940.23817043
75+,Female,OTH,Food_price,USD,431276.572420263,431276.572420263,431276.572420263
75+,Female,OTH,FL,mrh-eq,36965.4601228538,36965.4601228538,36965.4601228538
75+,Male,NHW,CED,MJ,10507453.125646,10507453.125646,10507453.125646
75+,Male,NHW,Food_price,USD,5601617.337461,5601617.337461,5601617.337461
75+,Male,NHW,FL,mrh-eq,368856.086577958,368856.086577958,368856.086577958
75+,Male,NHB,CED,MJ,985075.464498436,985075.464498436,985075.464498436
75+,Male,NHB,Food_price,USD,402860.881483078,402860.881483078,402860.881483078
75+,Male,NHB,FL,mrh-eq,33548.6775294409,33548.6775294409,33548.6775294409
75+,Male,HIS,CED,MJ,843214.103518684,843214.103518684,843214.103518684
75+,Male,HIS,Food_price,USD,329447.40507383,329447.40507383,329447.40507383
75+,Male,HIS,FL,mrh-eq,29110.5026169237,29110.5026169237,29110.5026169237
75+,Male,OTH,CED,MJ,923331.695043698,923331.695043698,923331.695043698
75+,Male,OTH,Food_price,USD,272957.318847784,272957.318847784,272957.318847784
75+,Male,OTH,FL,mrh-eq,35303.7396644922,35303.7396644922,35303.7396644922
