age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
45-54,Male,HIS,added_sugar,Food_price,USD,404391.287264536,404391.287264536,404391.287264536
45-54,Male,HIS,added_sugar,FL,mrh-eq,14106.7092341005,14106.7092341005,14106.7092341005
45-54,Male,HIS,oil,CED,MJ,158144.331468206,158144.331468206,158144.331468206
45-54,Male,HIS,oil,Food_price,USD,87423.0671402347,87423.0671402347,87423.0671402347
45-54,Male,HIS,oil,FL,mrh-eq,7687.04105636504,7687.04105636504,7687.04105636504
45-54,Male,HIS,sat_fat,CED,MJ,744052.698929244,744052.698929244,744052.698929244
45-54,Male,HIS,sat_fat,Food_price,USD,89789.5962795959,89789.5962795959,89789.5962795959
45-54,Male,HIS,sat_fat,FL,mrh-eq,20782.4471961032,20782.4471961032,20782.4471961032
45-54,Male,OTH,added_sugar,CED,MJ,259851.769564143,259851.769564143,259851.769564143
45-54,Male,OTH,added_sugar,Food_price,USD,331149.418118105,331149.418118105,331149.418118105
45-54,Male,OTH,added_sugar,FL,mrh-eq,12537.9442564228,12537.9442564228,12537.9442564228
45-54,Male,OTH,oil,CED,MJ,141671.805149858,141671.805149858,141671.805149858
45-54,Male,OTH,oil,Food_price,USD,68075.9845129356,68075.9845129356,68075.9845129356
45-54,Male,OTH,oil,FL,mrh-eq,7249.29595520182,7249.29595520182,7249.29595520182
45-54,Male,OTH,sat_fat,CED,MJ,629975.109559654,629975.109559654,629975.109559654
45-54,Male,OTH,sat_fat,Food_price,USD,86243.4889347442,86243.4889347442,86243.4889347442
45-54,Male,OTH,sat_fat,FL,mrh-eq,17387.7681671185,17387.7681671185,17387.7681671185
55-64,Female,NHW,added_sugar,CED,MJ,1573572.77972043,1573572.77972043,1573572.77972043
55-64,Female,NHW,added_sugar,Food_price,USD,2750927.17131579,2750927.17131579,2750927.17131579
55-64,Female,NHW,added_sugar,FL,mrh-eq,75860.159800174,75860.159800174,75860.159800174
55-64,Female,NHW,oil,CED,MJ,827837.416353907,827837.416353907,827837.416353907
55-64,Female,NHW,oil,Food_price,USD,694004.739090793,694004.739090793,694004.739090793
55-64,Female,NHW,oil,FL,mrh-eq,42957.9620669442,42957.9620669442,42957.9620669442
55-64,Female,NHW,sat_fat,CED,MJ,3524889.12266669,3524889.12266669,3524889.12266669
55-64,Female,NHW,sat_fat,Food_price,USD,361763.78806653,361763.78806653,361763.78806653
55-64,Female,NHW,sat_fat,FL,mrh-eq,94618.0009314587,94618.0009314587,94618.0009314587
55-64,Female,NHB,added_sugar,CED,MJ,285205.488010637,285205.488010637,285205.488010637
55-64,Female,NHB,added_sugar,Food_price,USD,500368.576153541,500368.576153541,500368.576153541
55-64,Female,NHB,added_sugar,FL,mrh-eq,12870.4061657839,12870.4061657839,12870.4061657839
