age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
35-44,Female,NHB,sat_fat,Food_price,USD,-173073.747692451,-168545.912654143,-175121.958569293
35-44,Female,NHB,sat_fat,FL,mrh-eq,-28388.7921178995,-27646.1042789843,-28724.7542933972
35-44,Female,HIS,added_sugar,CED,MJ,-761577.115869089,-857652.813934421,-770036.844812865
35-44,Female,HIS,added_sugar,Food_price,USD,-805247.593145385,-906832.47931753,-814192.421224763
35-44,Female,HIS,added_sugar,FL,mrh-eq,-38051.0977867191,-42851.3809173899,-38473.7758932185
35-44,Female,HIS,oil,CED,MJ,22124.658016339,-50824.1900153484,-24459.8100427757
35-44,Female,HIS,oil,Food_price,USD,18299.5658026077,-42037.2874854498,-20230.997607579
35-44,Female,HIS,oil,FL,mrh-eq,1125.86694233354,-2586.31231121861,-1244.69682300092
35-44,Female,HIS,sat_fat,CED,MJ,-1856235.73796793,-2144311.73450341,-1974200.73935162
35-44,Female,HIS,sat_fat,Food_price,USD,-265012.986000954,-306141.318181781,-281854.735473207
35-44,Female,HIS,sat_fat,FL,mrh-eq,-49677.0137587465,-57386.5707674504,-52834.0206393506
35-44,Female,OTH,added_sugar,CED,MJ,-567037.786702453,-624511.762820301,-620121.467462684
35-44,Female,OTH,added_sugar,Food_price,USD,-564045.37549201,-621216.045949323,-616848.919363442
35-44,Female,OTH,added_sugar,FL,mrh-eq,-28695.79028377,-31604.3462991341,-31382.1688749476
35-44,Female,OTH,oil,CED,MJ,-18825.6093609253,-37249.0830306906,-34031.9680589661
35-44,Female,OTH,oil,Food_price,USD,-20039.6232643949,-39651.1781673617,-36226.5999348283
35-44,Female,OTH,oil,FL,mrh-eq,-1073.90834621322,-2124.87683073233,-1941.35625763293
35-44,Female,OTH,sat_fat,CED,MJ,-1391130.36654219,-1524407.28687862,-1268395.29517253
35-44,Female,OTH,sat_fat,Food_price,USD,-215866.104921673,-236547.10676084,-196820.915174499
35-44,Female,OTH,sat_fat,FL,mrh-eq,-37403.3972557912,-40986.8210069113,-34103.4127668694
35-44,Male,NHW,added_sugar,CED,MJ,-1852599.46714697,-1890471.02837468,-2083366.59897523
35-44,Male,NHW,added_sugar,Food_price,USD,-1911458.77315448,-1950533.55928363,-2149557.65340954
35-44,Male,NHW,added_sugar,FL,mrh-eq,-79521.6053229812,-81147.2170098682,-89427.1316411031
35-44,Male,NHW,oil,CED,MJ,137178.274673116,-19799.2866094434,75147.4559167519
35-44,Male,NHW,oil,Food_price,USD,155138.868155899,-22391.5843977681,84986.4257551051
35-44,Male,NHW,oil,FL,mrh-eq,6538.27903864672,-943.686315687799,3581.72631197567
35-44,Male,NHW,sat_fat,CED,MJ,-4857205.55758632,-5536963.11671826,-4733333.9274847
35-44,Male,NHW,sat_fat,Food_price,USD,-715966.745788693,-816165.059771271,-697707.693984538
35-44,Male,NHW,sat_fat,FL,mrh-eq,-134984.774313907,-153875.661186975,-131542.304392689
35-44,Male,NHB,added_sugar,CED,MJ,-435821.121340899,-492897.725333558,-454246.078605828
35-44,Male,NHB,added_sugar,Food_price,USD,-353294.877019955,-399563.565710998,-368230.920025359
35-44,Male,NHB,added_sugar,FL,mrh-eq,-16666.1722915614,-18848.8304266976,-17370.7584100523
35-44,Male,NHB,oil,CED,MJ,26847.0105209767,53001.7624493959,38605.7159797881
35-44,Male,NHB,oil,Food_price,USD,33914.1508120154,66953.8146009574,48768.188656289
35-44,Male,NHB,oil,FL,mrh-eq,1367.15632015673,2699.0600854989,1965.95626744749
35-44,Male,NHB,sat_fat,CED,MJ,-765403.185834884,-727192.257096892,-766665.218143913
35-44,Male,NHB,sat_fat,Food_price,USD,-116250.206378762,-110446.692055954,-116441.885116317
35-44,Male,NHB,sat_fat,FL,mrh-eq,-20951.223824606,-19905.2839391292,-20985.7691751738
35-44,Male,HIS,added_sugar,CED,MJ,-950626.962825157,-755156.558767374,-790593.972744887
35-44,Male,HIS,added_sugar,Food_price,USD,-1102384.42480525,-875709.254238562,-916803.873633836
35-44,Male,HIS,added_sugar,FL,mrh-eq,-40130.2907846125,-31878.5953652945,-33374.5698991389
35-44,Male,HIS,oil,CED,MJ,157581.723971307,139861.038137879,93506.6726148705
35-44,Male,HIS,oil,Food_price,USD,173419.39435851,153917.700079483,102904.512812051
35-44,Male,HIS,oil,FL,mrh-eq,8046.32068858819,7141.4802195028,4774.56811247396
35-44,Male,HIS,sat_fat,CED,MJ,-1821745.01892198,-2215903.38956997,-1916888.7992756
35-44,Male,HIS,sat_fat,Food_price,USD,-246196.555653299,-299464.401717109,-259054.596033042
35-44,Male,HIS,sat_fat,FL,mrh-eq,-50868.4037414266,-61874.4484556586,-53525.0939929403
35-44,Male,OTH,added_sugar,CED,MJ,-319665.477680971,-282946.634423977,-281835.115327061
35-44,Male,OTH,added_sugar,Food_price,USD,-355551.399444567,-314710.467227797,-313474.168040019
35-44,Male,OTH,added_sugar,FL,mrh-eq,-16564.7223352536,-14661.9912445011,-14604.3935165753
35-44,Male,OTH,oil,CED,MJ,30921.2744055885,50948.5342109366,65857.7761632243
35-44,Male,OTH,oil,Food_price,USD,25098.6506967082,41354.6817927553,53456.4422507766
35-44,Male,OTH,oil,FL,mrh-eq,1703.50215630807,2806.83573227434,3628.20956963632
35-44,Male,OTH,sat_fat,CED,MJ,-968494.039760201,-697173.309181008,-801115.471352909
35-44,Male,OTH,sat_fat,Food_price,USD,-183140.976405565,-131834.575459982,-151489.904546551
35-44,Male,OTH,sat_fat,FL,mrh-eq,-26376.3721947271,-18987.1098140583,-21817.91418003
45-54,Female,NHW,added_sugar,CED,MJ,-3569780.59685529,-3967856.86246539,-3707045.38239026
45-54,Female,NHW,added_sugar,Food_price,USD,-4708783.10969922,-5233872.74616826,-4889844.68649554
45-54,Female,NHW,added_sugar,FL,mrh-eq,-157931.836895625,-175543.259823896,-164004.613396153
45-54,Female,NHW,oil,CED,MJ,-293037.696797705,-162434.676991939,-205023.67567603
45-54,Female,NHW,oil,Food_price,USD,-339301.977213871,-188079.580455851,-237392.455962945
45-54,Female,NHW,oil,FL,mrh-eq,-16365.8866739255,-9071.82777033955,-11450.3842961266
45-54,Female,NHW,sat_fat,CED,MJ,-7336414.98086162,-6841367.07182524,-7572488.38145003
45-54,Female,NHW,sat_fat,Food_price,USD,-1004065.27701497,-936312.782476567,-1036374.39597512
45-54,Female,NHW,sat_fat,FL,mrh-eq,-197328.907785831,-184013.512807951,-203678.61761235
45-54,Female,NHB,added_sugar,CED,MJ,-554515.45868122,-616905.413683635,-572019.862574817
45-54,Female,NHB,added_sugar,Food_price,USD,-608179.988533864,-676607.877286035,-627378.422035824
45-54,Female,NHB,added_sugar,FL,mrh-eq,-23503.2402007027,-26147.6499742737,-24245.1675948637
45-54,Female,NHB,oil,CED,MJ,-59457.3073848941,-60639.2733937961,-56952.8799623331
45-54,Female,NHB,oil,Food_price,USD,-66132.1707532136,-67446.8279646341,-63346.5884718687
45-54,Female,NHB,oil,FL,mrh-eq,-2870.53309697442,-2927.59710974729,-2749.6221085421
45-54,Female,NHB,sat_fat,CED,MJ,-791136.436568304,-813485.362089042,-803740.927417707
45-54,Female,NHB,sat_fat,Food_price,USD,-142180.896253446,-146197.384578296,-144446.14118839
45-54,Female,NHB,sat_fat,FL,mrh-eq,-20562.5838151883,-21143.459164822,-20890.1896332983
45-54,Female,HIS,added_sugar,CED,MJ,-503098.877268358,-518253.429849566,-591101.879225894
45-54,Female,HIS,added_sugar,Food_price,USD,-581401.60964259,-598914.829532817,-683101.472837076
45-54,Female,HIS,added_sugar,FL,mrh-eq,-23893.0597416851,-24612.7763750183,-28072.4786953423
45-54,Female,HIS,oil,CED,MJ,-23204.7302567415,5453.65680126311,6590.98344398952
45-54,Female,HIS,oil,Food_price,USD,-19897.1377270152,4676.29484549082,5651.50742501894
45-54,Female,HIS,oil,FL,mrh-eq,-1142.37330927481,268.484567533296,324.475375709156
45-54,Female,HIS,sat_fat,CED,MJ,-1281076.05920119,-1409927.5356772,-1252468.0440662
45-54,Female,HIS,sat_fat,Food_price,USD,-207164.812370816,-228001.586078459,-202538.565517496
45-54,Female,HIS,sat_fat,FL,mrh-eq,-34116.8911703333,-37548.3906261967,-33355.0187335253
45-54,Female,OTH,added_sugar,CED,MJ,-373060.419999648,-466550.03412194,-157244.547121466
45-54,Female,OTH,added_sugar,Food_price,USD,-490411.4348139,-613309.424908787,-206707.86777802
45-54,Female,OTH,added_sugar,FL,mrh-eq,-18699.5882532831,-23385.7387970659,-7881.8554009245
45-54,Female,OTH,oil,CED,MJ,-30776.7421883347,-32879.7007067874,-20853.0161376109
