"outcome","pathway","riskfactor","V1","V2","V3"
"CM","medSBP","leg_tot",0,0,0
"DIAB","direct","leg_tot",0,0,0
"DIAB","medBMI","leg_tot",856.070466739042,928.548331266576,851.928625160167
"DIAB","medSBP","leg_tot",0,0,0
"ECA","direct","leg_tot",0,0,0
"ECA","medBMI","leg_tot",71.2974214945525,83.3704135101781,62.4833084347022
"ECA","medSBP","leg_tot",0,0,0
"ENDO","direct","leg_tot",0,0,0
"ENDO","medBMI","leg_tot",11.2562583571522,10.7825729599768,9.57155486890407
"ENDO","medSBP","leg_tot",0,0,0
"GC","direct","leg_tot",0,0,0
"GC","medBMI","leg_tot",13.4882489232285,12.7650696287585,13.8922350474294
"GC","medSBP","leg_tot",0,0,0
"HHD","direct","leg_tot",0,0,0
"HHD","medBMI","leg_tot",574.519252970283,480.336401644002,414.217923317871
"HHD","medSBP","leg_tot",0,0,0
"HSTK","direct","leg_tot",662.817232618873,638.784201932524,654.451487482632
"HSTK","medBMI","leg_tot",156.783824302443,176.841027577891,156.404268389727
"HSTK","medSBP","leg_tot",0,0,0
"IHD","direct","leg_tot",1995.80877778838,1763.74334420196,1851.44551368836
"IHD","medBMI","leg_tot",1794.64097986378,1775.61186576001,1796.74626023546
"IHD","medSBP","leg_tot",0,0,0
"ISTK","direct","leg_tot",591.492095653867,736.208916220251,628.346392960228
"ISTK","medBMI","leg_tot",218.552855139546,148.557103900156,166.421893585782
"ISTK","medSBP","leg_tot",0,0,0
"KC","direct","leg_tot",0,0,0
"KC","medBMI","leg_tot",293.501900787861,298.921774501141,290.057001179256
"KC","medSBP","leg_tot",0,0,0
"LC","direct","leg_tot",0,0,0
"LC","medBMI","leg_tot",0,0,0
"LC","medSBP","leg_tot",0,0,0
"LVC","direct","leg_tot",0,0,0
"LVC","medBMI","leg_tot",151.296821667037,129.259815096298,139.753357111457
"LVC","medSBP","leg_tot",0,0,0
"MLPC","direct","leg_tot",793.560812054616,839.560519453121,779.946542547474
"MLPC","medBMI","leg_tot",0,0,0
"MLPC","medSBP","leg_tot",0,0,0
"MMC","direct","leg_tot",0,0,0
"MMC","medBMI","leg_tot",38.4479899465901,35.233368160564,32.9106982643853
"MMC","medSBP","leg_tot",0,0,0
"OC","direct","leg_tot",0,0,0
"OC","medBMI","leg_tot",19.0635665776561,19.0200421989019,17.7864410482289
"OC","medSBP","leg_tot",0,0,0
"OSTK","direct","leg_tot",1165.05068098284,1331.93263739552,1128.89944457965
