"female","race","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"IHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","medBMI","leg_tot",950.381404358326,152.296569858486,977.422746810356,795.927817681192,1081.84984995123,0.00561428777139083,0.000903046567837883,0.00574151610019906,0.00470873119379851,0.00641170026949614,0.574151610019906,0.470873119379851,0.641170026949614,1.29553034017664,0.20760594225822,1.33239225627165,1.08498401975023,1.4747440319223
0,1,"IHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","direct","leg_tot",209.621304644248,31.0407570562916,192.040934226963,191.395040095577,242.790884047611,0.0165975214219531,0.00237322915201558,0.0152925344517011,0.0151696264554517,0.0191346553131686,1.52925344517011,1.51696264554517,1.91346553131686,0.285749235905339,0.0423137935612594,0.261784222319541,0.260903759549631,0.330964973808974
0,1,"ISTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","medBMI","leg_tot",62.5935510850819,12.0946434924355,69.5737093910162,49.6751525432375,69.5788150668821,0.00495549856386974,0.000938196894731182,0.00548126476836663,0.0039527636525514,0.00551133220136572,0.548126476836663,0.39527636525514,0.551133220136572,0.0853255799810935,0.0164870414406409,0.0948407144556359,0.0677156213048156,0.0948476743540105
0,1,"ISTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ISTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"KC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
