"age","race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"medBMI","HSTK","leg_tot",1.0398486073315,0.271978892238843,0.930921740670489,0.843801787641536,1.32848326368331,0.010060489097465,0.00227920386334247,0.0089970090563169,0.00853187693256142,0.0124930592973445,0.89970090563169,0.853187693256142,1.24930592973445,0.00277382116265662,0.000725510234633128,0.00248325612675052,0.00225086155729343,0.00354376104853998
25,1,"medBMI","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","IHD","leg_tot",4.18370992210015,0.608244958072904,4.31075005946742,3.56141651556911,4.69801921186902,0.00771710505955464,0.00105483657627275,0.00770101082026543,0.00672193784798008,0.00872595237452502,0.770101082026543,0.672193784798008,0.872595237452502,0.0111601468122545,0.00162250805058198,0.0114990294332934,0.00950016418762304,0.0125320792090029
25,1,"medBMI","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","ISTK","leg_tot",0.88531055826913,0.0620569576235541,0.890524615220852,0.824296750194211,0.941892417935084,0.0127695489763218,0.00159697097111599,0.0119127953643146,0.0117902348240642,0.0144771036987855,1.19127953643146,1.17902348240642,1.44771036987855,0.00236158720099858,0.000165538426586962,0.00237549582328649,0.00219883140091457,0.00251252067213786
25,1,"medBMI","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","OSTK","leg_tot",0.378955756975293,0.110787027542973,0.366147542644813,0.279680425714103,0.489118070417392,0.00819712672624355,0.0023987719954392,0.00858207774543965,0.0057768042675359,0.0102902408186345,0.858207774543965,0.57768042675359,1.02902408186345,0.00101087359351872,0.000295527059785303,0.000976707373825547,0.00074605426035761,0.00130473421341903
25,1,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","Other_CVD","leg_tot",9.33645686871068,0.53300684856949,9.22412478977142,8.88634685295999,9.88204915155975,0.0101619144253743,0.00110403412476918,0.0100677772274266,0.0091559537564066,0.0112478917125976,1.00677772274266,0.91559537564066,1.12478917125976,0.0249052231873639,0.00142180858442179,0.024605574665829,0.023704543897696,0.0263606037203364
25,1,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
