"race","outcome","riskfactor","V1","V2","V3"
2,"MMC","leg_tot",7.45687516050846,9.45555108588911,5.98784887307557
3,"MMC","leg_tot",1.46188384525968,0.983439702823981,1.00684035822398
4,"MMC","leg_tot",0.804625527210266,1.11510940588486,1.02683839001079
1,"OC","leg_tot",14.6603245976108,14.3196162581512,11.7029873355306
2,"OC","leg_tot",1.81822538494442,1.93899321020502,2.21862058844762
3,"OC","leg_tot",1.14282111563185,0.957155467599917,1.93678388013368
4,"OC","leg_tot",1.44219547946908,1.80427726294573,1.92804924411696
1,"OSTK","leg_tot",1270.30636263276,1387.21737024611,1115.9747853837
2,"OSTK","leg_tot",133.311061274943,165.58758300238,230.334795362148
3,"OSTK","leg_tot",25.5702310739218,37.4407981384151,28.7201933448956
4,"OSTK","leg_tot",22.0798942864597,35.6878886538224,44.3950312294799
1,"OTH","leg_tot",137.761408476672,201.541670725666,141.105962747228
2,"OTH","leg_tot",19.6937558601972,20.5606022733968,20.5878540443902
3,"OTH","leg_tot",3.4861548199877,6.27522564838252,3.47272715590026
4,"OTH","leg_tot",2.57895807263777,3.19871627506709,4.17336309333668
1,"PC","leg_tot",75.9411959428223,88.0132962275798,67.5409121102644
2,"PC","leg_tot",4.96800664913012,6.26491104462757,9.76824433624235
3,"PC","leg_tot",2.40107819659584,2.75288414632559,2.1780727506731
4,"PC","leg_tot",2.41481237859333,2.77908226227679,3.37591457118175
1,"PVD","leg_tot",29.6271145339167,28.7821982999651,26.9339373503692
2,"PVD","leg_tot",3.41613048468293,3.46269294116241,6.02311437488427
3,"PVD","leg_tot",0.821298725820122,1.08341776801572,0.789741746692833
4,"PVD","leg_tot",0.343667628465859,0.58470630103576,0.714010572902333
1,"RHD","leg_tot",13.7484172870044,13.7761610803512,12.6377582115342
2,"RHD","leg_tot",1.95038279452721,1.69907662972918,1.53952251708216
3,"RHD","leg_tot",0.430528604211895,0.7595847053933,0.535225488345647
4,"RHD","leg_tot",0.37101730802519,0.489698820022073,0.616666612307909
1,"SCC","leg_tot",32.1145468370943,24.1635567697032,31.9959458322755
2,"SCC","leg_tot",1.73183092825517,1.33402305479041,1.54583520129945
3,"SCC","leg_tot",0.647196605177892,0.622165510208024,0.900913410514548
4,"SCC","leg_tot",0.726141054667472,1.14088720544299,1.0051847511254
1,"SCNC","leg_tot",0,0,0
2,"SCNC","leg_tot",0,0,0
3,"SCNC","leg_tot",0,0,0
4,"SCNC","leg_tot",0,0,0
1,"TC","leg_tot",38.8126437817616,36.3764031985706,47.2846773185159
2,"TC","leg_tot",3.45243080492805,2.90353393722619,4.37616452382789
3,"TC","leg_tot",4.01918095296962,2.4099020323363,2.4274502614797
4,"TC","leg_tot",3.21678987175467,4.62625018651108,5.07436674934653
1,"UC","leg_tot",403.578659588775,325.560893600124,387.981962400583
2,"UC","leg_tot",51.3692338254652,40.3008625909698,54.3721931231202
3,"UC","leg_tot",17.9459592087238,28.0029366095566,18.367474794725
4,"UC","leg_tot",28.7302196258838,29.5127500501279,36.5804231015427
