"outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","leg_tot",3659.33224717932,125.917435560777,3648.19177392382,3544.79703816006,3783.33685846574,0.0100561096520592,0.000355691571031176,0.0100386649603511,0.00972592158618456,0.0104011257058856,1.00386649603511,0.972592158618456,1.04011257058856,1.49434878198286,0.0514204651970845,1.48979938566803,1.44757643704917,1.54498811378417
"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","leg_tot",829.85975248661,48.1598150612889,810.044950793413,795.532119758381,881.029966654057,0.0194186343794251,0.00120647179629723,0.0189402123883997,0.0185455217086125,0.0206984057426094,1.89402123883997,1.85455217086125,2.06984057426094,0.338886940725554,0.0196668561683162,0.33079523907745,0.32486868474584,0.359783143106158
"KC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","leg_tot",294.160225489419,4.46890311727741,293.501900787861,290.229246159687,298.650780815477,0.00453344932602654,4.32808543363455e-05,0.00453512632706417,0.00449164294413825,0.00457383025703283,0.453512632706417,0.449164294413825,0.457383025703283,0.120125188142387,0.0018249504223757,0.11985635037378,0.118519907786138,0.121958980601952
"LC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","leg_tot",140.103331291597,11.0226710054675,139.753357111457,129.784492197056,150.719648439258,0.00389082477509316,0.000284514013790212,0.00388753035678808,0.00362195017977702,0.00416249962596861,0.388753035678808,0.362195017977702,0.416249962596861,0.0572135100956523,0.00450128981972458,0.0570705923569801,0.052999641665342,0.0615488586038341
"MLPC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","leg_tot",804.355958018404,31.2387250525906,793.560812054616,780.627256022831,837.260534083196,0.0134587157321112,0.000503904484597192,0.013234660961218,0.0131121437345224,0.0139957342849591,1.3234660961218,1.31121437345224,1.39957342849591,0.328472044885232,0.0127568494959755,0.324063668675407,0.318782037383877,0.341909172164939
"MMC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
