"age","race","disease_type3","X1","X2","X3"
45,4,"All_HD",868.488448547755,865.816895003115,925.75317041018
55,1,"All_HD",40778.921581041,40621.3706675529,40687.0769459094
55,2,"All_HD",11018.5385278308,11065.9065792505,10887.3202374618
55,3,"All_HD",4406.64281308856,4469.81428725902,4401.49166194393
55,4,"All_HD",1818.04879647398,1824.54459799387,1848.58133865303
65,1,"All_HD",61893.3943144486,61844.3360442832,61563.1683042694
65,2,"All_HD",12080.6186294871,11986.3683260252,12230.3672267083
65,3,"All_HD",5686.81250507739,5604.32347522507,5569.12481374867
65,4,"All_HD",2591.60393200595,2701.83219560814,2688.25456168523
75,1,"All_HD",200654.981230648,201605.309443807,200256.75758743
75,2,"All_HD",20086.7937321583,20515.3325963152,20849.2856980135
75,3,"All_HD",15493.8659566051,15335.1417360055,15127.5900008152
75,4,"All_HD",7821.03247346411,8020.95867377083,7914.48166719294
25,1,"All_STK",228.942499363385,221.745178213156,206.797987778685
25,2,"All_STK",131.263579896618,143.83816868472,135.830840895018
25,3,"All_STK",123.886490823426,94.944293762002,111.01320524295
25,4,"All_STK",31.1846308575817,36.9616910469087,36.3714652344665
35,1,"All_STK",787.63426778765,769.594659448789,806.25308578963
35,2,"All_STK",453.747991072958,516.483685539174,501.956532222062
35,3,"All_STK",328.189305928184,308.443349157228,297.272209809203
35,4,"All_STK",129.375868825924,124.911235544106,126.650162308932
45,1,"All_STK",2726.06740542279,2716.24757904492,2654.40627244924
45,2,"All_STK",1337.52465147359,1368.23263267936,1299.63727846145
45,3,"All_STK",725.43293603215,797.028584131674,811.549793386182
45,4,"All_STK",333.970582318885,314.114311092085,356.305836776042
55,1,"All_STK",7678.24078505406,7719.5584230855,7819.78191810215
55,2,"All_STK",3076.59316879901,3280.26561286272,3134.76287773048
55,3,"All_STK",1273.26557248393,1245.96342097918,1347.11351411748
55,4,"All_STK",627.158761183382,648.876816263719,652.904320686184
65,1,"All_STK",16094.7047162793,16251.637204745,16155.931594825
65,2,"All_STK",4381.96426811197,4386.76778193586,4356.31833048917
65,3,"All_STK",1743.32380379121,1750.83245637311,1862.40994848696
65,4,"All_STK",1126.47408884467,1035.58262138171,1082.42719738145
75,1,"All_STK",82977.6797155758,82850.2124694516,83651.8359981298
75,2,"All_STK",9746.99865191773,9942.17249999695,10290.2612449456
75,3,"All_STK",6744.66098879072,7031.58307530339,6918.97188374023
75,4,"All_STK",3925.010412562,3993.14389695718,3998.6969860735
