"female","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"GC","medBMI","leg_tot",3.89436903526272,0.719664171336218,4.23110364185943,3.12622189209689,4.37629176282134,0.00287912073834808,0.000566391113506081,0.00298162091423057,0.00230413595953395,0.00336698036766211,0.298162091423057,0.230413595953395,0.336698036766211,0.00330403524145294,0.000610572794353959,0.00358972542570054,0.00265232883955308,0.00371290498674234
0,"GC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"GC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","medBMI","leg_tot",261.890188670852,33.6867823336113,248.034098306359,237.875811510376,297.682242641148,0.0101611485740103,0.00133713779679105,0.0096128580434001,0.00920668321847902,0.0115816608805601,0.96128580434001,0.920668321847902,1.15816608805601,0.222191170103344,0.0285803207126973,0.210435476059327,0.201817048462249,0.252557631681854
0,"HHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","direct","leg_tot",243.74835657823,16.6052387011598,234.429470035709,233.922333661026,261.495433056576,0.0152730398798245,0.00109914548562546,0.0146589438248735,0.0146202090543601,0.0164478523519973,1.46589438248735,1.46202090543601,1.64478523519973,0.20679939494393,0.0140881085907846,0.198893125849042,0.19846286450529,0.221856254113226
0,"HSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","medBMI","leg_tot",74.4209028105513,12.0119236099658,79.8922821108884,61.6096012498189,82.5815319659971,0.00466449509734793,0.000770835882826268,0.00500708976073228,0.00384301584804641,0.00519476888277275,0.500708976073228,0.384301584804641,0.519476888277275,0.0631396982053647,0.0101910780836645,0.067781690236418,0.0522704170811928,0.0700632861031415
0,"HSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","direct","leg_tot",1199.95057269714,45.4748529295412,1193.94512011292,1159.58524657622,1245.42053351464,0.00560471197385015,0.000184225743335193,0.00558230824148925,0.00544019242163796,0.0057882746985691,0.558230824148925,0.544019242163796,0.57882746985691,1.01805425841609,0.0385814788785052,1.01295915140403,0.983807771031708,1.05663158676073
0,"IHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","medBMI","leg_tot",1073.68306909134,149.59923071566,1089.25417594219,925.524640799879,1208.60605655957,0.00501621733056583,0.000707902408405321,0.00506094033285055,0.00432571008963764,0.005668710019552,0.506094033285055,0.432571008963764,0.5668710019552,0.91092720446043,0.126922006081903,0.92413794163449,0.785227594597896,1.02539768772501
0,"IHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ISTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ISTK","direct","leg_tot",257.929370773507,33.7762622439864,241.119202804824,236.119730916651,294.027653403744,0.0150670591706661,0.0019923913106213,0.0140171352880247,0.0138291039129024,0.017197449728675,1.40171352880247,1.38291039129024,1.7197449728675,0.218830758750617,0.0286562366761318,0.20456878540388,0.200327165989386,0.249457028856574
0,"ISTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
