"age","race","disease_type1","riskfactor","V1","V2","V3"
55,3,"Cancer","leg_tot",0.00137675649969208,0.00141329116145164,0.00208977842268523
55,4,"CMD","leg_tot",0.00707771292725158,0.00533221506111817,0.0113543958033118
55,4,"Cancer","leg_tot",0.0016685589910401,0.00107715125782764,0.0016645673804482
65,1,"CMD","leg_tot",0.0182456284035384,0.0199709031228549,0.0161236797033287
65,1,"Cancer","leg_tot",0.00352879420899843,0.00283607949988161,0.00331150711253012
65,2,"CMD","leg_tot",0.0113424006284967,0.0114345739814679,0.0127777727501537
65,2,"Cancer","leg_tot",0.00244654848808303,0.00234747256264446,0.00191447979718894
65,3,"CMD","leg_tot",0.00295411667604097,0.00156363563519042,0.00320432624934448
65,3,"Cancer","leg_tot",0.00053179089795786,0.000512234562920042,0.000371700621579928
65,4,"CMD","leg_tot",0.00674933983870217,0.00514748399365309,0.00577683740430953
65,4,"Cancer","leg_tot",0.00157015902673955,0.000964845250434547,0.00143704290724537
75,1,"CMD","leg_tot",0.010826823630781,0.010132436207241,0.00918156808601144
75,1,"Cancer","leg_tot",0.00266278339279652,0.00286622992388507,0.00211271276834367
75,2,"CMD","leg_tot",0.00176687810995329,0.00455308947827659,0.0128292560993153
75,2,"Cancer","leg_tot",0.000302740037237478,0.000925348465499294,0.00187931356017552
75,3,"CMD","leg_tot",0.00246252196554358,0.0066602614200176,0.00192606109372829
75,3,"Cancer","leg_tot",0.00063745904016271,0.00145022419334739,0.00046198262032867
75,4,"CMD","leg_tot",0.00358721756043749,0.0081457255710327,0.0085609403491488
75,4,"Cancer","leg_tot",0.000822667322859794,0.0015600851303848,0.00167545488364176
