"age","female","race","disease_type3","riskfactor","V1","V2","V3"
55,0,4,"Other_CVD","leg_tot",0.322376359954742,0.216113220418844,0.540614283785776
65,0,1,"Other_CVD","leg_tot",58.7585752983862,47.4293925988875,36.9247427433049
65,0,2,"Other_CVD","leg_tot",6.96380350035226,6.05814822545896,7.18844466470023
65,0,3,"Other_CVD","leg_tot",0.838047784547873,0,0.722103330292505
65,0,4,"Other_CVD","leg_tot",0.180949890836543,0.143042037610842,0
75,0,1,"Other_CVD","leg_tot",96.1977336810434,109.511879218541,116.354969157638
75,0,2,"Other_CVD","leg_tot",2.80361479970872,3.26026689705207,3.56601247189851
75,0,3,"Other_CVD","leg_tot",0,0,2.1953128511731e-06
75,0,4,"Other_CVD","leg_tot",1.41675257514815,2.22457536610111,1.01901936268008
25,1,1,"Other_CVD","leg_tot",4.65026081432918,4.57240262134124,2.85267866804792
25,1,2,"Other_CVD","leg_tot",2.15932100151204,1.62961445210617,0.879057159294679
25,1,3,"Other_CVD","leg_tot",0.64827537587692,0.719140840752448,0.709584197201171
25,1,4,"Other_CVD","leg_tot",0.219226803425317,0.346468937987603,0.388089638851945
35,1,1,"Other_CVD","leg_tot",4.35847230010502,5.82447678044344,4.84861797014084
35,1,2,"Other_CVD","leg_tot",3.82468744909879,2.42093504045645,2.00798984592266
35,1,3,"Other_CVD","leg_tot",0.18949623042777,0.242464193206758,0.258480373698698
35,1,4,"Other_CVD","leg_tot",0.348262096531628,0.598214318075535,0.539794498008709
45,1,1,"Other_CVD","leg_tot",10.1239525498735,8.03208809428384,10.1438528941974
45,1,2,"Other_CVD","leg_tot",4.03718167799743,4.34002112871905,4.21273516420087
45,1,3,"Other_CVD","leg_tot",0.76457791830534,0.387013068197326,0.891084663523428
45,1,4,"Other_CVD","leg_tot",0.384579484655713,0.555531412352714,0.63376475368905
55,1,1,"Other_CVD","leg_tot",21.5559883866443,14.2690774458674,12.939202537799
55,1,2,"Other_CVD","leg_tot",6.29294736291143,7.9182536888965,5.3724990229623
55,1,3,"Other_CVD","leg_tot",1.45200993878647,1.20644656360169,1.61700896121953
55,1,4,"Other_CVD","leg_tot",0.782902505068584,0.580321522707827,0.582822153496714
