"age","race","pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,3,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"direct","CMD","leg_tot",1.98049318029984,0.95081434571838,1.97908053173592,1.07782067520741,2.8843664366716,0.00759919521887906,0.00386069958603829,0.00721716141997447,0.00410738746366855,0.0114157317031585,0.721716141997447,0.410738746366855,1.14157317031585,0.0258418115596326,0.0124063871537946,0.0258233790811208,0.0140635873230167,0.0376357034029836
25,4,"direct","Cancer","dairy_tot",19.7972264811083,0.545859186763359,19.7234146310159,19.3135982755056,20.3435947592894,0.010530491661834,0.0005586385484075,0.0102114590938483,0.0102048257194001,0.0111273352870558,1.02114590938483,1.02048257194001,1.11273352870558,0.258317575246947,0.00712246342615401,0.257354465684173,0.252007112237822,0.265446681384429
25,4,"direct","Cancer","leg_tot",2.37519568966721,0.931107081894093,1.89697818397888,1.7862033958529,3.37067286331659,0.00126112702814288,0.000488273064300845,0.0010087822217908,0.000953568105816735,0.0017831790358683,0.10087822217908,0.0953568105816735,0.17831790358683,0.0309919569732318,0.0121492434265811,0.024752093696023,0.0233066854367145,0.0439811122953765
25,4,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"medBMI","CMD","leg_tot",2.28734972867674,0.441084178784357,2.2466323709346,1.88696581919618,2.72234339223813,0.00874884376613681,0.0019378643539493,0.00819284926124395,0.00720190492632975,0.0107683779351028,0.819284926124395,0.720190492632975,1.07683779351028,0.0298457279466583,0.00575534131773934,0.0293144409437819,0.024621450658948,0.0355215991868136
25,4,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"medBMI","Cancer","leg_tot",2.55182235314366,0.890804942992134,2.755567361999,1.63573359897935,3.29472784978093,0.00134404047327185,0.000433338269572694,0.00138094021132259,0.000917807626380135,0.00173890854282043,0.138094021132259,0.0917807626380135,0.173890854282043,0.0332966116922519,0.0116233742696891,0.035955111189967,0.0213433299579373,0.0429901688535086
25,4,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"direct","CMD","leg_tot",65.2435996410968,18.2573793439906,63.5918232952287,48.6544138226825,83.236795353499,0.00975030520807247,0.00269274666528193,0.00953524045654101,0.00728972497704068,0.012393690477906,0.953524045654101,0.728972497704068,1.2393690477906,0.303625441631494,0.0849647305919199,0.295938537088374,0.226424016539519,0.387360735585121
