"female","race","pathway","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"medSBP","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","All_HD","leg_tot",132.689970429435,24.2760075742252,141.812081747429,107.006178361956,150.619967876619,0.00473122701904236,0.000867422615912045,0.00510571950575626,0.00380778192061832,0.00533635350375958,0.510571950575626,0.380778192061832,0.533635350375958,1.04441631825444,0.191078936641053,1.11621738872429,0.842256565990465,1.18554516061904
0,2,"direct","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","All_STK","leg_tot",163.97131708602,14.7175161354991,170.395144686154,148.29690050849,174.185480203436,0.0186678183917707,0.00165708511279424,0.0195301759632579,0.0168960272949958,0.0197066055527816,1.95301759632579,1.68960272949958,1.97066055527816,1.29063499476312,0.115843073642576,1.34119759832328,1.16726005994545,1.37103171655466
0,2,"direct","Cancer","dairy_tot",814.820372875199,76.175124034393,839.827915290856,734.812134081345,873.572200615745,0.0184206182275001,0.00151965129278051,0.0188688350775183,0.0168343480288793,0.0196259041036056,1.88688350775183,1.68343480288793,1.96259041036056,6.41353443009166,0.599582186423694,6.61037135223297,5.78378140564933,6.87597607071387
0,2,"direct","Cancer","leg_tot",44.1064348576463,6.70850055582205,40.3209388622861,40.1550110825728,51.2755302287759,0.000997220562050613,0.000145482252095814,0.000920816462853261,0.000906606262984004,0.00115277834543497,0.0920816462853261,0.0906606262984004,0.115277834543497,0.347166256471886,0.052803293488151,0.317370230612166,0.316064196100112,0.403594938824423
0,2,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","All_HD","leg_tot",145.386486404486,19.8235231671033,141.903192871643,128.25386535013,165.47990696176,0.00518684622269932,0.000747506081229337,0.00502349962719326,0.00455896997617347,0.00595356707540534,0.502349962719326,0.455896997617347,0.595356707540534,1.14435189308655,0.156032976825691,1.11693453369459,1.0094992818023,1.30250925985397
0,2,"medBMI","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","All_STK","leg_tot",39.971065919814,3.84859319048877,38.8050242468671,36.9385723336055,43.9946949280273,0.00455231670679199,0.000461690187081563,0.00438727967187629,0.00420539780426742,0.0050395170889949,0.438727967187629,0.420539780426742,0.50395170889949,0.314616344924717,0.0302926703311536,0.305438311746708,0.290747277984783,0.346286740065959
0,2,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","Cancer","leg_tot",56.3279690781707,5.86042799733051,53.3761270474537,52.5726962591154,62.5923076233354,0.00127538775269006,0.000148732701140292,0.00119922822282737,0.0011811122828893,0.00143439882287411,0.119922822282737,0.11811122828893,0.143439882287411,0.443363201370663,0.0461280277066773,0.420128951066646,0.413805065220468,0.492670450279273
0,2,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","DIAB","leg_tot",82.2851402627661,17.2130074524996,77.1488928708355,68.6711179352102,100.264972873463,0.0120688695332982,0.00245895591359402,0.0113102225769898,0.0101402143563733,0.0146423746230853,1.13102225769898,1.01402143563733,1.46423746230853,0.647674748604994,0.13548534083958,0.607246820455165,0.540517387502549,0.789195848634793
0,2,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medBMI","Other_CVD","leg_tot",33.4402876332682,4.21629275123147,33.4195541515423,29.4436575713993,37.4545411546042,0.00539217244341637,0.000753874925084882,0.00530941441889202,0.00471440727274294,0.0061402819349355,0.530941441889202,0.471440727274294,0.61402819349355,0.263211921581376,0.0331868711529021,0.263048726227735,0.231754037906121,0.294808521307225
0,2,"medSBP","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","All_HD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","All_STK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"medSBP","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","All_HD","leg_tot",13.5765468273246,7.93697031977751,15.075159603863,5.50100186574092,20.3782709288506,0.000808294178009766,0.00047099884763452,0.000901804123166457,0.000327766955343314,0.00120933794729303,0.0901804123166457,0.0327766955343314,0.120933794729303,0.0710080133799136,0.0415119177085917,0.0788460533057641,0.0287713230067676,0.106582369816087
0,3,"direct","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","All_STK","leg_tot",16.0414064714388,10.2546831056749,17.4274192685176,5.77736931831573,25.1273327470448,0.00307448702554977,0.0018997866443084,0.00348883731731303,0.00112607800225706,0.00467069830084371,0.348883731731303,0.112607800225706,0.467069830084371,0.0838997146950531,0.0536340119793207,0.0911488345553128,0.0302167792055934,0.131420898303292
0,3,"direct","Cancer","dairy_tot",579.094548724445,25.9149037856297,591.198932490674,551.435082237412,596.465289010182,0.0171689390147164,0.000752970680152587,0.0175481107581002,0.0163640747552773,0.0176515072922793,1.75481107581002,1.63640747552773,1.76515072922793,3.02877852424892,0.135540049922385,3.09208683492319,2.88411406786155,3.11963091656315
0,3,"direct","Cancer","leg_tot",7.12093915253195,2.56897958623726,7.52312586252275,4.53201428729415,9.36800531427757,0.000211206622581683,7.64403662019816e-05,0.000223303254839284,0.000134132401994901,0.000277998705749504,0.0223303254839284,0.0134132401994901,0.0277998705749504,0.0372439140122778,0.0134362691155839,0.0393474297035265,0.023703327159927,0.0489965125270673
0,3,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"medBMI","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"medBMI","All_HD","leg_tot",15.4120835407898,5.71298702429354,17.2729695664965,9.41428409339231,19.8281298663366,0.000918287533251782,0.000341780880035914,0.0010247396128044,0.000560388382465404,0.00118570241641843,0.10247396128044,0.0560388382465404,0.118570241641843,0.0806082318424419,0.0298800471297937,0.0903410321997414,0.0492385596549843,0.103705023726195
0,3,"medBMI","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"medBMI","All_STK","leg_tot",4.07908173162136,2.19934681045028,5.04374224029072,1.73632397958069,5.60187805129309,0.000788437921777019,0.000431236576292663,0.000934943693702268,0.000334631152913312,0.00111771478450427,0.0934943693702268,0.0334631152913312,0.111771478450427,0.0213344007029665,0.0115030169106925,0.0263797651227913,0.00908131632749115,0.0292989253215909
0,3,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"medBMI","Cancer","leg_tot",11.9579648022397,6.58230480329749,12.4418940656021,5.5117929602721,17.9927967703492,0.000354749219004899,0.000195622879470339,0.000369213792117694,0.000163141450181914,0.000534062100682007,0.0369213792117694,0.0163141450181914,0.0534062100682007,0.0625425106600026,0.0344267502987226,0.0650735560020045,0.0288277625561317,0.094105870223172
0,3,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
